"","tree_age","coef","S_root"
"1",1,0.116163446512018,1.82336074911184
"2",1.1,0.127779791163219,1.81208827459327
"3",1.2,0.139396135814421,1.80093912257263
"4",1.3,0.151012480465623,1.78991233079646
"5",1.4,0.162628825116825,1.7790069364585
"6",1.5,0.174245169768026,1.76822197648448
"7",1.6,0.185861514419228,1.75755648780512
"8",1.7,0.19747785907043,1.74700950761783
"9",1.8,0.209094203721632,1.73658007363701
"10",1.9,0.220710548372834,1.72626722433347
"11",2,0.232326893024035,1.71606999916311
"12",2.1,0.243943237675237,1.70598743878521
"13",2.2,0.255559582326439,1.69601858527058
"14",2.3,0.267175926977641,1.68616248229985
"15",2.4,0.278792271628842,1.67641817535237
"16",2.5,0.290408616280044,1.66678471188585
"17",2.6,0.302024960931246,1.65726114150713
"18",2.7,0.313641305582448,1.64784651613443
"19",2.8,0.325257650233649,1.63853989015143
"20",2.9,0.336873994884851,1.62934032055331
"21",3,0.348490339536053,1.62024686708533
"22",3.1,0.360106684187255,1.61125859237406
"23",3.2,0.371723028838456,1.60237456205164
"24",3.3,0.383339373489658,1.59359384487333
"25",3.4,0.39495571814086,1.58491551282875
"26",3.5,0.406572062792062,1.57633864124692
"27",3.6,0.418188407443264,1.56786230889553
"28",3.7,0.429804752094465,1.55948559807462
"29",3.8,0.441421096745667,1.55120759470499
"30",3.9,0.453037441396869,1.54302738841155
"31",4,0.464653786048071,1.53494407260187
"32",4.1,0.476270130699272,1.52695674454019
"33",4.2,0.487886475350474,1.51906450541711
"34",4.3,0.499502820001676,1.51126646041514
"35",4.4,0.511119164652878,1.50356171877039
"36",4.5,0.522735509304079,1.49594939383064
"37",4.6,0.534351853955281,1.48842860310981
"38",4.7,0.545968198606483,1.48099846833925
"39",4.8,0.557584543257685,1.47365811551596
"40",4.9,0.569200887908887,1.46640667494779
"41",5,0.580817232560088,1.459243281296
"42",5.1,0.59243357721129,1.45216707361526
"43",5.2,0.604049921862492,1.4451771953912
"44",5.3,0.615666266513693,1.43827279457575
"45",5.4,0.627282611164895,1.43145302362042
"46",5.5,0.638898955816097,1.42471703950757
"47",5.6,0.650515300467299,1.41806400377998
"48",5.7,0.662131645118501,1.41149308256865
"49",5.8,0.673747989769703,1.40500344661919
"50",5.9,0.685364334420904,1.39859427131672
"51",6,0.696980679072106,1.39226473670955
"52",6.1,0.708597023723308,1.38601402753164
"53",6.2,0.72021336837451,1.37984133322409
"54",6.3,0.731829713025711,1.37374584795562
"55",6.4,0.743446057676913,1.36772677064227
"56",6.5,0.755062402328115,1.36178330496632
"57",6.6,0.766678746979317,1.35591465939457
"58",6.7,0.778295091630518,1.3501200471961
"59",6.8,0.78991143628172,1.34439868645952
"60",6.9,0.801527780932922,1.33874980010983
"61",7,0.813144125584124,1.333172615925
"62",7.1,0.824760470235325,1.32766636655221
"63",7.2,0.836376814886527,1.32223028952399
"64",7.3,0.847993159537729,1.3168636272742
"65",7.4,0.859609504188931,1.31156562715391
"66",7.5,0.871225848840132,1.30633554144727
"67",7.6,0.882842193491334,1.30117262738739
"68",7.7,0.894458538142536,1.29607614717228
"69",7.8,0.906074882793738,1.29104536798084
"70",7.9,0.91769122744494,1.28607956198899
"71",8,0.929307572096141,1.28117800638594
"72",8.1,0.940923916747343,1.27633998339054
"73",8.2,0.952540261398545,1.27156478026789
"74",8.3,0.964156606049747,1.26685168934602
"75",8.4,0.975772950700948,1.26220000803279
"76",8.5,0.98738929535215,1.25760903883294
"77",8.6,0.999005640003352,1.2530780893653
"78",8.7,1.01062198465455,1.2486064723801
"79",8.8,1.02223832930576,1.2441935057765
"80",8.9,1.03385467395696,1.23983851262009
"81",9,1.04547101860816,1.23554082116057
"82",9.1,1.05708736325936,1.23129976484947
"83",9.2,1.06870370791056,1.22711468235778
"84",9.3,1.08032005256176,1.22298491759371
"85",9.4,1.09193639721297,1.21890981972025
"86",9.5,1.10355274186417,1.21488874317273
"87",9.6,1.11516908651537,1.21092104767612
"88",9.7,1.12678543116657,1.20700609826221
"89",9.8,1.13840177581777,1.20314326528651
"90",9.9,1.15001812046897,1.19933192444482
"91",10,1.16163446512018,1.1955714567895
"92",10.1,1.17325080977138,1.19186124874522
"93",10.2,1.18486715442258,1.18820069212433
"94",10.3,1.19648349907378,1.18458918414165
"95",10.4,1.20809984372498,1.18102612742868
"96",10.5,1.21971618837619,1.17751093004712
"97",10.6,1.23133253302739,1.17404300550175
"98",10.7,1.24294887767859,1.17062177275245
"99",10.8,1.25456522232979,1.16724665622546
"100",10.9,1.26618156698099,1.16391708582373
"101",11,1.27779791163219,1.16063249693627
"102",11.1,1.2894142562834,1.15739233044657
"103",11.2,1.3010306009346,1.15419603273993
"104",11.3,1.3126469455858,1.15104305570967
"105",11.4,1.324263290237,1.14793285676219
"106",11.5,1.3358796348882,1.14486489882079
"107",11.6,1.3474959795394,1.1418386503283
"108",11.7,1.35911232419061,1.13885358524831
"109",11.8,1.37072866884181,1.13590918306512
"110",11.9,1.38234501349301,1.13300492878228
"111",12,1.39396135814421,1.13014031291972
"112",12.1,1.40557770279541,1.12731483150944
"113",12.2,1.41719404744662,1.12452798608964
"114",12.3,1.42881039209782,1.12177928369743
"115",12.4,1.44042673674902,1.11906823685996
"116",12.5,1.45204308140022,1.11639436358398
"117",12.6,1.46365942605142,1.11375718734384
"118",12.7,1.47527577070262,1.11115623706795
"119",12.8,1.48689211535383,1.10859104712353
"120",12.9,1.49850846000503,1.10606115729988
"121",13,1.51012480465623,1.10356611278996
"122",13.1,1.52174114930743,1.10110546417036
"123",13.2,1.53335749395863,1.09867876737976
"124",13.3,1.54497383860983,1.09628558369568
"125",13.4,1.55659018326104,1.09392547970969
"126",13.5,1.56820652791224,1.09159802730107
"127",13.6,1.57982287256344,1.0893028036089
"128",13.7,1.59143921721464,1.08703939100257
"129",13.8,1.60305556186584,1.08480737705086
"130",13.9,1.61467190651705,1.08260635448947
"131",14,1.62628825116825,1.08043592118709
"132",14.1,1.63790459581945,1.0782956801101
"133",14.2,1.64952094047065,1.07618523928585
"134",14.3,1.66113728512185,1.07410421176454
"135",14.4,1.67275362977305,1.07205221557984
"136",14.5,1.68436997442426,1.07002887370824
"137",14.6,1.69598631907546,1.06803381402712
"138",14.7,1.70760266372666,1.06606666927167
"139",14.8,1.71921900837786,1.06412707699063
"140",14.9,1.73083535302906,1.06221467950102
"141",15,1.74245169768026,1.06032912384174
"142",15.1,1.75406804233147,1.05847006172623
"143",15.2,1.76568438698267,1.05663714949415
"144",15.3,1.77730073163387,1.05483004806224
"145",15.4,1.78891707628507,1.05304842287431
"146",15.5,1.80053342093627,1.05129194385044
"147",15.6,1.81214976558748,1.04956028533549
"148",15.7,1.82376611023868,1.04785312604694
"149",15.8,1.83538245488988,1.04617014902212
"150",15.9,1.84699879954108,1.04451104156491
"151",16,1.85861514419228,1.04287549519188
"152",16.1,1.87023148884348,1.04126320557811
"153",16.2,1.88184783349469,1.0396738725025
"154",16.3,1.89346417814589,1.03810719979287
