tree,tip,age,depth
3,F12_Bende,5.479381145524155,0
3,F24_Kimbu,5.479381145524155,0
3,Fefe_Grassfields,5.479381145524155,0
3,G24_Bondei,5.479381145524155,0
3,H16_Cimbala,5.479381145524155,0
3,H16_Kimbeko,5.479381145524154,0
3,H16a_Kisikongo_2013,5.479381145524155,0
3,H16g_Kimpangu_2012,5.479381145524154,0
3,H16h_Kinkanu_2012,5.479381145524154,0
3,H41_Mbala,5.479381145524155,0
3,K31_Luyana,5.479381145524155,0
3,Kom_Grassfields,5.479381145524155,0
3,L11_Pende,5.479381145524155,0
3,L13_Kwese,5.479381145524155,0
3,L23_Songe,5.479381145524155,0
3,L31a_Luba-Kasai,5.479381145524155,0
3,L32_Kanyok,5.479381145524155,0
3,L33_Luba-Shaba,5.479381145524155,0
3,M42_Bemba,5.479381145524155,0
3,M61_Lenje,5.4793811455241554,0
3,M62_Soli,5.479381145524155,0
3,M64_Tonga,5.4793811455241554,0
3,Moghamo_Grassfields,5.479381145524155,0
3,Mungaka_Grassfields,5.479381145524155,0
3,Oku_Grassfields,5.479381145524155,0
3,R21_Kwanyama,5.479381145524154,0
3,R31_Herero,5.479381145524154,0
3,*D308_Ebodo,5.4793811455241554,0
4,A62A_Nuasue,5.231772865211707,0
4,A62B_Mmala,5.231772865211707,0
4,A75a_Fang_Bitam,5.231772865211707,0
4,A75a_Fang_Medouneu,5.231772865211707,0
4,A84_Njem,5.231772865211708,0
4,A86c_Mpiemo,5.231772865211708,0
4,B11b_Orungu,5.231772865211707,0
4,B204_Ndambomo_Massoukou,5.231772865211707,0
4,B22b_Koya,5.231772865211707,0
4,B252_Mahongwe,5.231772865211707,0
4,B501_Wanzi_E,5.231772865211707,0
4,B53_Tsaangi_Poungi,5.231772865211707,0
4,B71a_Teke_Dj,5.231772865211707,0
4,B78_Wuumu,5.231772865211707,0
4,B861_Ngul,5.231772865211707,0
4,C24_Koyo,5.231772865211708,0
4,C25_Mboshi,5.231772865211708,0
4,C323_Mpama,5.231772865211707,0
4,C83_Bushong,5.231772865211707,0
4,D11_Mbole,5.231772865211707,0
4,D211_Kango,5.231772865211707,0
4,D333_Ndaaka,5.231772865211707,0
4,D334_Mbo,5.231772865211707,0
4,D33_Nyali,5.231772865211707,0
4,F12_Bende,5.231772865211706,0
4,F24_Kimbu,5.231772865211706,0
4,Fefe_Grassfields,5.231772865211707,0
4,G24_Bondei,5.231772865211706,0
4,H16_Cimbala,5.231772865211706,0
4,H16_Kimbeko,5.231772865211706,0
4,H16a_Kisikongo_2013,5.231772865211706,0
4,H16g_Kimpangu_2012,5.231772865211707,0
4,H16h_Kinkanu_2012,5.231772865211706,0
4,H41_Mbala,5.231772865211707,0
4,K31_Luyana,5.231772865211707,0
4,Kom_Grassfields,5.231772865211707,0
4,L11_Pende,5.231772865211708,0
4,L13_Kwese,5.231772865211708,0
4,L23_Songe,5.231772865211707,0
4,L31a_Luba-Kasai,5.231772865211708,0
4,L32_Kanyok,5.231772865211708,0
4,L33_Luba-Shaba,5.231772865211707,0
4,M42_Bemba,5.231772865211707,0
4,M61_Lenje,5.231772865211707,0
4,M62_Soli,5.231772865211707,0
4,M64_Tonga,5.231772865211707,0
4,Moghamo_Grassfields,5.231772865211707,0
4,Mungaka_Grassfields,5.231772865211707,0
4,Oku_Grassfields,5.231772865211707,0
4,R21_Kwanyama,5.231772865211707,0
4,R31_Herero,5.231772865211707,0
4,*D308_Ebodo,5.231772865211707,0
5,A62A_Nuasue,5.360586840548507,0
5,A62B_Mmala,5.360586840548507,0
5,A75a_Fang_Bitam,5.360586840548508,0
5,A75a_Fang_Medouneu,5.360586840548508,0
5,A84_Njem,5.360586840548508,0
5,A86c_Mpiemo,5.360586840548508,0
5,B11b_Orungu,5.360586840548508,0
5,B204_Ndambomo_Massoukou,5.360586840548509,0
5,B22b_Koya,5.360586840548509,0
5,B252_Mahongwe,5.360586840548508,0
5,B501_Wanzi_E,5.360586840548508,0
5,B53_Tsaangi_Poungi,5.360586840548508,0
5,B71a_Teke_Dj,5.360586840548508,0
5,B78_Wuumu,5.360586840548508,0
5,B861_Ngul,5.360586840548508,0
5,C24_Koyo,5.360586840548508,0
5,C25_Mboshi,5.360586840548508,0
5,C323_Mpama,5.360586840548508,0
5,C83_Bushong,5.360586840548508,0
5,D11_Mbole,5.360586840548508,0
5,D211_Kango,5.360586840548508,0
5,D333_Ndaaka,5.3605868405485095,0
5,D334_Mbo,5.3605868405485095,0
5,D33_Nyali,5.360586840548509,0
5,F12_Bende,5.360586840548509,0
5,F24_Kimbu,5.360586840548508,0
5,Fefe_Grassfields,5.360586840548509,0
5,G24_Bondei,5.360586840548508,0
5,H16_Cimbala,5.360586840548509,0
5,H16_Kimbeko,5.360586840548509,0
5,H16a_Kisikongo_2013,5.360586840548509,0
5,H16g_Kimpangu_2012,5.360586840548509,0
5,H16h_Kinkanu_2012,5.360586840548509,0
5,H41_Mbala,5.360586840548508,0
5,K31_Luyana,5.360586840548508,0
5,Kom_Grassfields,5.360586840548508,0
5,L11_Pende,5.360586840548508,0
5,L13_Kwese,5.360586840548508,0
5,L23_Songe,5.360586840548508,0
5,L31a_Luba-Kasai,5.360586840548508,0
5,L32_Kanyok,5.360586840548508,0
5,L33_Luba-Shaba,5.360586840548508,0
5,M42_Bemba,5.360586840548508,0
5,M61_Lenje,5.360586840548508,0
5,M62_Soli,5.360586840548508,0
5,M64_Tonga,5.360586840548508,0
5,Moghamo_Grassfields,5.360586840548509,0
5,Mungaka_Grassfields,5.360586840548509,0
5,Oku_Grassfields,5.360586840548508,0
5,R21_Kwanyama,5.360586840548508,0
5,R31_Herero,5.360586840548508,0
5,*D308_Ebodo,5.360586840548509,0
6,A62A_Nuasue,5.156101739111558,0
6,A62B_Mmala,5.156101739111558,0
6,A75a_Fang_Bitam,5.156101739111557,0
6,A75a_Fang_Medouneu,5.156101739111557,0
6,A84_Njem,5.156101739111558,0
6,A86c_Mpiemo,5.156101739111558,0
6,B11b_Orungu,5.156101739111558,0
6,B204_Ndambomo_Massoukou,5.156101739111558,0
6,B22b_Koya,5.156101739111558,0
6,B252_Mahongwe,5.156101739111558,0
6,B501_Wanzi_E,5.156101739111558,0
6,B53_Tsaangi_Poungi,5.156101739111558,0
6,B71a_Teke_Dj,5.156101739111558,0
6,B78_Wuumu,5.156101739111558,0
6,B861_Ngul,5.156101739111558,0
6,C24_Koyo,5.156101739111558,0
6,C25_Mboshi,5.156101739111558,0
6,C323_Mpama,5.156101739111558,0
6,C83_Bushong,5.156101739111558,0
6,D11_Mbole,5.156101739111558,0
6,D211_Kango,5.156101739111558,0
6,D333_Ndaaka,5.156101739111558,0
6,D334_Mbo,5.156101739111558,0
6,D33_Nyali,5.156101739111558,0
6,F12_Bende,5.156101739111559,0
6,F24_Kimbu,5.156101739111558,0
6,Fefe_Grassfields,5.156101739111558,0
6,G24_Bondei,5.156101739111558,0
6,H16_Cimbala,5.156101739111558,0
6,H16_Kimbeko,5.156101739111559,0
6,H16a_Kisikongo_2013,5.156101739111559,0
6,H16g_Kimpangu_2012,5.156101739111559,0
6,H16h_Kinkanu_2012,5.156101739111559,0
6,H41_Mbala,5.156101739111559,0
6,K31_Luyana,5.156101739111558,0
6,Kom_Grassfields,5.156101739111558,0
6,L11_Pende,5.156101739111559,0
6,L13_Kwese,5.156101739111559,0
6,L23_Songe,5.156101739111558,0
6,L31a_Luba-Kasai,5.156101739111557,0
6,L32_Kanyok,5.156101739111557,0
6,L33_Luba-Shaba,5.156101739111558,0
6,M42_Bemba,5.156101739111559,0
6,M61_Lenje,5.156101739111558,0
6,M62_Soli,5.156101739111558,0
6,M64_Tonga,5.156101739111558,0
6,Moghamo_Grassfields,5.156101739111558,0
6,Mungaka_Grassfields,5.156101739111558,0
6,Oku_Grassfields,5.156101739111558,0
6,R21_Kwanyama,5.156101739111559,0
6,R31_Herero,5.156101739111559,0
6,*D308_Ebodo,5.156101739111557,0
7,A62A_Nuasue,6.250371839994672,0
7,A62B_Mmala,6.250371839994672,0
7,A75a_Fang_Bitam,6.2503718399946715,0
7,A75a_Fang_Medouneu,6.2503718399946715,0
7,A84_Njem,6.250371839994672,0
7,A86c_Mpiemo,6.250371839994672,0
7,B11b_Orungu,6.250371839994672,0
7,B204_Ndambomo_Massoukou,6.250371839994672,0
7,B22b_Koya,6.250371839994672,0
7,B252_Mahongwe,6.250371839994672,0
7,B501_Wanzi_E,6.250371839994672,0
7,B53_Tsaangi_Poungi,6.250371839994672,0
7,B71a_Teke_Dj,6.250371839994672,0
7,B78_Wuumu,6.250371839994672,0
7,B861_Ngul,6.250371839994672,0
7,C24_Koyo,6.2503718399946715,0
7,C25_Mboshi,6.2503718399946715,0
7,C323_Mpama,6.250371839994672,0
7,C83_Bushong,6.250371839994672,0
7,D11_Mbole,6.250371839994672,0
7,D211_Kango,6.250371839994672,0
7,D333_Ndaaka,6.250371839994672,0
7,D334_Mbo,6.250371839994672,0
7,D33_Nyali,6.250371839994672,0
7,F12_Bende,6.250371839994672,0
7,F24_Kimbu,6.250371839994673,0
7,Fefe_Grassfields,6.250371839994672,0
7,G24_Bondei,6.250371839994673,0
7,H16_Cimbala,6.2503718399946715,0
7,H16_Kimbeko,6.2503718399946715,0
7,H16a_Kisikongo_2013,6.2503718399946715,0
7,H16g_Kimpangu_2012,6.2503718399946715,0
7,H16h_Kinkanu_2012,6.2503718399946715,0
7,H41_Mbala,6.2503718399946715,0
7,K31_Luyana,6.250371839994672,0
7,Kom_Grassfields,6.250371839994672,0
7,L11_Pende,6.2503718399946715,0
7,L13_Kwese,6.2503718399946715,0
7,L23_Songe,6.250371839994672,0
7,L31a_Luba-Kasai,6.250371839994672,0
7,L32_Kanyok,6.250371839994672,0
7,L33_Luba-Shaba,6.250371839994672,0
7,M42_Bemba,6.250371839994672,0
7,M61_Lenje,6.250371839994673,0
7,M62_Soli,6.250371839994672,0
7,M64_Tonga,6.250371839994673,0
7,Moghamo_Grassfields,6.250371839994672,0
7,Mungaka_Grassfields,6.250371839994672,0
7,Oku_Grassfields,6.250371839994672,0
7,R21_Kwanyama,6.250371839994672,0
7,R31_Herero,6.250371839994672,0
7,*D308_Ebodo,6.250371839994672,0
8,A62A_Nuasue,5.275647031958946,0
8,A62B_Mmala,5.275647031958946,0
8,A75a_Fang_Bitam,5.275647031958947,0
8,A75a_Fang_Medouneu,5.275647031958947,0
8,A84_Njem,5.275647031958946,0
8,A86c_Mpiemo,5.275647031958946,0
8,B11b_Orungu,5.275647031958946,0
8,B204_Ndambomo_Massoukou,5.275647031958947,0
8,B22b_Koya,5.275647031958947,0
8,B252_Mahongwe,5.275647031958946,0
8,B501_Wanzi_E,5.275647031958946,0
8,B53_Tsaangi_Poungi,5.275647031958946,0
8,B71a_Teke_Dj,5.275647031958946,0
8,B78_Wuumu,5.275647031958946,0
8,B861_Ngul,5.275647031958946,0
8,C24_Koyo,5.275647031958946,0
8,C25_Mboshi,5.275647031958946,0
8,C323_Mpama,5.275647031958946,0
8,C83_Bushong,5.275647031958946,0
8,D11_Mbole,5.275647031958946,0
8,D211_Kango,5.275647031958946,0
8,D333_Ndaaka,5.275647031958946,0
8,D334_Mbo,5.275647031958946,0
8,D33_Nyali,5.275647031958946,0
8,F12_Bende,5.275647031958946,0
8,F24_Kimbu,5.275647031958946,0
8,Fefe_Grassfields,5.275647031958946,0
8,G24_Bondei,5.275647031958946,0
8,H16_Cimbala,5.275647031958946,0
8,H16_Kimbeko,5.275647031958946,0
8,H16a_Kisikongo_2013,5.275647031958946,0
8,H16g_Kimpangu_2012,5.275647031958945,0
8,H16h_Kinkanu_2012,5.275647031958946,0
8,H41_Mbala,5.275647031958946,0
8,K31_Luyana,5.275647031958946,0
8,Kom_Grassfields,5.275647031958946,0
8,L11_Pende,5.275647031958946,0
8,L13_Kwese,5.275647031958946,0
8,L23_Songe,5.275647031958946,0
8,L31a_Luba-Kasai,5.275647031958946,0
8,L32_Kanyok,5.275647031958946,0
8,L33_Luba-Shaba,5.275647031958946,0
8,M42_Bemba,5.275647031958946,0
8,M61_Lenje,5.275647031958946,0
8,M62_Soli,5.275647031958946,0
8,M64_Tonga,5.275647031958946,0
8,Moghamo_Grassfields,5.275647031958946,0
8,Mungaka_Grassfields,5.275647031958946,0
8,Oku_Grassfields,5.275647031958946,0
8,R21_Kwanyama,5.275647031958946,0
8,R31_Herero,5.275647031958946,0
8,*D308_Ebodo,5.275647031958946,0
9,A62A_Nuasue,6.088869809530339,0
9,A62B_Mmala,6.088869809530339,0
9,A75a_Fang_Bitam,6.088869809530338,0
9,A75a_Fang_Medouneu,6.088869809530338,0
9,A84_Njem,6.088869809530338,0
9,A86c_Mpiemo,6.088869809530338,0
9,B11b_Orungu,6.088869809530338,0
9,B204_Ndambomo_Massoukou,6.088869809530339,0
9,B22b_Koya,6.088869809530339,0
9,B252_Mahongwe,6.088869809530339,0
9,B501_Wanzi_E,6.088869809530337,0
9,B53_Tsaangi_Poungi,6.088869809530337,0
9,B71a_Teke_Dj,6.088869809530338,0
