value	sens	tree
2.09611230685094	the_root	1
1.27378620744082	the_root	1
2.1611848621864	the_root	1
0.634952369866426	the_root	1
3.0589540758096	the_root	1
1.60713927260459	the_root	1
1.9653362264663	the_root	2
1.30517317578977	the_root	2
1.93801773859605	the_root	2
0.510234504895452	the_root	2
2.93525423534751	the_root	2
1.77141221288962	the_root	2
2.72509329676036	the_root	3
1.29518482033628	the_root	3
2.61482315493209	the_root	3
0.678512626641705	the_root	3
3.28221392458474	the_root	3
1.9470923456431	the_root	3
3.81787981934217	the_root	4
1.38663935668968	the_root	4
2.11958645803254	the_root	4
0.729935915827443	the_root	4
3.18936633623418	the_root	4
2.12632930001669	the_root	4
3.20018610903759	the_root	5
1.42002162100156	the_root	5
2.28819078328328	the_root	5
0.757516911704393	the_root	5
3.01409055294894	the_root	5
2.23013430168944	the_root	5
2.84951467485182	the_root	6
1.35511710953213	the_root	6
2.29204538449931	the_root	6
0.731633059534268	the_root	6
3.06595767174664	the_root	6
1.90496129136936	the_root	6
2.94761631705351	the_root	7
1.19016687630453	the_root	7
2.3649522850764	the_root	7
0.798827103743873	the_root	7
3.10145980217634	the_root	7
2.36478420841283	the_root	7
3.04759269020763	the_root	8
1.38760687790163	the_root	8
2.79062449146758	the_root	8
0.689487790041092	the_root	8
3.20197647048046	the_root	8
1.61395745974892	the_root	8
3.74625020514718	the_root	9
1.34680442375324	the_root	9
2.11773858715421	the_root	9
0.698098521770722	the_root	9
2.91306835850673	the_root	9
2.22415130864647	the_root	9
3.02181981007724	the_root	10
1.39562493687998	the_root	10
2.47610673221305	the_root	10
0.742411694450233	the_root	10
3.02580451452138	the_root	10
2.23181417981895	the_root	10
2.70904511370614	the_root	11
1.39410505092121	the_root	11
2.67683169506109	the_root	11
0.666745724933618	the_root	11
3.10543400501721	the_root	11
1.73525549052836	the_root	11
3.10162674242215	the_root	12
1.24513681177148	the_root	12
2.14029364119447	the_root	12
0.686038535751219	the_root	12
3.24917941929261	the_root	12
2.16592913726267	the_root	12
3.22560920249487	the_root	13
1.31955785328419	the_root	13
2.26278318341327	the_root	13
0.783843676647851	the_root	13
3.2636717510129	the_root	13
2.08463244880951	the_root	13
3.03784814398219	the_root	14
1.35711756286184	the_root	14
2.7221571924035	the_root	14
0.81291607909681	the_root	14
3.54620965695486	the_root	14
1.91152820798583	the_root	14
2.32262983481189	the_root	15
1.39121206283391	the_root	15
2.33709180671161	the_root	15
0.834954493509859	the_root	15
3.04811821410262	the_root	15
2.27086062893509	the_root	15
2.37361031159092	the_root	16
1.16638691898864	the_root	16
2.55174277754954	the_root	16
0.866852217162517	the_root	16
3.03608740067557	the_root	16
2.61078695239998	the_root	16
2.86824405417887	the_root	17
1.36239489000152	the_root	17
2.21351642373049	the_root	17
0.744780577980091	the_root	17
3.13416852820712	the_root	17
2.24875401920805	the_root	17
2.5759060291293	the_root	18
1.35053791479635	the_root	18
2.52494086423682	the_root	18
0.694427551472581	the_root	18
2.96013673673936	the_root	18
2.03007321772964	the_root	18
2.52760164755179	the_root	19
1.23911838079604	the_root	19
2.36059704228489	the_root	19
0.776024772766275	the_root	19
3.07893425177451	the_root	19
1.71556415897367	the_root	19
3.36694501841786	the_root	20
1.2516639751734	the_root	20
2.17107512042353	the_root	20
0.615649735788727	the_root	20
3.25574097190009	the_root	20
2.05030508660083	the_root	20
2.99115691979973	the_root	21
1.31841951431555	the_root	21
2.55027810475639	the_root	21
0.835603059001725	the_root	21
3.03982850456114	the_root	21
1.6455417126861	the_root	21
2.72814555855014	the_root	22
1.38160246317509	the_root	22
2.13405296130273	the_root	22
0.80431204427348	the_root	22
3.11783391077029	the_root	22
1.90928165013792	the_root	22
2.72258245093284	the_root	23
1.29470490202156	the_root	23
2.1761265882748	the_root	23
