tree,tip,age,depth
1,BarabaTatar,12.05709866348074,1.7763568394002505e-15
1,CodexCumanicus,6.057098663480739,6.0000000000000036
1,NorthAltai,12.057098663480742,0
1,OldTurkic,1.0570986634807387,11.000000000000004
1,SouthAltai,12.057098663480739,3.552713678800501e-15
1,Azeri,12.05709866348074,1.7763568394002505e-15
1,Bashkir,12.05709866348074,1.7763568394002505e-15
1,Chuvash,12.05709866348074,1.7763568394002505e-15
1,CrimeanTatar,12.05709866348074,1.7763568394002505e-15
1,Dolgan,12.05709866348074,1.7763568394002505e-15
1,Gagauz,12.057098663480739,3.552713678800501e-15
1,KaraKalpak,12.057098663480742,0
1,KarachayBalkar,12.057098663480739,3.552713678800501e-15
1,Karaim,12.057098663480739,3.552713678800501e-15
1,Kazakh,12.057098663480742,0
1,Khakas,12.05709866348074,1.7763568394002505e-15
1,Khalaj,12.05709866348074,1.7763568394002505e-15
1,Kirghiz,12.057098663480739,3.552713678800501e-15
1,Kumyk,12.05709866348074,1.7763568394002505e-15
1,MiddleChulym,12.05709866348074,1.7763568394002505e-15
1,Nogai,12.057098663480739,3.552713678800501e-15
1,Salar,12.057098663480739,3.552713678800501e-15
1,WestYugur,12.05709866348074,1.7763568394002505e-15
1,Shor,12.057098663480739,3.552713678800501e-15
1,KazanTatar,12.057098663480739,3.552713678800501e-15
1,Tofa,12.05709866348074,1.7763568394002505e-15
1,Turkish,12.05709866348074,1.7763568394002505e-15
1,Turkmen,12.057098663480739,3.552713678800501e-15
1,Tuvan,12.057098663480739,3.552713678800501e-15
1,Uyghur,12.05709866348074,1.7763568394002505e-15
1,Uzbek,12.05709866348074,1.7763568394002505e-15
1,Yakut,12.057098663480739,3.552713678800501e-15
1,Khalkha,12.05709866348074,1.7763568394002505e-15
1,Buriat,12.057098663480742,0
1,Kalmyck,12.05709866348074,1.7763568394002505e-15
1,Oirat,12.05709866348074,1.7763568394002505e-15
1,Kamnigan,12.057098663480739,3.552713678800501e-15
1,Dagur,12.05709866348074,1.7763568394002505e-15
1,Shira-Yughur,12.05709866348074,1.7763568394002505e-15
1,Baoan,12.057098663480739,3.552713678800501e-15
1,Dongxian,12.057098663480739,3.552713678800501e-15
1,Minhe,12.057098663480739,3.552713678800501e-15
1,Huzhu,12.05709866348074,1.7763568394002505e-15
1,Kangjia,12.05709866348074,1.7763568394002505e-15
1,Moghol,12.05709866348074,1.7763568394002505e-15
1,Middle_Mongolian_Secret_History,4.557098663480739,7.5000000000000036
1,Middle_Mongolian_Muqaddimat_al-adab,6.057098663480739,6.0000000000000036
1,Hezhe,12.057098663480739,3.552713678800501e-15
1,Oroch,12.057098663480739,3.552713678800501e-15
1,Udihe,12.05709866348074,1.7763568394002505e-15
1,Nanai_Middle_Amur,12.057098663480739,3.552713678800501e-15
1,Kur-Urmi,12.05709866348074,1.7763568394002505e-15
1,Nanai_Bikin,12.057098663480739,3.552713678800501e-15
1,Orok,12.057098663480739,3.552713678800501e-15
1,Ulcha,12.057098663480739,3.552713678800501e-15
1,Jurchen,8.057098663480739,4.0000000000000036
1,Manchu,11.167098663480738,0.8900000000000041
1,Xibe,12.057098663480739,3.552713678800501e-15
1,Even,12.05709866348074,1.7763568394002505e-15
1,Solon,12.05709866348074,1.7763568394002505e-15
1,Evenki_Kamnigan,12.057098663480739,3.552713678800501e-15
1,Evenki_PT,12.05709866348074,1.7763568394002505e-15
1,Southern_Evenki_Chiringda,12.05709866348074,1.7763568394002505e-15
1,Northern_Evenki_Tutonchany,12.05709866348074,1.7763568394002505e-15
1,Northern_Evenki_Tura,12.05709866348074,1.7763568394002505e-15
1,Negidal,12.057098663480739,3.552713678800501e-15
1,Oroqen,12.057098663480739,3.552713678800501e-15
1,Hwanghae,12.057098663480739,3.552713678800501e-15
1,Southern_Hamgyong,12.057098663480739,3.552713678800501e-15
1,Northern_Hamgyong,12.05709866348074,1.7763568394002505e-15
1,Southern_Pyongan,12.057098663480739,3.552713678800501e-15
1,Northern_Pyongan,12.05709866348074,1.7763568394002505e-15
1,Jeju,12.05709866348074,1.7763568394002505e-15
1,Southern_Jeolla,12.05709866348074,1.7763568394002505e-15
1,Northern_Jeolla,12.05709866348074,1.7763568394002505e-15
1,Southern_Gyeongsang,12.057098663480739,3.552713678800501e-15
1,Northern_Gyeongsang,12.057098663480739,3.552713678800501e-15
1,Southern_Chungcheong,12.057098663480739,3.552713678800501e-15
1,Northern_Chungcheong,12.057098663480739,3.552713678800501e-15
1,Gyeonggi,12.05709866348074,1.7763568394002505e-15
1,Gangwon,12.057098663480739,3.552713678800501e-15
1,Late_Middle_Korean,7.977098663480739,4.080000000000004
1,Japanese,12.057098663480739,3.552713678800501e-15
1,Old_Japanese,0.057098663480738665,12.000000000000004
1,Amami_Yamatohama,12.05709866348074,1.7763568394002505e-15
1,Amami_Asama,12.057098663480739,3.552713678800501e-15
1,Amami_Yoron,12.05709866348074,1.7763568394002505e-15
1,Okinawa_Yonamine,12.05709866348074,1.7763568394002505e-15
1,Okinawa_Shuri,12.057098663480739,3.552713678800501e-15
1,Miyako_Irabu,12.05709866348074,1.7763568394002505e-15
1,Yaeyama_Ishigaki,12.057098663480742,0
1,Yaeyama_Hatoma,12.057098663480739,3.552713678800501e-15
