#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="7.7" name="distr" upper="8.25"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	monophyletic(a)	logP(mrca(a))	mrca.age(a)	clockRate.c:clock
0	-120909.14124869158	-120883.22219861195	-25.91905007962522	-120883.22219861195	7.70072184570658	1.0	1.0	0.5	0.5	-18.609131801398703	1.0	0.5	1	0.5978370007556207	7.700346425847947	1.0
1000	-103724.79092139758	-103654.96370672688	-69.82721467069624	-103654.96370672688	7.720221406836395	1.0	1.0	0.5	0.5	-62.51729639246972	0.6380360036995371	0.4841430422406765	0	0.5978370007556207	7.720221406836395	8.712878081964668
2000	-103587.7204366719	-103501.08434085852	-86.63609581337687	-103501.08434085852	8.242476277417172	1.0	1.0	0.5007462320987228	0.4992537679012772	-79.32617753515035	0.5680240669311883	0.3954566665379612	0	0.5978370007556207	8.242476277417172	7.168211806355032
3000	-103436.30938303824	-103353.20252641056	-83.10685662768746	-103353.20252641056	7.706639652032707	1.0	1.0	0.5007462320987228	0.4992537679012772	-75.79693834946094	0.4427810608353222	0.3235004172403846	0	0.5978370007556207	7.706639652032707	6.082207231826068
4000	-103435.29757675937	-103338.40137685413	-96.89619990523472	-103338.40137685413	7.940175575915915	1.0	1.0	0.5007462320987228	0.4992537679012772	-89.5862816270082	0.32069706376303253	0.255983315798124	0	0.5978370007556207	7.940175575915915	6.02482744387626
5000	-103386.6571706924	-103292.12900724736	-94.52816344503108	-103292.12900724736	8.15680753389456	1.0	1.0	0.5007462320987228	0.4992537679012772	-87.21824516680456	0.29446902019863	0.5080391578309527	0	0.5978370007556207	8.15680753389456	5.245671743042697
6000	-103359.10530917617	-103269.99055614925	-89.11475302692858	-103269.99055614925	7.903649572098494	1.0	1.0	0.5007462320987228	0.4992537679012772	-81.80483474870206	0.40120740251195686	0.33613939400645676	0	0.5978370007556207	7.778553467978634	6.378840856966359
7000	-103357.5518088182	-103264.79214833444	-92.75966048376083	-103264.79214833444	8.212541633989238	1.0	1.0	0.5013075930171809	0.49869240698281914	-85.4497422055343	0.33316533860622183	0.39076600136460393	0	0.5978370007556207	8.212541633989238	6.078037813402713
8000	-103336.60794222845	-103258.30795385409	-78.29998837436081	-103258.30795385409	7.99903905934429	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-70.96234928696745	0.5887210665506226	0.4283817328271212	0	0.5978370007556207	7.99903905934429	6.971738027320645
9000	-103346.14337053422	-103259.81482386304	-86.32854667117695	-103259.81482386304	8.233123095935898	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-78.9909075837836	0.34346433537152066	0.4413266494947829	0	0.5978370007556207	8.233123095935898	6.485323619638467
10000	-102981.52607020945	-102895.86465263712	-85.66141757233638	-102895.86465263712	7.901059329082109	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-78.32377848494302	0.40412268449061783	0.3988092751980214	0	0.5978370007556207	7.901059329082109	5.753530003416302
11000	-102772.62747542084	-102684.42263154691	-88.20484387392597	-102684.42263154691	7.715482598305855	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-80.86720478653261	0.4095155986446526	0.16619917522709787	0	0.5978370007556207	7.715482598305855	4.971298584200215
12000	-102736.29314659387	-102642.95145820985	-93.34168838401892	-102642.95145820985	7.7224593964743296	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-86.00404929662557	0.3846395294642612	0.3189302765898201	0	0.5978370007556207	7.7224593964743296	5.392942166756236
13000	-102721.98785332384	-102635.676309097	-86.3115442268273	-102635.676309097	7.927076566549558	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-78.97390513943394	0.31288603159307493	0.6017155975320057	0	0.5978370007556207	7.927076566549558	5.340472260072227
14000	-102716.99568341848	-102630.484037139	-86.51164627948931	-102630.484037139	7.819155198313586	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-79.17400719209596	0.3603125368238089	0.6128927197243832	0	0.5978370007556207	7.819155198313586	4.770669436037309
15000	-102699.8757990858	-102617.49511839155	-82.38068069424578	-102617.49511839155	7.928585320452129	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-75.04304160685243	0.3484830881985708	0.37896602528490475	0	0.5978370007556207	7.928585320452129	5.31656284022175
16000	-102709.63037473889	-102631.50431252309	-78.12606221580572	-102631.50431252309	7.706106779689722	1.0	1.0277208091668424	0.5013075930171809	0.49869240698281914	-70.78842312841236	0.39321788266578567	0.4756785202435981	0	0.5978370007556207	7.706106779689722	5.420839612543443
17000	-102692.64713750967	-102612.77393969338	-79.87319781629931	-102612.77393969338	8.05103158976082	1.0	1.0049652845188868	0.5013075930171809	0.49869240698281914	-72.5583142535539	0.5249580486103641	0.34921874133786346	0	0.5978370007556207	8.05103158976082	5.083088386743194
18000	-102661.39920919968	-102579.63580208401	-81.76340711567094	-102579.63580208401	7.934350423379179	1.0	1.0049652845188868	0.5013075930171809	0.49869240698281914	-74.44852355292554	0.4341805606425839	0.2761713675494672	0	0.5978370007556207	7.934350423379179	4.76442508003593
19000	-102677.66012795357	-102593.59788407231	-84.06224388125071	-102593.59788407231	8.232022259851457	1.0	1.0049652845188868	0.5013075930171809	0.49869240698281914	-76.7473603185053	0.5264790371252581	0.2691728486347561	0	0.5978370007556207	8.232022259851457	4.703405245594032
20000	-102665.3191156756	-102588.27783203662	-77.04128363896734	-102588.27783203662	8.188010309287167	1.0	1.005380763443012	0.5013075930171809	0.49869240698281914	-69.72598459729781	0.5577786972332046	0.09089259963720098	0	0.5978370007556207	8.188010309287167	4.801652397330581
21000	-102671.38636045816	-102586.64381529839	-84.74254515976529	-102586.64381529839	7.995904020803418	1.0	1.0836959186595754	0.5013075930171809	0.49869240698281914	-77.3489309628792	0.4965167203992617	0.20402820978370387	0	0.5978370007556207	7.995904020803418	4.62969107789856
22000	-102666.28314537593	-102585.49127819024	-80.79186718569646	-102585.49127819024	7.963640288493209	1.0	1.0836959186595754	0.5004376542742394	0.4995623457257606	-73.39825298881037	0.7264105264924767	0.07476942042742926	0	0.5978370007556207	7.963640288493209	4.577291603224857
23000	-102683.08698286378	-102591.52791919393	-91.55906366984915	-102591.52791919393	7.768190482575766	1.0	1.0836959186595754	0.5004376542742394	0.4995623457257606	-84.16544947296306	0.39340267447539645	0.1280949651352135	0	0.5978370007556207	7.768190482575766	4.556951992535317
24000	-102679.83227371318	-102594.07860256641	-85.75367114677007	-102594.07860256641	7.736256461258978	1.0	1.0836959186595754	0.5004376542742394	0.4995623457257606	-78.36005694988398	0.4436488981614269	0.1273318562555811	0	0.5978370007556207	7.736256461258978	4.120185680465893
25000	-102675.7281803475	-102587.79547703202	-87.93270331547761	-102587.79547703202	8.186888522369909	1.0	1.0836959186595754	0.49915795337040775	0.5008420466295922	-80.53908911859152	0.5969054605509805	0.08687727077302035	0	0.5978370007556207	8.186888522369909	3.58960223562114
26000	-102684.45182813551	-102593.17754991705	-91.27427821847145	-102593.17754991705	8.0568005889596	1.0	1.0836959186595754	0.49913774132088273	0.5008622586791173	-83.88066402158536	0.4658654932678695	0.1570136136121951	0	0.5978370007556207	7.797849899942735	3.6225178777094613
27000	-102685.555191524	-102591.02560016618	-94.529591357837	-102591.02560016618	11.142273146313707	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-87.13597716095092	0.26774584266763735	0.6641597595360818	0	0.5978370007556207	8.048678938143366	3.722957201583562
28000	-102683.2229406662	-102589.17515503294	-94.04778563326269	-102589.17515503294	7.94901080609447	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-86.6541714363766	0.3330702272305799	0.5865079987240939	0	0.5978370007556207	7.94901080609447	3.7157887659074693
29000	-102697.68780641616	-102604.57820890206	-93.10959751408589	-102604.57820890206	8.174587314654177	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-85.7159833171998	0.3238079423967814	0.4661040626795398	0	0.5978370007556207	8.174587314654177	3.5471130670882554
30000	-102688.69607824924	-102592.72594698801	-95.97013126123342	-102592.72594698801	8.19921238116582	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-88.57651706434733	0.3085644314647818	0.5238740214935478	0	0.5978370007556207	8.19921238116582	3.3869931148363106
31000	-102702.44862083983	-102596.76029044381	-105.6883303960207	-102596.76029044381	12.323521039139115	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-98.29471619913461	0.2939018914037433	0.02020737633404739	0	0.5978370007556207	8.191142653670557	3.018880535767916
32000	-102701.80339773568	-102594.46276365843	-107.3406340772464	-102594.46276365843	11.32305745691732	1.0	1.0836959186595754	0.49762044804155947	0.5023795519584405	-99.94701988036032	0.2148666086508769	0.5949009102473357	0	0.5978370007556207	8.121059925020408	3.0537020462846627
33000	-102703.41049914321	-102591.99999794835	-111.41050119485307	-102591.99999794835	11.836822957347977	1.0	1.0836959186595754	0.4999123301434447	0.5000876698565553	-104.01688699796698	0.25068427121479747	0.19361441850184455	0	0.5978370007556207	7.703946520711385	2.975777040818057
34000	-102701.37103907375	-102589.02048069958	-112.35055837417408	-102589.02048069958	16.722730024210207	1.0	1.0836959186595754	0.4999123301434447	0.5000876698565553	-104.956944177288	0.21920743300779277	0.5878029568966388	0	0.5978370007556207	8.222647743077168	2.895641983027185
35000	-102711.48292896264	-102593.36937835217	-118.1135506104645	-102593.36937835217	21.012325725322498	1.0	1.0836959186595754	0.49983839826386767	0.5001616017361323	-110.71993641357841	0.17154681137365932	0.6634429328183785	0	0.5978370007556207	8.18107107708	2.9340760364072374
