"type","age","simulation","node","exist","N_nodes"
"consensus",2,1,77,49,TRUE
"consensus",2,1,78,49,TRUE
"consensus",2,1,79,49,TRUE
"consensus",2,1,80,49,FALSE
"consensus",2,1,81,49,TRUE
"consensus",2,1,82,49,TRUE
"consensus",2,1,83,49,FALSE
"consensus",2,1,84,49,TRUE
"consensus",2,1,85,49,TRUE
"consensus",2,1,86,49,TRUE
"consensus",2,1,87,49,TRUE
"consensus",2,1,88,49,TRUE
"consensus",2,1,89,49,TRUE
"consensus",2,1,90,49,TRUE
"consensus",2,1,91,49,TRUE
"consensus",2,1,92,49,TRUE
"consensus",2,1,93,49,TRUE
"consensus",3,1,51,44,TRUE
"consensus",3,1,52,44,TRUE
"consensus",3,1,53,44,TRUE
"consensus",3,1,54,44,TRUE
"consensus",3,1,55,44,TRUE
"consensus",3,1,56,44,TRUE
"consensus",3,1,57,44,TRUE
"consensus",3,1,58,44,TRUE
"consensus",3,1,59,44,TRUE
"consensus",3,1,60,44,TRUE
"consensus",3,1,61,44,TRUE
"consensus",3,1,62,44,TRUE
"consensus",3,1,63,44,TRUE
"consensus",3,1,65,44,TRUE
"consensus",3,1,66,44,TRUE
"consensus",3,1,67,44,TRUE
"consensus",3,1,68,44,TRUE
"consensus",3,1,69,44,TRUE
"consensus",3,1,74,44,FALSE
"consensus",3,1,75,44,TRUE
"consensus",3,1,76,44,TRUE
"consensus",3,1,77,44,TRUE
"consensus",3,1,78,44,TRUE
"consensus",3,1,79,44,TRUE
"consensus",3,1,80,44,FALSE
"consensus",3,1,81,44,TRUE
"consensus",3,1,82,44,TRUE
"consensus",3,1,83,44,TRUE
"consensus",3,1,84,44,TRUE
"consensus",3,1,85,44,TRUE
"consensus",3,1,86,44,TRUE
"consensus",3,1,87,44,TRUE
"consensus",3,1,88,44,TRUE
"consensus",4,1,51,42,TRUE
"consensus",4,1,52,42,TRUE
"consensus",4,1,53,42,TRUE
"consensus",4,1,54,42,TRUE
"consensus",4,1,55,42,TRUE
"consensus",4,1,56,42,TRUE
"consensus",4,1,57,42,TRUE
"consensus",4,1,58,42,TRUE
"consensus",4,1,59,42,TRUE
"consensus",4,1,60,42,TRUE
"consensus",4,1,61,42,TRUE
"consensus",4,1,62,42,TRUE
"consensus",4,1,64,42,TRUE
"consensus",4,1,65,42,TRUE
"consensus",4,1,66,42,TRUE
"consensus",4,1,67,42,TRUE
"consensus",4,1,68,42,FALSE
"consensus",4,1,69,42,TRUE
"consensus",4,1,74,42,TRUE
"consensus",4,1,75,42,TRUE
"consensus",4,1,76,42,FALSE
"consensus",4,1,77,42,TRUE
"consensus",4,1,78,42,TRUE
"consensus",4,1,79,42,TRUE
"consensus",4,1,80,42,TRUE
"consensus",4,1,81,42,TRUE
"consensus",4,1,82,42,TRUE
"consensus",4,1,83,42,TRUE
"consensus",4,1,84,42,FALSE
"consensus",4,1,85,42,TRUE
"consensus",4,1,86,42,FALSE
"consensus",5,1,51,40,TRUE
"consensus",5,1,52,40,TRUE
"consensus",5,1,53,40,TRUE
"consensus",5,1,54,40,TRUE
"consensus",5,1,55,40,TRUE
"consensus",5,1,56,40,TRUE
"consensus",5,1,57,40,TRUE
"consensus",5,1,58,40,TRUE
"consensus",5,1,59,40,TRUE
"consensus",5,1,60,40,TRUE
"consensus",5,1,61,40,TRUE
"consensus",5,1,63,40,TRUE
"consensus",5,1,64,40,TRUE
"consensus",5,1,65,40,FALSE
"consensus",5,1,66,40,TRUE
"consensus",5,1,67,40,FALSE
"consensus",5,1,68,40,TRUE
"consensus",5,1,73,40,TRUE
"consensus",5,1,74,40,TRUE
"consensus",5,1,75,40,TRUE
"consensus",5,1,76,40,TRUE
"consensus",5,1,77,40,TRUE
"consensus",5,1,78,40,TRUE
"consensus",5,1,79,40,TRUE
"consensus",5,1,80,40,TRUE
"consensus",5,1,81,40,TRUE
"consensus",5,1,82,40,TRUE
"consensus",5,1,83,40,TRUE
"consensus",5,1,84,40,TRUE
"consensus",5,1,85,40,TRUE
"consensus",6,1,51,39,TRUE
"consensus",6,1,52,39,TRUE
"consensus",6,1,53,39,TRUE
"consensus",6,1,54,39,TRUE
"consensus",6,1,55,39,TRUE
"consensus",6,1,56,39,TRUE
"consensus",6,1,57,39,TRUE
"consensus",6,1,58,39,TRUE
"consensus",6,1,59,39,TRUE
"consensus",6,1,60,39,TRUE
"consensus",6,1,62,39,TRUE
"consensus",6,1,63,39,TRUE
"consensus",6,1,64,39,TRUE
"consensus",6,1,65,39,TRUE
"consensus",6,1,66,39,FALSE
"consensus",6,1,67,39,TRUE
"consensus",6,1,68,39,TRUE
"consensus",6,1,69,39,TRUE
"consensus",6,1,70,39,TRUE
"consensus",6,1,71,39,TRUE
"consensus",6,1,72,39,TRUE
"consensus",6,1,77,39,TRUE
"consensus",6,1,78,39,TRUE
"consensus",6,1,79,39,TRUE
"consensus",6,1,80,39,TRUE
"consensus",6,1,81,39,FALSE
"consensus",6,1,88,39,TRUE
"consensus",6,1,89,39,FALSE
"consensus",7,1,51,36,TRUE
"consensus",7,1,52,36,TRUE
"consensus",7,1,53,36,TRUE
"consensus",7,1,54,36,TRUE
"consensus",7,1,55,36,TRUE
"consensus",7,1,56,36,TRUE
"consensus",7,1,57,36,TRUE
"consensus",7,1,58,36,TRUE
"consensus",7,1,59,36,TRUE
"consensus",7,1,61,36,TRUE
"consensus",7,1,62,36,TRUE
"consensus",7,1,63,36,TRUE
"consensus",7,1,64,36,TRUE
"consensus",7,1,65,36,TRUE
"consensus",7,1,66,36,TRUE
"consensus",7,1,67,36,FALSE
