age,simulation,node,y,mcc_prob,first_split
9,40,60,TRUE,0.135,60
1,41,52,TRUE,1,52
10,41,58,TRUE,0.745,58
11,41,52,FALSE,NA,52
12,41,59,FALSE,0.28,59
13,41,52,FALSE,0.01,52
14,41,52,FALSE,0.005,52
15,41,52,FALSE,0.005,52
16,41,52,FALSE,0.005,52
17,41,52,FALSE,0.005,52
2,41,52,TRUE,1,52
