"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
56,2,26,0.03,0.012,0.067
52,16,27,0,0,0.023
52,16,40,0,0,0.023
52,14,28,0,0,0.023
63,17,33,0,0,0.023
96,7,30,0,0,0.023
52,13,35,0,0,0.023
66,15,34,0,0,0.023
52,11,36,0,0,0.023
56,12,29,0,0,0.023
73,10,3,0,0,0.023
52,3,32,0.125,0.084,0.181
73,9,3,0,0,0.023
66,8,37,0,0,0.023
71,2,4,0.285,0.225,0.354
75,4,39,0.305,0.243,0.375
53,4,25,1,0.977,1
66,1,37,0.99,0.961,0.998
52,6,38,0.01,0.002,0.039
55,5,31,1,0.977,1
56,3,26,0.115,0.076,0.169
52,17,27,0,0,0.023
52,17,40,0,0,0.023
52,15,28,0,0,0.023
66,16,34,0,0,0.023
96,8,30,0,0,0.023
52,14,35,0,0,0.023
52,12,36,0,0,0.023
73,11,3,0,0,0.023
63,2,33,0.635,0.564,0.701
52,4,32,0.03,0.012,0.067
96,1,30,0.89,0.836,0.928
66,9,37,0,0,0.023
75,5,39,0.035,0.015,0.074
66,10,37,0,0,0.023
71,3,4,0.215,0.161,0.28
56,13,29,0.015,0.004,0.047
56,4,26,0.61,0.538,0.677
52,7,38,0,0,0.023
53,5,25,1,0.977,1
55,6,31,0.99,0.961,0.998
66,17,34,0,0,0.023
52,15,35,0,0,0.023
52,16,28,0,0,0.023
96,9,30,0,0,0.023
52,13,36,0,0,0.023
96,10,30,0,0,0.023
73,12,3,0,0,0.023
52,5,32,0,0,0.023
52,2,40,0.81,0.747,0.861
66,11,37,0,0,0.023
63,3,33,0.065,0.037,0.111
52,2,27,0.285,0.225,0.354
75,6,39,0,0,0.023
52,1,38,0.99,0.961,0.998
56,14,29,0,0,0.023
52,8,38,0,0,0.023
71,4,4,0.945,0.901,0.971
56,5,26,0.055,0.029,0.099
53,6,25,0.8,0.736,0.852
56,6,26,0.01,0.002,0.039
55,7,31,0.79,0.726,0.843
56,7,26,0.005,0,0.032
56,8,26,0.01,0.002,0.039
52,17,28,0,0,0.023
52,16,35,0,0,0.023
56,9,26,0,0,0.023
52,14,36,0,0,0.023
96,11,30,0,0,0.023
55,1,31,1,0.977,1
73,13,3,0,0,0.023
52,6,32,0.06,0.033,0.105
66,12,37,0,0,0.023
63,4,33,0,0,0.023
66,2,34,0.99,0.961,0.998
52,1,27,0.75,0.683,0.807
71,5,4,0,0,0.023
52,10,38,0,0,0.023
75,7,39,0,0,0.023
56,15,29,0.01,0.002,0.039
52,3,40,0.98,0.946,0.994
52,3,27,0.105,0.068,0.158
52,10,27,0,0,0.023
55,8,31,0.87,0.814,0.912
52,9,38,0,0,0.023
71,6,4,0,0,0.023
52,2,28,0.735,0.667,0.794
53,7,25,1,0.977,1
52,11,27,0,0,0.023
55,9,31,0,0,0.023
55,10,31,0,0,0.023
96,12,30,0,0,0.023
63,5,33,0,0,0.023
52,4,40,0,0,0.023
66,13,37,0,0,0.023
52,15,36,0,0,0.023
71,7,4,0,0,0.023
52,7,32,0,0,0.023
52,4,27,0.025,0.009,0.061
52,11,38,0,0,0.023
52,3,28,0.995,0.968,1
52,17,35,0,0,0.023
66,3,34,0.945,0.901,0.971
75,8,39,0,0,0.023
52,12,27,0,0,0.023
56,16,29,0.01,0.002,0.039
73,14,3,0,0,0.023
75,1,39,0.995,0.968,1
53,8,25,0.015,0.004,0.047
52,1,32,0.98,0.946,0.994
52,13,27,0,0,0.023
52,4,28,0.065,0.037,0.111
71,8,4,0,0,0.023
96,13,30,0,0,0.023
63,6,33,0,0,0.023
55,11,31,0.005,0,0.032
66,14,37,0,0,0.023
52,2,35,0.095,0.06,0.147
52,5,27,0.025,0.009,0.061
