"age","simulation","n_mcc","n_consensus"
8,1,49,32
8,10,49,32
8,11,49,28
8,12,49,27
8,13,49,27
8,14,49,30
8,15,49,28
8,16,49,27
8,17,49,25
8,18,49,30
8,19,49,30
8,2,49,28
8,20,49,29
8,21,49,29
8,22,49,32
8,23,49,28
8,24,49,26
8,25,49,31
8,26,49,30
8,27,49,29
8,28,49,28
8,29,49,26
8,3,49,29
8,30,49,31
8,31,49,28
8,32,49,27
8,33,49,34
8,34,49,28
8,35,49,30
8,36,49,28
8,37,49,28
8,38,49,28
8,39,49,32
8,4,49,29
8,40,49,31
8,41,49,30
8,42,49,29
8,43,49,31
8,44,49,29
8,45,49,32
8,46,49,31
8,47,49,25
8,48,49,25
8,49,49,29
8,5,49,29
8,50,49,31
8,6,49,31
8,7,49,31
8,8,49,29
8,9,49,33
