term,estimate,std.error,statistic,p.value,model
(Intercept),-4.017549401109272,0.42511583019362553,-9.450481764650865,3.3727475183218447e-21,Modèle MCC
age,-1.368686538436573,0.46511671574921165,-2.942673294878013,0.003253916113057495,Modèle MCC
first_split_prob,1.1456003116506928,0.18623097971527025,6.151502362293366,7.675238294744018e-10,Modèle MCC
root_split_age_prob,0.43491353559242324,0.552327373698649,0.7874198460960455,0.4310361327816628,Modèle MCC
(Intercept),1.026635054091176,0.09856347562204018,10.41597861288899,2.096304039504041e-25,Modèle CS
age,0.028202699100038628,0.18210830266572095,0.15486772808929897,0.8769255959018922,Modèle CS
first_split_prob,0.8873444465556495,0.11504766453520203,7.712841891580874,1.230464897941453e-14,Modèle CS
root_split_age_prob,-0.38341707701212246,0.23345119764751868,-1.64238642112701,0.10050994722058555,Modèle CS
