value,sens,t
7.92044980971847,dry,1
6.72938040192046,dry,1
7.92044980971847,dry,1
7.71617304834386,dry,1
6.72938040192046,dry,1
6.06160145428575,dry,1
5.56020591280219,dry,1
6.804983716687,dry,1
7.87456818983595,dry,1
6.23429006096096,dry,1
5.59386942596695,dry,1
7.92044980971847,eight,1
6.23429006096096,eight,1
7.71617304834386,high_tall,1
5.92403580812047,high_tall,1
7.92044980971847,high_tall,1
6.06160145428575,high_tall,1
7.26634818887714,high_tall,1
7.87456818983595,high_tall,1
6.23429006096096,high_tall,1
5.59386942596695,high_tall,1
7.71617304834386,inside,1
6.72938040192046,inside,1
7.92044980971847,inside,1
6.06160145428575,inside,1
7.87456818983595,inside,1
7.28224393205341,inside,1
6.23429006096096,inside,1
6.06160145428575,many,1
6.72938040192046,many,1
7.92044980971847,many,1
7.71617304834386,many,1
6.36262853126017,many,1
7.87456818983595,many,1
5.56020591280219,sharp,1
4.28820584803748,sharp,1
7.92044980971847,sharp,1
6.72938040192046,sharp,1
7.87456818983595,sharp,1
7.71617304834386,sharp,1
6.23429006096096,sharp,1
5.92403580812047,the_ant,1
7.87456818983595,the_ant,1
5.11663876900483,the_ant,1
7.92044980971847,the_ant,1
7.87456818983595,the_breast_female,1
7.26634818887714,the_breast_female,1
7.92044980971847,the_breast_female,1
7.71617304834386,the_dew,1
7.92044980971847,the_dew,1
7.75458473385007,the_dew,1
7.87456818983595,the_dew,1
6.72938040192046,the_dew,1
4.28820584803748,the_grass,1
7.87456818983595,the_grass,1
7.28224393205341,the_grass,1
7.75458473385007,the_grass,1
7.92044980971847,the_grass,1
6.72938040192046,the_grass,1
5.59386942596695,the_grass,1
6.81753682808529,the_head,1
7.75458473385007,the_head,1
5.92403580812047,the_head,1
7.92044980971847,the_head,1
7.71617304834386,the_head,1
7.87456818983595,the_head,1
6.06160145428575,the_head,1
7.92044980971847,the_louse,1
7.87456818983595,the_louse,1
6.23429006096096,the_louse,1
7.87456818983595,the_meat,1
6.23429006096096,the_meat,1
6.06671161427065,the_meat,1
7.92044980971847,the_meat,1
7.92044980971847,the_mouse_or_rat,1
6.23429006096096,the_mouse_or_rat,1
7.87456818983595,the_mouse_or_rat,1
