"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
13,42,62,52,0.535,0.005
16,10,55,52,0.985,0.005
11,24,62,52,0.87,0.005
12,33,52,52,0.575,0.005
13,29,52,52,0.83,0.005
1,2,52,52,0.615,0.925
14,42,63,52,0.995,0.005
12,38,60,67,0.585,0.005
12,24,62,52,0.91,0.005
17,10,54,52,0.85,0.005
10,2,56,62,0.52,0.005
13,38,61,52,0.53,0.005
10,47,67,52,0.565,0.005
11,6,62,54,0.505,0.005
13,15,52,52,0.69,0.005
14,38,58,52,0.545,0.005
14,29,35,61,NA,0.005
11,2,59,76,0.8,0.005
13,33,54,52,0.835,0.02
13,24,52,52,0.53,0.005
2,10,52,52,0.995,0.995
11,47,52,52,0.625,0.005
15,29,64,52,0.52,0.005
15,42,52,52,0.995,NA
15,38,27,52,NA,0.005
14,24,53,86,0.725,0.005
14,33,54,52,1,0.005
16,29,48,52,NA,0.005
12,6,61,78,0.85,0.005
15,24,52,62,0.785,0.005
15,33,56,52,1,0.005
14,15,67,52,0.51,NA
17,29,61,52,0.53,0.005
12,2,22,52,NA,0.005
3,10,52,54,1,1
12,47,38,52,NA,0.005
2,29,52,52,0.605,0.42
15,15,65,52,0.535,0.005
16,42,60,56,0.575,0.005
4,10,52,52,0.93,0.93
13,6,57,71,1,0.005
3,29,52,52,0.53,0.08
16,38,59,52,0.505,NA
16,24,56,52,0.545,0.005
16,15,58,52,0.565,0.005
16,33,57,52,0.86,NA
17,24,44,52,NA,0.005
17,15,65,52,0.74,0.005
17,42,20,52,NA,0.005
13,47,52,62,0.64,0.005
5,10,52,52,0.76,0.76
17,33,52,52,0.815,0.005
2,24,52,52,0.545,0.545
13,2,44,52,NA,0.005
14,6,28,60,NA,0.005
14,47,57,52,0.6,0.005
2,33,80,89,0.635,0.635
17,38,62,84,0.67,0.005
6,10,66,52,0.88,0.29
2,15,69,52,0.62,0.21
4,29,56,67,0.73,0.075
15,47,56,52,0.635,0.005
3,33,52,52,0.945,NA
2,42,76,52,0.815,0.815
15,6,58,89,1,0.005
3,24,52,52,0.82,0.395
7,10,52,52,0.64,NA
2,38,52,52,0.655,0.665
3,15,52,52,0.55,0.55
14,2,32,77,NA,0.005
5,29,59,52,0.64,0.115
3,42,70,52,0.575,0.215
4,33,72,60,0.77,0.215
16,6,49,52,NA,NA
16,47,50,52,NA,0.005
8,10,77,52,0.605,0.06
6,29,64,63,0.555,0.005
4,15,83,52,0.675,0.14
4,42,68,52,0.51,NA
