trait,sens,mean_value,trait_num,max_value,ratio_value_max,n_traits,mean_outgroup
2240,the_shoulder,4.85,2240,4.85,1,23,0.333
2241,the_shoulder,1.953,2241,4.85,0.403,23,0.333
2243,the_shoulder,3.156,2243,4.85,0.651,23,0.333
2244,the_shoulder,1.574,2244,4.85,0.325,23,0.333
2253,the_shoulder,0.738,2253,4.85,0.152,23,0.333
2255,the_shoulder,1.324,2255,4.85,0.273,23,0.333
2264,the_skin,4.873,2264,4.885,0.997,19,0.25
2266,the_skin,3.938,2266,4.885,0.806,19,0.25
2268,the_skin,4.885,2268,4.885,1,19,0.25
2269,the_skin,2.316,2269,4.885,0.474,19,0.25
2271,the_skin,0.805,2271,4.885,0.165,19,0.25
2272,the_skin,3.793,2272,4.885,0.776,19,0.25
2273,the_skin,2.392,2273,4.885,0.49,19,0.25
2275,the_skin,3.156,2275,4.885,0.646,19,0.25
2282,the_sky,2.068,2282,4.718,0.438,20,0.2
2283,the_sky,1.324,2283,4.718,0.281,20,0.2
2284,the_sky,2.912,2284,4.718,0.617,20,0.2
2285,the_sky,4.718,2285,4.718,1,20,0.2
2286,the_sky,3.156,2286,4.718,0.669,20,0.2
2302,the_smoke,7.069,2302,7.069,1,9,0.4
2304,the_smoke,1.324,2304,7.069,0.187,9,0.4
2305,the_smoke,3.156,2305,7.069,0.446,9,0.4
2306,the_smoke,0.289,2306,7.069,0.041,9,0.4
2307,the_smoke,2.523,2307,7.069,0.357,9,0.4
2311,the_snake,5.076,2311,5.076,1,8,0.333
2312,the_snake,3.156,2312,5.076,0.622,8,0.333
2316,the_snake,4.004,2316,5.076,0.789,8,0.333
2321,the_snow,2.227,2321,3.156,0.706,25,0.167
2322,the_snow,1.324,2322,3.156,0.42,25,0.167
2326,the_snow,2.181,2326,3.156,0.691,25,0.167
2328,the_snow,3.156,2328,3.156,1,25,0.167
2332,the_snow,3.064,2332,3.156,0.971,25,0.167
2334,the_snow,1.324,2334,3.156,0.42,25,0.167
2344,the_son,4.563,2344,4.65,0.981,21,0.429
2345,the_son,4.65,2345,4.65,1,21,0.429
2346,the_son,1.324,2346,4.65,0.285,21,0.429
2348,the_son,1.028,2348,4.65,0.221,21,0.429
2349,the_son,0.289,2349,4.65,0.062,21,0.429
2352,the_son,1.953,2352,4.65,0.42,21,0.429
2354,the_son,0.44,2354,4.65,0.095,21,0.429
2365,the_spider,2.068,2365,3.156,0.655,37,0.143
2367,the_spider,1.572,2367,3.156,0.498,37,0.143
2370,the_spider,2.224,2370,3.156,0.705,37,0.143
2371,the_spider,3.156,2371,3.156,1,37,0.143
2377,the_spider,1.324,2377,3.156,0.42,37,0.143
2390,the_spider,2.808,2390,3.156,0.89,37,0.143
2392,the_spider,0.738,2392,3.156,0.234,37,0.143
2402,the_star,2.281,2402,4.485,0.509,24,0.2
2403,the_star,4.485,2403,4.485,1,24,0.2
2405,the_star,2.192,2405,4.485,0.489,24,0.2
2406,the_star,3.156,2406,4.485,0.704,24,0.2
2415,the_star,3.856,2415,4.485,0.86,24,0.2
2429,the_stick,0.491,2429,3.598,0.136,34,0.222
2431,the_stick,0.732,2431,3.598,0.203,34,0.222
2432,the_stick,0.738,2432,3.598,0.205,34,0.222
2433,the_stick,3.137,2433,3.598,0.872,34,0.222
2434,the_stick,3.598,2434,3.598,1,34,0.222
2435,the_stick,1.324,2435,3.598,0.368,34,0.222
2436,the_stick,1.784,2436,3.598,0.496,34,0.222
2439,the_stick,0.44,2439,3.598,0.122,34,0.222
2440,the_stick,1.953,2440,3.598,0.543,34,0.222
2460,the_stone_a_piece_of,6.2,2460,6.2,1,16,0.143
2462,the_stone_a_piece_of,1.574,2462,6.2,0.254,16,0.143
2463,the_stone_a_piece_of,0.738,2463,6.2,0.119,16,0.143
2464,the_stone_a_piece_of,3.156,2464,6.2,0.509,16,0.143
2465,the_stone_a_piece_of,1.324,2465,6.2,0.214,16,0.143
2468,the_stone_a_piece_of,2.58,2468,6.2,0.416,16,0.143
2471,the_stone_a_piece_of,1.953,2471,6.2,0.315,16,0.143
2476,the_sun,4.545,2476,4.721,0.963,14,0.333
2477,the_sun,3.993,2477,4.721,0.846,14,0.333
2478,the_sun,0.732,2478,4.721,0.155,14,0.333
2479,the_sun,2.009,2479,4.721,0.425,14,0.333
2482,the_sun,2.985,2482,4.721,0.632,14,0.333
2487,the_sun,4.721,2487,4.721,1,14,0.333
2490,the_tail,5.454,2490,5.454,1,15,0.2
2492,the_tail,1.324,2492,5.454,0.243,15,0.2
2493,the_tail,3.92,2493,5.454,0.719,15,0.2
2496,the_tail,1.324,2496,5.454,0.243,15,0.2
2498,the_tail,1.953,2498,5.454,0.358,15,0.2
2511,the_thigh,1.324,2511,2.532,0.523,35,0
2513,the_thigh,1.572,2513,2.532,0.621,35,0
2518,the_thigh,2.532,2518,2.532,1,35,0
2525,the_thigh,0.738,2525,2.532,0.291,35,0
2540,the_thunder,4.935,2540,4.935,1,31,0.125
2541,the_thunder,1.324,2541,4.935,0.268,31,0.125
2543,the_thunder,1.953,2543,4.935,0.396,31,0.125
2546,the_thunder,0.491,2546,4.935,0.099,31,0.125
2547,the_thunder,0.732,2547,4.935,0.148,31,0.125
2550,the_thunder,0.734,2550,4.935,0.149,31,0.125
2552,the_thunder,3.156,2552,4.935,0.639,31,0.125
2566,the_thunder,2.978,2566,4.935,0.603,31,0.125
2572,the_tongue,3.156,2572,5.67,0.557,14,0.2
2575,the_tongue,1.953,2575,5.67,0.344,14,0.2
2578,the_tongue,3.92,2578,5.67,0.691,14,0.2
2580,the_tongue,2.22,2580,5.67,0.391,14,0.2
2582,the_tongue,5.67,2582,5.67,1,14,0.2
2585,the_tooth_front,1.555,2585,6.661,0.234,16,0.25
2586,the_tooth_front,2.075,2586,6.661,0.312,16,0.25
2597,the_tooth_front,4.429,2597,6.661,0.665,16,0.25
2599,the_tooth_front,6.661,2599,6.661,1,16,0.25
2601,the_tree,1.324,2601,6.819,0.194,11,0.167
2603,the_tree,2.192,2603,6.819,0.322,11,0.167
2605,the_tree,2.075,2605,6.819,0.304,11,0.167
2606,the_tree,4.71,2606,6.819,0.691,11,0.167
2607,the_tree,6.819,2607,6.819,1,11,0.167
2609,the_tree,2.91,2609,6.819,0.427,11,0.167
2612,the_water,2.975,2612,4.886,0.609,15,0.2
2616,the_water,4.886,2616,4.886,1,15,0.2
2617,the_water,2.88,2617,4.886,0.589,15,0.2
2618,the_water,1.953,2618,4.886,0.4,15,0.2
2621,the_water,1.583,2621,4.886,0.324,15,0.2
2628,the_wind,3.938,2628,4.489,0.877,26,0.125
2630,the_wind,4.489,2630,4.489,1,26,0.125
2631,the_wind,1.324,2631,4.489,0.295,26,0.125
2632,the_wind,3.156,2632,4.489,0.703,26,0.125
2636,the_wind,1.953,2636,4.489,0.435,26,0.125
2638,the_wind,2.58,2638,4.489,0.575,26,0.125
2641,the_wind,2.599,2641,4.489,0.579,26,0.125
2645,the_wind,4.429,2645,4.489,0.987,26,0.125
2653,the_wing,2.068,2653,4.063,0.509,23,0.333
2654,the_wing,4.063,2654,4.063,1,23,0.333
2657,the_wing,1.324,2657,4.063,0.326,23,0.333
2658,the_wing,3.101,2658,4.063,0.763,23,0.333
2659,the_wing,0.738,2659,4.063,0.182,23,0.333
2660,the_wing,3.156,2660,4.063,0.777,23,0.333
2662,the_wing,1.953,2662,4.063,0.481,23,0.333
2669,the_wing,1.411,2669,4.063,0.347,23,0.333
2670,the_wing,0.289,2670,4.063,0.071,23,0.333
2680,the_woman,0.491,2680,4.485,0.109,35,0.333
2683,the_woman,3.156,2683,4.485,0.704,35,0.333
2684,the_woman,0.493,2684,4.485,0.11,35,0.333
2689,the_woman,1.324,2689,4.485,0.295,35,0.333
2702,the_woman,4.485,2702,4.485,1,35,0.333
2703,the_woman,3.935,2703,4.485,0.877,35,0.333
2714,the_year,1.324,2714,4.983,0.266,16,0.143
2716,the_year,3.262,2716,4.983,0.655,16,0.143
2717,the_year,4.983,2717,4.983,1,16,0.143
2718,the_year,3.9,2718,4.983,0.783,16,0.143
2719,the_year,2.599,2719,4.983,0.522,16,0.143
2720,the_year,4.21,2720,4.983,0.845,16,0.143
2721,the_year,0.732,2721,4.983,0.147,16,0.143
2729,thick,0.491,2729,5.115,0.096,22,0.2
2730,thick,0.771,2730,5.115,0.151,22,0.2
2731,thick,2.928,2731,5.115,0.572,22,0.2
2732,thick,2.886,2732,5.115,0.564,22,0.2
2733,thick,2.068,2733,5.115,0.404,22,0.2
2735,thick,3.156,2735,5.115,0.617,22,0.2
2736,thick,1.028,2736,5.115,0.201,22,0.2
2737,thick,1.324,2737,5.115,0.259,22,0.2
2740,thick,1.903,2740,5.115,0.372,22,0.2
2742,thick,5.115,2742,5.115,1,22,0.2
2749,thin_object,1.061,2749,5.758,0.184,23,0.25
2755,thin_object,2.075,2755,5.758,0.36,23,0.25
2757,thin_object,1.324,2757,5.758,0.23,23,0.25
2758,thin_object,5.758,2758,5.758,1,23,0.25
2772,thou_second_person_singular,4.714,2772,5.848,0.806,12,0.333
2774,thou_second_person_singular,3.156,2774,5.848,0.54,12,0.333
2775,thou_second_person_singular,3.156,2775,5.848,0.54,12,0.333
2776,thou_second_person_singular,1.324,2776,5.848,0.226,12,0.333
2777,thou_second_person_singular,3.862,2777,5.848,0.66,12,0.333
2781,thou_second_person_singular,5.848,2781,5.848,1,12,0.333
2784,three,7.053,2784,7.053,1,3,1
2787,to_be_alive,3.872,2787,5.89,0.657,24,0.333
2790,to_be_alive,0.732,2790,5.89,0.124,24,0.333
2792,to_be_alive,2.068,2792,5.89,0.351,24,0.333
2793,to_be_alive,2.056,2793,5.89,0.349,24,0.333
2794,to_be_alive,5.89,2794,5.89,1,24,0.333
2796,to_be_alive,2.88,2796,5.89,0.489,24,0.333
2813,to_bite,3.087,2813,3.087,1,34,0.25
2814,to_bite,2.495,2814,3.087,0.808,34,0.25
2815,to_bite,2.068,2815,3.087,0.67,34,0.25
2816,to_bite,1.724,2816,3.087,0.558,34,0.25
2817,to_bite,1.028,2817,3.087,0.333,34,0.25
2819,to_bite,2.526,2819,3.087,0.818,34,0.25
2823,to_bite,1.575,2823,3.087,0.51,34,0.25
2824,to_bite,1.32,2824,3.087,0.428,34,0.25
2826,to_bite,0.786,2826,3.087,0.255,34,0.25
2829,to_bite,1.574,2829,3.087,0.51,34,0.25
2830,to_bite,0.732,2830,3.087,0.237,34,0.25
2840,to_bite,0.289,2840,3.087,0.094,34,0.25
2848,to_burn_intransitive,1.579,2848,3.117,0.507,35,0.222
2849,to_burn_intransitive,0.738,2849,3.117,0.237,35,0.222
2855,to_burn_intransitive,1.324,2855,3.117,0.425,35,0.222
2856,to_burn_intransitive,0.576,2856,3.117,0.185,35,0.222
2861,to_burn_intransitive,2.94,2861,3.117,0.943,35,0.222
2866,to_burn_intransitive,2.068,2866,3.117,0.663,35,0.222
2870,to_burn_intransitive,3.117,2870,3.117,1,35,0.222
2872,to_burn_intransitive,2.599,2872,3.117,0.834,35,0.222
2874,to_burn_intransitive,2.026,2874,3.117,0.65,35,0.222
2880,to_buy,4.568,2880,4.568,1,23,0.2
2882,to_buy,3.101,2882,4.568,0.679,23,0.2
2885,to_buy,1.324,2885,4.568,0.29,23,0.2
2886,to_buy,2.932,2886,4.568,0.642,23,0.2
2887,to_buy,3.666,2887,4.568,0.803,23,0.2
2904,to_chew,3.94,2904,3.94,1,27,0.2
2905,to_chew,0.491,2905,3.94,0.125,27,0.2
2906,to_chew,1.469,2906,3.94,0.373,27,0.2
2907,to_chew,0.732,2907,3.94,0.186,27,0.2
2908,to_chew,3.627,2908,3.94,0.921,27,0.2
2909,to_chew,3.156,2909,3.94,0.801,27,0.2
2910,to_chew,0.289,2910,3.94,0.073,27,0.2
2914,to_chew,0.81,2914,3.94,0.206,27,0.2
2916,to_chew,1.324,2916,3.94,0.336,27,0.2
2917,to_chew,0.44,2917,3.94,0.112,27,0.2
2932,to_come,3.058,2932,3.17,0.965,22,0.143
2933,to_come,3.101,2933,3.17,0.978,22,0.143
2937,to_come,1.361,2937,3.17,0.429,22,0.143
2940,to_come,0.81,2940,3.17,0.256,22,0.143
2944,to_come,3.17,2944,3.17,1,22,0.143
2947,to_come,2.599,2947,3.17,0.82,22,0.143
2948,to_come,2.911,2948,3.17,0.918,22,0.143
2955,to_count,0.491,2955,3.156,0.155,38,0.143
2956,to_count,0.732,2956,3.156,0.232,38,0.143
2957,to_count,1.324,2957,3.156,0.42,38,0.143
2958,to_count,0.738,2958,3.156,0.234,38,0.143
2960,to_count,3.156,2960,3.156,1,38,0.143
2963,to_count,2.944,2963,3.156,0.933,38,0.143
2976,to_count,2.22,2976,3.156,0.703,38,0.143
2990,to_cry_weep,3.936,2990,5.448,0.723,18,0.5
2992,to_cry_weep,5.448,2992,5.448,1,18,0.5
2994,to_cry_weep,0.289,2994,5.448,0.053,18,0.5
3000,to_cry_weep,1.028,3000,5.448,0.189,18,0.5
3003,to_cry_weep,4.917,3003,5.448,0.903,18,0.5
3006,to_cry_weep,2.858,3006,5.448,0.525,18,0.5
3008,to_die,5.354,3008,5.354,1,8,1
3017,to_dig,3.742,3017,3.742,1,25,0.143
3021,to_dig,2.068,3021,3.742,0.553,25,0.143
3022,to_dig,2.04,3022,3.742,0.545,25,0.143
3024,to_dig,1.953,3024,3.742,0.522,25,0.143
3026,to_dig,1.324,3026,3.742,0.354,25,0.143
3031,to_dig,0.731,3031,3.742,0.195,25,0.143
3032,to_dig,2.224,3032,3.742,0.594,25,0.143
3041,to_drink,2.287,3041,5.137,0.445,19,0.2
3043,to_drink,3.156,3043,5.137,0.614,19,0.2
3046,to_drink,5.137,3046,5.137,1,19,0.2
3048,to_drink,3.793,3048,5.137,0.738,19,0.2
3053,to_drink,2.599,3053,5.137,0.506,19,0.2
3061,to_eat,2.068,3061,6.608,0.313,12,0.5
3062,to_eat,3.156,3062,6.608,0.478,12,0.5
3063,to_eat,1.726,3063,6.608,0.261,12,0.5
3066,to_eat,6.608,3066,6.608,1,12,0.5
3073,to_fight,2.523,3073,2.523,1,37,0.286
3075,to_fight,2.343,3075,2.523,0.928,37,0.286
3076,to_fight,0.491,3076,2.523,0.194,37,0.286
3077,to_fight,0.81,3077,2.523,0.321,37,0.286
3078,to_fight,1.578,3078,2.523,0.626,37,0.286
3080,to_fight,1.41,3080,2.523,0.559,37,0.286
3081,to_fight,0.289,3081,2.523,0.115,37,0.286
3109,to_fly_move_through_air,1.324,3109,3.963,0.334,29,0.167
3110,to_fly_move_through_air,0.732,3110,3.963,0.185,29,0.167
3117,to_fly_move_through_air,0.491,3117,3.963,0.124,29,0.167
3122,to_fly_move_through_air,2.928,3122,3.963,0.739,29,0.167
3123,to_fly_move_through_air,3.963,3123,3.963,1,29,0.167
3125,to_fly_move_through_air,3.156,3125,3.963,0.796,29,0.167
3139,to_forget,1.324,3139,4.419,0.3,23,0.5
3140,to_forget,4.419,3140,4.419,1,23,0.5
3141,to_forget,3.156,3141,4.419,0.714,23,0.5
3143,to_forget,1.074,3143,4.419,0.243,23,0.5
3161,to_give,4.714,3161,4.714,1,21,0.375
3162,to_give,0.81,3162,4.714,0.172,21,0.375
3163,to_give,0.491,3163,4.714,0.104,21,0.375
3168,to_give,3.275,3168,4.714,0.695,21,0.375
3169,to_give,0.289,3169,4.714,0.061,21,0.375
3170,to_give,1.028,3170,4.714,0.218,21,0.375
3171,to_give,3.794,3171,4.714,0.805,21,0.375
3174,to_give,1.953,3174,4.714,0.414,21,0.375
3182,to_hear,3.101,3182,3.29,0.943,27,0.125
3183,to_hear,2.82,3183,3.29,0.857,27,0.125
3184,to_hear,2.075,3184,3.29,0.631,27,0.125
3189,to_hear,0.81,3189,3.29,0.246,27,0.125
3194,to_hear,3.29,3194,3.29,1,27,0.125
3195,to_hear,1.324,3195,3.29,0.402,27,0.125
3198,to_hear,1.584,3198,3.29,0.481,27,0.125
3204,to_hear,2.899,3204,3.29,0.881,27,0.125
3212,to_hide_conceal,0.738,3212,1.953,0.378,42,0.333
3213,to_hide_conceal,0.491,3213,1.953,0.251,42,0.333
3215,to_hide_conceal,0.732,3215,1.953,0.375,42,0.333
3218,to_hide_conceal,0.289,3218,1.953,0.148,42,0.333
3219,to_hide_conceal,1.41,3219,1.953,0.722,42,0.333
3231,to_hide_conceal,1.953,3231,1.953,1,42,0.333
3257,to_hold,0.738,3257,1.758,0.42,42,0.2
3259,to_hold,0.732,3259,1.758,0.416,42,0.2
3263,to_hold,1.758,3263,1.758,1,42,0.2
3267,to_hold,1.324,3267,1.758,0.753,42,0.2
3279,to_hold,0.751,3279,1.758,0.427,42,0.2
3293,to_hunt,3.15,3293,3.156,0.998,34,0.286
3296,to_hunt,1.572,3296,3.156,0.498,34,0.286
3297,to_hunt,0.738,3297,3.156,0.234,34,0.286
3299,to_hunt,2.9,3299,3.156,0.919,34,0.286
3301,to_hunt,3.156,3301,3.156,1,34,0.286
3305,to_hunt,1.324,3305,3.156,0.42,34,0.286
3308,to_hunt,0.81,3308,3.156,0.257,34,0.286
3329,to_kill,0.289,3329,6.81,0.042,12,0.667
3335,to_kill,6.81,3335,6.81,1,12,0.667
3336,to_kill,2.599,3336,6.81,0.382,12,0.667
3340,to_laugh,4.951,3340,4.951,1,16,0.167
3343,to_laugh,3.156,3343,4.951,0.637,16,0.167
3344,to_laugh,4.829,3344,4.951,0.975,16,0.167
3346,to_laugh,1.324,3346,4.951,0.267,16,0.167
3348,to_laugh,2.58,3348,4.951,0.521,16,0.167
3349,to_laugh,1.953,3349,4.951,0.395,16,0.167
3355,to_lick,6.194,3355,6.194,1,18,0.75
3357,to_lick,0.289,3357,6.194,0.047,18,0.75
3366,to_lick,1.583,3366,6.194,0.255,18,0.75
3367,to_lick,1.726,3367,6.194,0.279,18,0.75
3375,to_play,0.738,3375,3.156,0.234,39,0.286
3377,to_play,1.324,3377,3.156,0.42,39,0.286
3378,to_play,3.156,3378,3.156,1,39,0.286
3379,to_play,0.289,3379,3.156,0.092,39,0.286
3404,to_play,2.599,3404,3.156,0.823,39,0.286
3406,to_play,2.899,3406,3.156,0.918,39,0.286
3407,to_play,0.491,3407,3.156,0.155,39,0.286
3412,to_push,4.21,3412,4.21,1,37,0.286
3414,to_push,2.522,3414,4.21,0.599,37,0.286
3416,to_push,0.732,3416,4.21,0.174,37,0.286
3417,to_push,2.593,3417,4.21,0.616,37,0.286
3420,to_push,3.156,3420,4.21,0.75,37,0.286
3422,to_push,0.289,3422,4.21,0.069,37,0.286
3430,to_push,0.751,3430,4.21,0.178,37,0.286
3454,to_reside_live,2.638,3454,2.886,0.914,34,0.333
3457,to_reside_live,1.716,3457,2.886,0.594,34,0.333
3458,to_reside_live,0.289,3458,2.886,0.1,34,0.333
3459,to_reside_live,1.324,3459,2.886,0.459,34,0.333
3464,to_reside_live,0.77,3464,2.886,0.267,34,0.333
3473,to_reside_live,2.886,3473,2.886,1,34,0.333
3483,to_scratch,1.324,3483,4.804,0.276,36,0
3489,to_scratch,2.068,3489,4.804,0.43,36,0
3490,to_scratch,1.555,3490,4.804,0.324,36,0
3496,to_scratch,3.571,3496,4.804,0.743,36,0
3497,to_scratch,4.804,3497,4.804,1,36,0
3509,to_scratch,2.827,3509,4.804,0.589,36,0
3519,to_see,2.068,3519,3.36,0.615,32,0.167
3521,to_see,3.155,3521,3.36,0.939,32,0.167
3523,to_see,2.287,3523,3.36,0.681,32,0.167
3527,to_see,3.36,3527,3.36,1,32,0.167
3530,to_see,0.802,3530,3.36,0.239,32,0.167
3538,to_see,2.599,3538,3.36,0.774,32,0.167
3552,to_shoot_an_arrow,6.453,3552,6.453,1,17,0.143
3554,to_shoot_an_arrow,3.101,3554,6.453,0.481,17,0.143
3556,to_shoot_an_arrow,3.156,3556,6.453,0.489,17,0.143
3559,to_shoot_an_arrow,0.707,3559,6.453,0.11,17,0.143
3560,to_shoot_an_arrow,2.223,3560,6.453,0.344,17,0.143
3562,to_shoot_an_arrow,1.324,3562,6.453,0.205,17,0.143
3565,to_shoot_an_arrow,2.599,3565,6.453,0.403,17,0.143
3568,to_sing,2.068,3568,2.599,0.796,36,0.125
3572,to_sing,0.491,3572,2.599,0.189,36,0.125
3573,to_sing,0.732,3573,2.599,0.282,36,0.125
3574,to_sing,2.075,3574,2.599,0.799,36,0.125
3577,to_sing,1.324,3577,2.599,0.51,36,0.125
3584,to_sing,1.324,3584,2.599,0.51,36,0.125
3590,to_sing,0.738,3590,2.599,0.284,36,0.125
3593,to_sing,2.599,3593,2.599,1,36,0.125
3611,to_sleep,4.904,3611,4.904,1,24,0
3613,to_sleep,1.324,3613,4.904,0.27,24,0
3628,to_smell_perceive_odor_transitive,5.366,3628,5.366,1,11,0.5
3630,to_smell_perceive_odor_transitive,1.71,3630,5.366,0.319,11,0.5
3631,to_smell_perceive_odor_transitive,2.075,3631,5.366,0.387,11,0.5
3636,to_smell_perceive_odor_transitive,0.731,3636,5.366,0.136,11,0.5
3642,to_spit,0.732,3642,3.14,0.233,36,0.286
3643,to_spit,0.491,3643,3.14,0.156,36,0.286
3645,to_spit,3.087,3645,3.14,0.983,36,0.286
3648,to_spit,2.065,3648,3.14,0.658,36,0.286
3650,to_spit,1.953,3650,3.14,0.622,36,0.286
3656,to_spit,0.81,3656,3.14,0.258,36,0.286
3670,to_spit,3.14,3670,3.14,1,36,0.286
3677,to_stand,2.074,3677,5.17,0.401,16,0.5
3678,to_stand,5.17,3678,5.17,1,16,0.5
3679,to_stand,1.324,3679,5.17,0.256,16,0.5
3682,to_stand,2.602,3682,5.17,0.503,16,0.5
3694,to_steal,2.056,3694,6.811,0.302,16,0.5
3702,to_steal,6.811,3702,6.811,1,16,0.5
3709,to_think_reflect,2.974,3709,3.156,0.942,30,0.222
3710,to_think_reflect,0.738,3710,3.156,0.234,30,0.222
3713,to_think_reflect,2.526,3713,3.156,0.801,30,0.222
3714,to_think_reflect,3.156,3714,3.156,1,30,0.222
3715,to_think_reflect,1.476,3715,3.156,0.468,30,0.222
3716,to_think_reflect,1.953,3716,3.156,0.619,30,0.222
3718,to_think_reflect,1.324,3718,3.156,0.42,30,0.222
3719,to_think_reflect,0.732,3719,3.156,0.232,30,0.222
3732,to_think_reflect,2.94,3732,3.156,0.932,30,0.222
3739,to_throw,1.324,3739,5.086,0.26,39,0.286
3741,to_throw,1.356,3741,5.086,0.267,39,0.286
3745,to_throw,0.289,3745,5.086,0.057,39,0.286
3756,to_throw,1.953,3756,5.086,0.384,39,0.286
3768,to_throw,3.935,3768,5.086,0.774,39,0.286
3773,to_throw,2.599,3773,5.086,0.511,39,0.286
3774,to_throw,5.086,3774,5.086,1,39,0.286
3776,to_vomit,2.068,3776,4.489,0.461,15,0.143
3777,to_vomit,4.489,3777,4.489,1,15,0.143
3778,to_vomit,0.398,3778,4.489,0.089,15,0.143
3780,to_vomit,2.067,3780,4.489,0.46,15,0.143
3784,to_vomit,0.738,3784,4.489,0.164,15,0.143
3785,to_vomit,3.917,3785,4.489,0.873,15,0.143
3789,to_vomit,3.156,3789,4.489,0.703,15,0.143
3793,to_walk,2.287,3793,3.156,0.725,33,0.143
3794,to_walk,2.068,3794,3.156,0.655,33,0.143
3796,to_walk,3.156,3796,3.156,1,33,0.143
3801,to_walk,2.978,3801,3.156,0.943,33,0.143
3809,to_walk,1.324,3809,3.156,0.42,33,0.143
3817,to_walk,2.22,3817,3.156,0.703,33,0.143
3818,to_walk,2.599,3818,3.156,0.823,33,0.143
3824,to_wipe,2.068,3824,4.652,0.444,33,0.333
3826,to_wipe,4.652,3826,4.652,1,33,0.333
3829,to_wipe,3.101,3829,4.652,0.667,33,0.333
3830,to_wipe,2.176,3830,4.652,0.468,33,0.333
3832,to_wipe,3.156,3832,4.652,0.678,33,0.333
3833,to_wipe,1.028,3833,4.652,0.221,33,0.333
3834,to_wipe,1.54,3834,4.652,0.331,33,0.333
3837,to_wipe,1.324,3837,4.652,0.285,33,0.333
3845,to_wipe,2.912,3845,4.652,0.626,33,0.333
3857,two,6.712,3857,6.712,1,9,0.5
3858,two,0.732,3858,6.712,0.109,9,0.5
3859,two,0.537,3859,6.712,0.08,9,0.5
3864,two,0.289,3864,6.712,0.043,9,0.5
3866,wet,2.975,3866,4.65,0.64,30,0.25
3868,wet,4.65,3868,4.65,1,30,0.25
3869,wet,0.738,3869,4.65,0.159,30,0.25
3871,wet,1.574,3871,4.65,0.339,30,0.25
3873,wet,3.156,3873,4.65,0.679,30,0.25
3878,wet,1.953,3878,4.65,0.42,30,0.25
3879,wet,1.328,3879,4.65,0.286,30,0.25
3888,wet,0.289,3888,4.65,0.062,30,0.25
3896,white,3.101,3896,4.714,0.658,21,0.125
3902,white,1.953,3902,4.714,0.414,21,0.125
3903,white,1.324,3903,4.714,0.281,21,0.125
3904,white,4.714,3904,4.714,1,21,0.125
3907,white,2.899,3907,4.714,0.615,21,0.125
3912,white,3.156,3912,4.714,0.669,21,0.125
3913,white,2.928,3913,4.714,0.621,21,0.125
3915,white,2.599,3915,4.714,0.551,21,0.125
3919,who,1.162,3919,3.893,0.298,25,0.4
3922,who,0.289,3922,3.893,0.074,25,0.4
3925,who,3.893,3925,3.893,1,25,0.4
3933,who,0.398,3933,3.893,0.102,25,0.4
3934,who,3.156,3934,3.893,0.811,25,0.4
3943,yellow,1.324,3943,4.714,0.281,23,0.111
3944,yellow,0.491,3944,4.714,0.104,23,0.111
3946,yellow,1.7,3946,4.714,0.361,23,0.111
3947,yellow,2.915,3947,4.714,0.618,23,0.111
3948,yellow,3.156,3948,4.714,0.669,23,0.111
3950,yellow,4.714,3950,4.714,1,23,0.111
3951,yellow,1.953,3951,4.714,0.414,23,0.111
3953,yellow,2.989,3953,4.714,0.634,23,0.111
3956,yellow,0.738,3956,4.714,0.157,23,0.111
1,NA,NA,NA,NA,NA,NA,0.069
2,NA,NA,NA,NA,NA,NA,0.069
5,NA,NA,NA,NA,NA,NA,0.069
6,NA,NA,NA,NA,NA,NA,0.069
7,NA,NA,NA,NA,NA,NA,0.069
9,NA,NA,NA,NA,NA,NA,0.069
10,NA,NA,NA,NA,NA,NA,0.069
13,NA,NA,NA,NA,NA,NA,0.069
14,NA,NA,NA,NA,NA,NA,0.069
15,NA,NA,NA,NA,NA,NA,0.069
16,NA,NA,NA,NA,NA,NA,0.069
17,NA,NA,NA,NA,NA,NA,0.069
19,NA,NA,NA,NA,NA,NA,0.069
20,NA,NA,NA,NA,NA,NA,0.069
21,NA,NA,NA,NA,NA,NA,0.069
22,NA,NA,NA,NA,NA,NA,0.069
23,NA,NA,NA,NA,NA,NA,0.069
25,NA,NA,NA,NA,NA,NA,0.069
26,NA,NA,NA,NA,NA,NA,0.069
29,NA,NA,NA,NA,NA,NA,0.069
30,NA,NA,NA,NA,NA,NA,0.069
31,NA,NA,NA,NA,NA,NA,0.069
32,NA,NA,NA,NA,NA,NA,0.069
33,NA,NA,NA,NA,NA,NA,0.069
34,NA,NA,NA,NA,NA,NA,0.069
35,NA,NA,NA,NA,NA,NA,0.069
36,NA,NA,NA,NA,NA,NA,0.069
37,NA,NA,NA,NA,NA,NA,0.069
38,NA,NA,NA,NA,NA,NA,0.069
39,NA,NA,NA,NA,NA,NA,0.069
40,NA,NA,NA,NA,NA,NA,0.069
41,NA,NA,NA,NA,NA,NA,0.069
43,NA,NA,NA,NA,NA,NA,0.069
44,NA,NA,NA,NA,NA,NA,0.069
45,NA,NA,NA,NA,NA,NA,0.069
46,NA,NA,NA,NA,NA,NA,0.069
47,NA,NA,NA,NA,NA,NA,0.069
48,NA,NA,NA,NA,NA,NA,0.069
49,NA,NA,NA,NA,NA,NA,0.069
50,NA,NA,NA,NA,NA,NA,0.069
51,NA,NA,NA,NA,NA,NA,0.069
