"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
8,1,0.212,0.204,0.082,0.306,0.035
8,10,0.225,0.224,0.082,0.327,0.041
8,11,0.312,0.306,0.245,0.388,0.03
8,12,0.267,0.265,0.163,0.367,0.033
8,13,0.265,0.265,0.163,0.367,0.037
8,14,0.341,0.347,0.224,0.429,0.039
8,15,0.227,0.224,0.163,0.306,0.03
8,16,0.234,0.224,0.163,0.327,0.029
8,17,0.261,0.265,0.163,0.347,0.035
8,18,0.25,0.245,0.163,0.327,0.035
8,19,0.255,0.265,0.143,0.327,0.033
8,2,0.198,0.204,0.102,0.286,0.037
8,20,0.258,0.265,0.163,0.347,0.031
8,21,0.285,0.286,0.224,0.347,0.024
8,22,0.267,0.265,0.163,0.367,0.035
8,23,0.253,0.255,0.082,0.347,0.04
8,24,0.229,0.224,0.143,0.306,0.03
8,25,0.294,0.286,0.204,0.408,0.038
8,26,0.284,0.286,0.184,0.347,0.034
8,27,0.227,0.224,0.143,0.306,0.031
8,28,0.244,0.245,0.163,0.347,0.032
8,29,0.292,0.306,0.163,0.388,0.037
8,3,0.253,0.245,0.184,0.327,0.031
8,30,0.291,0.286,0.163,0.408,0.047
8,31,0.231,0.224,0.122,0.347,0.035
8,32,0.225,0.224,0.102,0.327,0.041
8,33,0.238,0.245,0.143,0.306,0.03
8,34,0.278,0.276,0.204,0.347,0.03
8,35,0.294,0.286,0.204,0.388,0.036
8,36,0.31,0.306,0.224,0.408,0.037
8,37,0.272,0.265,0.163,0.388,0.037
8,38,0.24,0.245,0.143,0.327,0.039
8,39,0.222,0.224,0.143,0.347,0.032
8,4,0.292,0.286,0.224,0.388,0.032
8,40,0.248,0.245,0.122,0.327,0.037
8,41,0.256,0.245,0.163,0.347,0.03
8,42,0.213,0.224,0.102,0.306,0.04
8,43,0.245,0.245,0.143,0.347,0.034
8,44,0.307,0.306,0.224,0.388,0.033
8,45,0.238,0.245,0.102,0.367,0.044
8,46,0.265,0.265,0.163,0.347,0.039
8,47,0.283,0.286,0.184,0.367,0.029
8,48,0.251,0.245,0.163,0.327,0.033
8,49,0.287,0.286,0.163,0.367,0.035
8,5,0.281,0.286,0.184,0.388,0.038
8,50,0.204,0.204,0.122,0.286,0.03
8,6,0.238,0.245,0.143,0.327,0.029
8,7,0.306,0.306,0.204,0.429,0.04
8,8,0.28,0.286,0.184,0.388,0.034
8,9,0.335,0.327,0.224,0.429,0.035
