trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
795,day,5.567,1467,6.097,0.913,17,0.182,*Heh₂m-
796,day,4.349,200,6.097,0.713,17,0.182,*dʰegʷʰ-
797,day,4.422,691,6.097,0.725,17,0.182,*leu̯k-
798,day,1.941,3850,6.097,0.318,17,0.182,*gʷʰer-
799,day,4.053,3709,6.097,0.665,17,0.182,NA
800,day,2.776,1694,6.097,0.455,17,0.182,*leh₁t-
801,day,2.752,8280,6.097,0.451,17,0.182,*deh₂(i̯)-
802,day,0.757,3218,6.097,0.124,17,0.182,*bʰeh₂-
803,day,2.664,2234,6.097,0.437,17,0.182,*k̑eh₂u̯-
810,die,7.202,18,7.202,1,15,0,*mer-
811,die,2.283,2250,7.202,0.317,15,0,*(s)dʰerbʰ-
812,die,2.611,201,7.202,0.362,15,0,*dʰeu̯-
813,die,5.304,1468,7.202,0.736,15,0,*dʰenh₂-
814,die,2.752,5258,7.202,0.382,15,0,NA
815,die,2.773,3158,7.202,0.385,15,0,*gʷeh₂-
816,die,3.248,6456,7.202,0.451,15,0,NA
825,dig,6.137,7327,6.137,1,36,0.05,?*k⁽ʷ⁾eh₂-
828,dig,4.349,2587,6.137,0.709,36,0.05,*gʰrebʰ-
829,dig,2.565,7700,6.137,0.418,36,0.05,*(s)kep-
830,dig,3.098,865,6.137,0.505,36,0.05,*k̑eu̯H-
831,dig,5.304,202,6.137,0.864,36,0.05,*skabʰ-
832,dig,1.319,763,6.137,0.215,36,0.05,NA
833,dig,2.762,9863,6.137,0.45,36,0.05,NA
834,dig,2.125,2588,6.137,0.346,36,0.05,*reu̯H-
835,dig,2.501,986,6.137,0.408,36,0.05,*kelh₂-
836,dig,2.606,583,6.137,0.425,36,0.05,NA
837,dig,1.398,9548,6.137,0.228,36,0.05,NA
838,dig,2.553,6531,6.137,0.416,36,0.05,NA
839,dig,0.755,6530,6.137,0.123,36,0.05,NA
840,dig,1.797,6434,6.137,0.293,36,0.05,NA
841,dig,0.81,6431,6.137,0.132,36,0.05,*teu̯k-
842,dig,2.778,5271,6.137,0.453,36,0.05,*h₃reu̯k-
843,dig,0.757,3224,6.137,0.123,36,0.05,NA
844,dig,2.664,2593,6.137,0.434,36,0.05,?*drep-
845,dig,0.864,2590,6.137,0.141,36,0.05,NA
846,dig,0.759,377,6.137,0.124,36,0.05,NA
861,dirty,6.584,692,6.584,1,80,0,*melh₂-
862,dirty,2.977,9424,6.584,0.452,80,0,*selH-
863,dirty,1.992,2252,6.584,0.302,80,0,NA
864,dirty,2.176,2601,6.584,0.33,80,0,*sū̆-
865,dirty,3.223,9141,6.584,0.49,80,0,NA
866,dirty,2.654,4859,6.584,0.403,80,0,NA
867,dirty,5.945,3698,6.584,0.903,80,0,*h₃rei̯H-
868,dirty,1.133,1932,6.584,0.172,80,0,*mag̑-
869,dirty,2.611,1309,6.584,0.397,80,0,NA
870,dirty,1.602,1224,6.584,0.243,80,0,NA
871,dirty,1.849,866,6.584,0.281,80,0,NA
872,dirty,0.233,5232,6.584,0.035,80,0,NA
873,dirty,4.978,4896,6.584,0.756,80,0,NA
874,dirty,1.51,2599,6.584,0.229,80,0,NA
875,dirty,1.202,1281,6.584,0.183,80,0,NA
876,dirty,1.168,987,6.584,0.177,80,0,NA
877,dirty,2.606,9492,6.584,0.396,80,0,NA
878,dirty,1.366,8027,6.584,0.208,80,0,NA
879,dirty,1.136,6437,6.584,0.173,80,0,*gʷeu̯-dʰ-
880,dirty,2.421,6175,6.584,0.368,80,0,NA
882,dirty,0.864,2596,6.584,0.131,80,0,NA
883,dirty,0.578,203,6.584,0.088,80,0,NA
941,do,5.021,5125,7.188,0.699,25,0.118,*dʰeh₁-
942,do,7.188,5037,7.188,1,25,0.118,*kʷer-
943,do,1.439,6096,7.188,0.2,25,0.118,*kʷei̯-
944,do,2.611,6463,7.188,0.363,25,0.118,NA
945,do,2.957,6441,7.188,0.411,25,0.118,*u̯erg̑-
946,do,2.534,5177,7.188,0.353,25,0.118,*h₃erbʰ-
947,do,2.776,6440,7.188,0.386,25,0.118,*g̑enh₁-
948,do,1.002,5215,7.188,0.139,25,0.118,"*pr̥-, *pró, *prí"
949,do,2.858,6329,7.188,0.398,25,0.118,*dʰer-
950,do,2.752,6301,7.188,0.383,25,0.118,*bʰeh₂-
951,do,3.172,6177,7.188,0.441,25,0.118,NA
952,do,2.606,5896,7.188,0.363,25,0.118,*h₂er-
953,do,0.849,5438,7.188,0.118,25,0.118,*mag̑-
954,do,3.112,5312,7.188,0.433,25,0.118,*k̑emh₂-
