"age","mean_mcc_prob"
1,0.682604166666667
2,0.531020408163265
3,0.484565217391304
4,0.321195652173913
5,0.185568181818182
6,0.106022727272727
7,0.0632926829268293
8,0.0362765957446809
9,0.0086734693877551
10,0.0054
11,0.00510204081632653
12,0.00551020408163265
13,0.0053125
14,0.00531914893617021
15,0.005
16,0.00511111111111111
17,0.005
