term,estimate,std.error,statistic,p.value,model
(Intercept),-4.93975765034955,0.7095977105078581,-6.961349476190069,3.370285397718868e-12,Modèle MCC
age,-2.954111266242286,0.7533239377785169,-3.9214355446525286,8.802299511938982e-5,Modèle MCC
first_split_prob,1.1156715281805514,0.17869491671279358,6.243443007244063,4.2804232166826375e-10,Modèle MCC
root_split_age,-0.5714475102733573,0.2048576872347903,-2.7894853153272847,0.005279189044341296,Modèle MCC
