"age","n_shared_mean"
1,0.359484201757458
2,0.317758507551418
3,0.302387321467394
4,0.297212605578239
5,0.293758135889449
6,0.294498465370469
7,0.29311288560935
8,0.296677385528922
9,0.294411452315268
10,0.296287037603423
11,0.298003773674315
12,0.2985339230397
13,0.300733625668612
14,0.30000178913997
15,0.302310755568605
16,0.301307037232692
17,0.303894851772707
