family,n_trees,N,k,pi0,pi1,q,clock_rate,t_R,ub_DS,ub_DT,inf_t_DT
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,9.702854230713988e-91,41573875180866776,7.277
IE,10001,161,4990,0.9961437305805048,0.0038562694194942,130.16092609173333,0.00165344176091879,9.36333491900055,1.5e-322,2.102211025697117e-111,7.405
ST,100001,50,3784,0.9430549662360987,0.05694503376389233,9.310588725681098,0.01827502124064219,8.450482658082908,2.655991677544162e-24,3.946796431203244e-10,6.125
