"type","age","simulation","node","exist","N_nodes"
"consensus",8,15,71,28,FALSE
"consensus",8,15,72,28,TRUE
"consensus",8,15,73,28,TRUE
"consensus",8,15,75,28,TRUE
"consensus",8,15,76,28,TRUE
"consensus",8,15,77,28,TRUE
"consensus",8,15,78,28,TRUE
"consensus",8,16,51,27,TRUE
"consensus",8,16,52,27,FALSE
"consensus",8,16,53,27,TRUE
"consensus",8,16,54,27,FALSE
"consensus",8,16,55,27,TRUE
"consensus",8,16,56,27,TRUE
"consensus",8,16,57,27,TRUE
"consensus",8,16,59,27,TRUE
"consensus",8,16,60,27,TRUE
"consensus",8,16,61,27,TRUE
"consensus",8,16,62,27,TRUE
"consensus",8,16,64,27,TRUE
"consensus",8,16,65,27,TRUE
"consensus",8,16,66,27,FALSE
"consensus",8,16,67,27,TRUE
"consensus",8,16,68,27,TRUE
"consensus",8,16,70,27,TRUE
"consensus",8,16,71,27,TRUE
"consensus",8,16,72,27,TRUE
"consensus",8,16,73,27,FALSE
"consensus",8,16,74,27,TRUE
"consensus",8,16,75,27,FALSE
"consensus",8,16,76,27,TRUE
"consensus",8,16,77,27,TRUE
"consensus",8,17,51,25,TRUE
"consensus",8,17,52,25,TRUE
"consensus",8,17,53,25,TRUE
"consensus",8,17,54,25,TRUE
"consensus",8,17,55,25,TRUE
"consensus",8,17,56,25,TRUE
"consensus",8,17,57,25,FALSE
"consensus",8,17,58,25,TRUE
"consensus",8,17,61,25,TRUE
"consensus",8,17,62,25,TRUE
"consensus",8,17,63,25,TRUE
"consensus",8,17,64,25,TRUE
"consensus",8,17,65,25,TRUE
"consensus",8,17,66,25,TRUE
"consensus",8,17,67,25,TRUE
"consensus",8,17,68,25,FALSE
"consensus",8,17,70,25,TRUE
"consensus",8,17,71,25,TRUE
"consensus",8,17,72,25,TRUE
"consensus",8,17,73,25,TRUE
"consensus",8,17,74,25,TRUE
"consensus",8,17,75,25,TRUE
"consensus",8,18,51,30,TRUE
"consensus",8,18,52,30,TRUE
"consensus",8,18,53,30,TRUE
"consensus",8,18,54,30,TRUE
"consensus",8,18,55,30,TRUE
"consensus",8,18,56,30,TRUE
"consensus",8,18,57,30,TRUE
"consensus",8,18,58,30,TRUE
"consensus",8,18,61,30,TRUE
"consensus",8,18,62,30,FALSE
"consensus",8,18,63,30,TRUE
"consensus",8,18,64,30,FALSE
"consensus",8,18,65,30,TRUE
"consensus",8,18,66,30,TRUE
"consensus",8,18,67,30,TRUE
"consensus",8,18,68,30,TRUE
"consensus",8,18,69,30,TRUE
"consensus",8,18,71,30,TRUE
"consensus",8,18,72,30,TRUE
"consensus",8,18,73,30,TRUE
"consensus",8,18,74,30,TRUE
"consensus",8,18,75,30,FALSE
"consensus",8,18,76,30,TRUE
"consensus",8,18,77,30,TRUE
"consensus",8,18,78,30,TRUE
"consensus",8,18,79,30,TRUE
"consensus",8,18,80,30,TRUE
"consensus",8,19,51,30,TRUE
"consensus",8,19,52,30,TRUE
"consensus",8,19,53,30,FALSE
"consensus",8,19,54,30,FALSE
"consensus",8,19,56,30,TRUE
"consensus",8,19,57,30,TRUE
"consensus",8,19,58,30,TRUE
"consensus",8,19,59,30,TRUE
"consensus",8,19,60,30,TRUE
"consensus",8,19,61,30,TRUE
"consensus",8,19,62,30,TRUE
"consensus",8,19,63,30,TRUE
"consensus",8,19,64,30,TRUE
"consensus",8,19,65,30,TRUE
"consensus",8,19,66,30,TRUE
"consensus",8,19,68,30,TRUE
"consensus",8,19,69,30,TRUE
"consensus",8,19,70,30,FALSE
"consensus",8,19,71,30,TRUE
"consensus",8,19,72,30,FALSE
"consensus",8,19,73,30,TRUE
"consensus",8,19,74,30,TRUE
"consensus",8,19,76,30,TRUE
"consensus",8,19,77,30,TRUE
"consensus",8,19,78,30,TRUE
"consensus",8,19,79,30,TRUE
"consensus",8,19,80,30,TRUE
"consensus",8,2,51,28,TRUE
"consensus",8,2,52,28,TRUE
"consensus",8,2,53,28,TRUE
"consensus",8,2,54,28,TRUE
"consensus",8,2,55,28,TRUE
"consensus",8,2,56,28,TRUE
"consensus",8,2,57,28,FALSE
"consensus",8,2,58,28,TRUE
"consensus",8,2,59,28,TRUE
"consensus",8,2,61,28,TRUE
"consensus",8,2,62,28,TRUE
"consensus",8,2,63,28,TRUE
"consensus",8,2,64,28,TRUE
"consensus",8,2,65,28,TRUE
"consensus",8,2,67,28,TRUE
"consensus",8,2,68,28,TRUE
"consensus",8,2,69,28,FALSE
"consensus",8,2,70,28,TRUE
"consensus",8,2,71,28,TRUE
"consensus",8,2,72,28,TRUE
"consensus",8,2,74,28,TRUE
"consensus",8,2,75,28,TRUE
"consensus",8,2,76,28,TRUE
