term,estimate,std.error,statistic,p.value
(Intercept),-3.778558974934918,0.4848159309171135,-7.7938011809701,6.502283220570332e-15
age,0.05945287194925743,0.018514056552062015,3.2112288186046305,0.0013216864878265297
first_split_prob,6.0603063103062205,0.6842713930650589,8.856582887617547,8.250454510717213e-19
