age,total,exist,n_mean,y_label
1,45.477777777777774,0,2.1777777777777776,45.477777777777774
1,45.477777777777774,1,43.3,0
2,44.01416666666666,0,2.8541666666666665,44.01416666666666
2,44.01416666666666,1,41.16,0
3,42.232173913043475,0,3.152173913043478,42.232173913043475
3,42.232173913043475,1,39.08,0
4,38.90608695652174,0,3.3260869565217392,38.90608695652174
4,38.90608695652174,1,35.58,0
5,35.208936170212766,0,3.148936170212766,35.208936170212766
5,35.208936170212766,1,32.06,0
6,31.473333333333333,0,2.7333333333333334,31.473333333333333
6,31.473333333333333,1,28.74,0
7,28.297021276595743,0,2.617021276595745,28.297021276595743
7,28.297021276595743,1,25.68,0
8,25.944444444444446,0,2.6444444444444444,25.944444444444446
8,25.944444444444446,1,23.3,0
9,22.87,0,2.75,22.87
9,22.87,1,20.12,0
10,20.165806451612905,0,2.225806451612903,20.165806451612905
10,20.165806451612905,1,17.94,0
11,17.602758620689656,0,1.4827586206896552,17.602758620689656
11,17.602758620689656,1,16.12,0
12,15.959354838709677,0,1.4193548387096775,15.959354838709677
12,15.959354838709677,1,14.54,0
13,14.822857142857142,0,1.7428571428571429,14.822857142857142
13,14.822857142857142,1,13.08,0
14,13.216190476190476,0,1.4761904761904763,13.216190476190476
14,13.216190476190476,1,11.74,0
15,12.214782608695652,0,1.434782608695652,12.214782608695652
15,12.214782608695652,1,10.78,0
16,11.963157894736842,0,1.263157894736842,11.963157894736842
16,11.963157894736842,1,10.7,0
17,10.961052631578946,0,1.4210526315789473,10.961052631578946
17,10.961052631578946,1,9.54,0
