family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,inf_t_DS,ub_DT,inf_t_DT
ST_by_sens,10001,50,3963,0.996024908025609,0.0039750919743918,0.11205140247228072,1.0000000000000009,0.00779192876526109,10.354036868019524,thou_second_person_singular,12,16.884511885245843,84.367,199.79088472759122,109.39
ST_by_sens,10001,50,3963,0.9902060975793018,0.00979390242069652,0.17292080445933433,0.9999999999999984,0.00779192876526109,10.354036868019524,far,29,9.523911812741643,49.505,267.68201730626777,71.117
ST_by_sens,10001,50,3963,0.9825298158281942,0.01747018417180464,0.1868469427365805,0.9999999999999988,0.00779192876526109,10.354036868019524,to_kill,12,8.386013127942455,42.729,96.86667805265093,65.871
ST_by_sens,10001,50,3963,0.7514498760872765,0.2485501239127279,0.1906907829749419,1.0000000000000044,0.00779192876526109,10.354036868019524,three,3,7.870294312368911,27.947,23.338307633690395,64.558
ST_by_sens,10001,50,3963,0.7539781843169184,0.24602181568307643,0.19165419831363137,0.9999999999999948,0.00779192876526109,10.354036868019524,five,3,7.80321748722859,27.861,23.123293838000922,64.237
ST_by_sens,10001,50,3963,0.9498491846016528,0.05015081539835006,0.1948644733617318,1.0000000000000029,0.00779192876526109,10.354036868019524,the_ear,6,7.772039192833049,35.566,44.842605739201105,63.192
ST_by_sens,10001,50,3963,0.9630229794312808,0.03697702056871659,0.2030756023654396,0.9999999999999972,0.00779192876526109,10.354036868019524,the_moon,7,7.2372764704675125,35.635,48.353761525940435,60.667
ST_by_sens,10001,50,3963,0.9744278590029042,0.0255721409970962,0.2048015907504367,1.0000000000000004,0.00779192876526109,10.354036868019524,the_fish,8,7.139239757935723,37.137,54.354918651694774,60.162
ST_by_sens,10001,50,3963,0.9755222075505054,0.02447779244949226,0.20704128316108705,0.9999999999999976,0.00779192876526109,10.354036868019524,the_fire,9,7.001167984210182,36.948,59.85132024173127,59.52
ST_by_sens,10001,50,3963,0.9808695360410876,0.01913046395891263,0.20786553153757245,1.0000000000000004,0.00779192876526109,10.354036868019524,the_dog,11,6.956096364270341,37.988,72.57648041516883,59.287
ST_by_sens,10001,50,3963,0.9861707307458312,0.01382926925417163,0.21056073860723568,1.0000000000000029,0.00779192876526109,10.354036868019524,the_water,15,6.799467229105535,39.045,96.447113941465,58.538
ST_by_sens,10001,50,3963,0.946909594138591,0.05309040586140776,0.21166646389499347,0.9999999999999988,0.00779192876526109,10.354036868019524,the_eye,6,6.6950529578795965,32.486,38.17279706529705,58.237
ST_by_sens,10001,50,3963,0.986491141557421,0.01350885844257815,0.2178982960621806,0.9999999999999992,0.00779192876526109,10.354036868019524,heavy,15,6.3808900284477135,37.843,89.91141420825332,56.594
ST_by_sens,10001,50,3963,0.9512870020481504,0.04871299795184676,0.21765914934560915,0.9999999999999972,0.00779192876526109,10.354036868019524,the_dream,6,6.358849206669872,31.992,36.04684996689966,56.655
ST_by_sens,10001,50,3963,0.9915502254329032,0.0084497745670972,0.2184676711545789,1.0000000000000004,0.00779192876526109,10.354036868019524,green,23,6.354738259467938,39.892,137.11614743872678,56.448
ST_by_sens,10001,50,3963,0.9769357493857797,0.02306425061421767,0.22344082999457823,0.9999999999999972,0.00779192876526109,10.354036868019524,eight,8,6.075099204521357,34.514,45.480476221221885,55.21
ST_by_sens,10001,50,3963,0.937561949529861,0.06243805047013744,0.2312983544299849,0.9999999999999984,0.00779192876526109,10.354036868019524,six,5,5.6434963730550045,29.042,26.373081609396408,53.362
ST_by_sens,10001,50,3963,0.9820649297588352,0.01793507024116293,0.2366689827441713,0.9999999999999982,0.00779192876526109,10.354036868019524,seven,10,5.437463772655149,33.657,50.116256114670165,52.17
ST_by_sens,10001,50,3963,0.9495414050945374,0.05045859490545927,0.23666791228567152,0.9999999999999968,0.00779192876526109,10.354036868019524,the_blood,6,5.404988826948919,29.287,30.070060027629005,52.17
ST_by_sens,10001,50,3963,0.992868906572232,0.00713109342776887,0.23901358220395288,1.0000000000000009,0.00779192876526109,10.354036868019524,right,23,5.343131075419278,37.187,112.72433201569213,51.666
ST_by_sens,10001,50,3963,0.996705091152672,0.00329490884732789,0.24166664204802665,1,0.00779192876526109,10.354036868019524,outside,35,5.230996058569289,39.976,167.26322803382624,51.108
ST_by_sens,10001,50,3963,0.9749022129030576,0.02509778709694127,0.2414618522387733,0.9999999999999988,0.00779192876526109,10.354036868019524,the_smoke,9,5.218033498753337,31.601,43.09436757176862,51.151
ST_by_sens,10001,50,3963,0.987286559460774,0.01271344053922541,0.24253684411769663,0.9999999999999992,0.00779192876526109,10.354036868019524,to_shoot_an_arrow,17,5.184218398605542,34.266,80.57285208024769,50.928
ST_by_sens,10001,50,3963,0.9854901591031676,0.014509840896834,0.24436195915925435,1.0000000000000016,0.00779192876526109,10.354036868019524,the_bone,15,5.105137259861295,33.47,69.87123004426125,50.554
ST_by_sens,10001,50,3963,0.9831322798529588,0.01686772014703994,0.2458141354991061,0.9999999999999988,0.00779192876526109,10.354036868019524,the_tree,11,5.042307700621932,32.661,50.53689332022764,50.26
ST_by_sens,10001,50,3963,0.9966506339353748,0.0033493660646264,0.2537330280403252,1.000000000000001,0.00779192876526109,10.354036868019524,many,38,4.741391827514334,38.018,161.943317811742,48.719
ST_by_sens,10001,50,3963,0.9849092360210164,0.01509076397898719,0.25387344881380064,1.0000000000000038,0.00779192876526109,10.354036868019524,the_meat,14,4.724301004138703,32.068,59.58394916832702,48.692
ST_by_sens,10001,50,3963,0.9880810886883238,0.01191891131167616,0.2544490744607043,1,0.00779192876526109,10.354036868019524,the_road,17,4.705623995733182,32.923,71.9581862747289,48.584
ST_by_sens,10001,50,3963,0.9925854296255872,0.00741457037441402,0.25720250636740466,1.000000000000001,0.00779192876526109,10.354036868019524,the_son,21,4.607375142955197,34.418,86.60012988094948,48.073
ST_by_sens,10001,50,3963,0.9908298211133216,0.00917017888668198,0.2578058748305858,1.0000000000000036,0.00779192876526109,10.354036868019524,the_horn_keratinized_skin,12,4.5834861743478355,33.514,49.20375392188212,47.963
ST_by_sens,10001,50,3963,0.9878113880712488,0.01218861192875288,0.2613330902769316,1.0000000000000018,0.00779192876526109,10.354036868019524,the_year,16,4.453772067921344,31.975,63.45020544548758,47.328
ST_by_sens,10001,50,3963,0.9924950939643048,0.0075049060356948,0.2620923917555166,0.9999999999999996,0.00779192876526109,10.354036868019524,full,17,4.43177375979628,33.733,66.93315414890027,47.193
ST_by_sens,10001,50,3963,0.993602016796478,0.00639798320352203,0.26260585974153616,1.0000000000000002,0.00779192876526109,10.354036868019524,who,25,4.4149541799009695,34.275,97.95404514384302,47.103
ST_by_sens,10001,50,3963,0.99150159961146,0.0084984003885373,0.2686553781490421,0.9999999999999972,0.00779192876526109,10.354036868019524,the_salt,17,4.208575067243789,32.451,62.90588964080358,46.062
ST_by_sens,10001,50,3963,0.9861289463127264,0.01387105368727472,0.28474144352503616,1.000000000000001,0.00779192876526109,10.354036868019524,to_steal,16,3.7175660581359655,28.907,50.873177837056,43.512
ST_by_sens,10001,50,3963,0.9909619170610516,0.00903808293894578,0.28685508773394336,0.9999999999999974,0.00779192876526109,10.354036868019524,long,30,3.6643110660414866,30.189,93.50917592865525,43.199
ST_by_sens,10001,50,3963,0.9936673505019044,0.00633264949809548,0.2873361334665667,1,0.00779192876526109,10.354036868019524,near,27,3.6539702969545313,31.376,83.77837515306732,43.128
ST_by_sens,10001,50,3963,0.9928802566066012,0.00711974339340047,0.28778210418485084,1.0000000000000016,0.00779192876526109,10.354036868019524,thin_object,23,3.6411453154592985,30.921,71.06809525814744,43.062
ST_by_sens,10001,50,3963,0.992944009163866,0.00705599083613218,0.2885148768021762,0.999999999999998,0.00779192876526109,10.354036868019524,the_lung,23,3.621548212528837,30.874,70.58013856896724,42.956
ST_by_sens,10001,50,3963,0.9940784431069772,0.00592155689302513,0.2986479120004356,1.0000000000000024,0.00779192876526109,10.354036868019524,the_hail,26,3.3653497866993947,30.42,72.54526957558258,41.531
