"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
3,11,0.217,0.224,0.102,0.265,0.023
4,11,0.195,0.204,0.102,0.327,0.034
5,11,0.209,0.204,0.102,0.306,0.04
6,11,0.309,0.306,0.204,0.408,0.037
7,11,0.366,0.367,0.245,0.469,0.04
8,11,0.402,0.408,0.286,0.51,0.04
9,11,0.431,0.429,0.327,0.531,0.04
1,12,0.061,0.061,0,0.122,0.028
10,12,0.471,0.469,0.367,0.551,0.039
11,12,0.532,0.531,0.449,0.612,0.034
12,12,0.518,0.51,0.449,0.612,0.033
13,12,0.586,0.592,0.49,0.694,0.034
14,12,0.593,0.592,0.449,0.694,0.041
15,12,0.621,0.612,0.531,0.694,0.036
16,12,0.654,0.653,0.592,0.714,0.026
17,12,0.669,0.673,0.612,0.755,0.028
2,12,0.122,0.122,0.041,0.184,0.03
3,12,0.167,0.163,0.082,0.286,0.04
4,12,0.219,0.224,0.122,0.367,0.036
5,12,0.216,0.224,0.102,0.306,0.046
6,12,0.314,0.306,0.184,0.388,0.038
7,12,0.311,0.306,0.184,0.408,0.037
8,12,0.358,0.367,0.286,0.449,0.03
9,12,0.414,0.408,0.306,0.51,0.039
1,13,0.09,0.082,0.041,0.143,0.021
10,13,0.442,0.449,0.306,0.551,0.039
11,13,0.521,0.531,0.408,0.633,0.039
12,13,0.54,0.531,0.449,0.612,0.029
13,13,0.617,0.612,0.531,0.694,0.031
14,13,0.597,0.592,0.49,0.673,0.033
15,13,0.667,0.673,0.592,0.755,0.032
16,13,0.679,0.673,0.612,0.735,0.029
17,13,0.696,0.694,0.633,0.796,0.028
2,13,0.086,0.082,0,0.184,0.029
3,13,0.149,0.143,0.041,0.245,0.041
4,13,0.178,0.184,0.082,0.265,0.037
5,13,0.18,0.184,0.082,0.286,0.036
6,13,0.299,0.306,0.184,0.408,0.037
7,13,0.356,0.347,0.265,0.449,0.038
8,13,0.376,0.367,0.265,0.469,0.047
9,13,0.413,0.408,0.286,0.531,0.046
1,14,0.098,0.102,0.02,0.163,0.03
10,14,0.457,0.449,0.347,0.551,0.041
11,14,0.437,0.449,0.306,0.551,0.044
12,14,0.523,0.531,0.408,0.612,0.034
13,14,0.525,0.531,0.408,0.633,0.045
14,14,0.585,0.592,0.51,0.673,0.037
15,14,0.616,0.612,0.531,0.694,0.028
16,14,0.642,0.633,0.571,0.735,0.034
17,14,0.622,0.612,0.551,0.694,0.027
2,14,0.132,0.122,0.041,0.204,0.029
3,14,0.13,0.122,0.041,0.204,0.028
4,14,0.207,0.204,0.082,0.306,0.038
5,14,0.171,0.163,0.061,0.286,0.043
6,14,0.213,0.204,0.102,0.327,0.039
7,14,0.293,0.306,0.163,0.388,0.042
8,14,0.363,0.367,0.265,0.449,0.037
9,14,0.369,0.367,0.265,0.469,0.041
1,15,0.078,0.082,0.02,0.122,0.02
10,15,0.437,0.429,0.327,0.551,0.041
11,15,0.469,0.469,0.367,0.612,0.047
12,15,0.52,0.531,0.408,0.612,0.041
13,15,0.599,0.592,0.49,0.673,0.036
14,15,0.631,0.633,0.51,0.735,0.037
15,15,0.639,0.633,0.51,0.735,0.037
16,15,0.638,0.633,0.551,0.714,0.029
17,15,0.672,0.673,0.571,0.755,0.03
2,15,0.091,0.082,0.041,0.143,0.022
3,15,0.109,0.102,0.041,0.184,0.029
4,15,0.118,0.122,0.041,0.184,0.031
5,15,0.244,0.245,0.102,0.327,0.039
6,15,0.169,0.163,0.082,0.286,0.034
7,15,0.294,0.286,0.184,0.367,0.037
8,15,0.295,0.286,0.204,0.388,0.034
9,15,0.383,0.388,0.286,0.49,0.04
1,16,0.056,0.051,0,0.122,0.03
10,16,0.397,0.388,0.265,0.51,0.047
11,16,0.54,0.531,0.408,0.653,0.046
12,16,0.594,0.592,0.51,0.673,0.032
13,16,0.654,0.653,0.551,0.735,0.029
14,16,0.664,0.673,0.571,0.735,0.029
15,16,0.638,0.633,0.531,0.714,0.033
16,16,0.66,0.653,0.551,0.755,0.036
17,16,0.679,0.673,0.612,0.735,0.028
2,16,0.088,0.082,0.02,0.163,0.027
3,16,0.15,0.143,0.061,0.224,0.037
4,16,0.174,0.184,0.082,0.265,0.037
5,16,0.24,0.245,0.143,0.327,0.036
6,16,0.291,0.286,0.204,0.388,0.041
7,16,0.311,0.306,0.204,0.408,0.04
8,16,0.359,0.367,0.245,0.469,0.042
9,16,0.425,0.429,0.327,0.51,0.039
1,17,0.11,0.102,0.061,0.163,0.02
10,17,0.359,0.367,0.184,0.49,0.042
11,17,0.437,0.429,0.327,0.531,0.041
12,17,0.481,0.49,0.388,0.551,0.036
13,17,0.542,0.541,0.449,0.633,0.032
14,17,0.555,0.551,0.469,0.633,0.036
15,17,0.602,0.612,0.51,0.673,0.034
16,17,0.655,0.653,0.571,0.755,0.031
17,17,0.67,0.673,0.571,0.735,0.031
2,17,0.102,0.102,0.02,0.204,0.038
3,17,0.106,0.102,0.02,0.184,0.027
4,17,0.164,0.163,0.082,0.265,0.03
5,17,0.223,0.224,0.102,0.327,0.044
6,17,0.296,0.306,0.163,0.367,0.037
7,17,0.252,0.245,0.143,0.367,0.04
8,17,0.358,0.367,0.245,0.469,0.039
9,17,0.374,0.367,0.286,0.469,0.037
1,18,0.1,0.102,0.02,0.163,0.022
10,18,0.452,0.449,0.367,0.571,0.04
11,18,0.494,0.49,0.327,0.612,0.04
12,18,0.583,0.592,0.51,0.673,0.032
13,18,0.601,0.592,0.49,0.694,0.04
14,18,0.648,0.653,0.551,0.735,0.037
15,18,0.634,0.633,0.551,0.714,0.033
16,18,0.658,0.653,0.551,0.735,0.03
17,18,0.714,0.714,0.653,0.776,0.022
2,18,0.076,0.082,0,0.184,0.029
3,18,0.141,0.143,0.041,0.224,0.033
4,18,0.155,0.163,0.041,0.224,0.032
5,18,0.242,0.245,0.143,0.347,0.038
6,18,0.277,0.265,0.204,0.347,0.03
7,18,0.32,0.327,0.204,0.408,0.04
8,18,0.361,0.367,0.265,0.449,0.035
9,18,0.42,0.429,0.327,0.51,0.037
1,19,0.103,0.102,0.041,0.163,0.024
10,19,0.399,0.408,0.265,0.51,0.042
11,19,0.443,0.449,0.306,0.571,0.043
12,19,0.452,0.449,0.347,0.551,0.038
13,19,0.451,0.449,0.306,0.571,0.042
14,19,0.557,0.551,0.449,0.653,0.04
15,19,0.607,0.612,0.531,0.673,0.031
16,19,0.632,0.633,0.571,0.714,0.029
17,19,0.61,0.612,0.551,0.694,0.03
2,19,0.099,0.102,0.02,0.184,0.027
3,19,0.148,0.143,0.082,0.245,0.029
4,19,0.181,0.184,0.102,0.286,0.034
5,19,0.208,0.204,0.122,0.306,0.034
6,19,0.258,0.265,0.163,0.347,0.033
7,19,0.268,0.265,0.143,0.367,0.037
8,19,0.278,0.286,0.204,0.367,0.036
9,19,0.338,0.347,0.245,0.449,0.039
1,2,0.125,0.122,0.061,0.163,0.019
10,2,0.405,0.408,0.286,0.51,0.041
11,2,0.499,0.51,0.408,0.571,0.038
12,2,0.542,0.551,0.449,0.633,0.036
13,2,0.61,0.612,0.51,0.694,0.032
14,2,0.62,0.612,0.531,0.714,0.034
15,2,0.648,0.653,0.571,0.714,0.032
16,2,0.653,0.653,0.592,0.714,0.025
17,2,0.701,0.694,0.612,0.755,0.027
2,2,0.14,0.143,0.02,0.204,0.032
3,2,0.183,0.184,0.102,0.245,0.027
4,2,0.217,0.224,0.102,0.327,0.038
5,2,0.276,0.286,0.122,0.367,0.04
6,2,0.289,0.286,0.184,0.388,0.038
7,2,0.34,0.347,0.245,0.429,0.032
8,2,0.327,0.327,0.224,0.449,0.038
9,2,0.447,0.449,0.347,0.531,0.04
1,20,0.047,0.041,0,0.122,0.02
10,20,0.453,0.449,0.306,0.551,0.034
11,20,0.496,0.49,0.367,0.612,0.049
12,20,0.543,0.541,0.449,0.612,0.032
13,20,0.607,0.612,0.51,0.694,0.031
14,20,0.602,0.592,0.51,0.714,0.033
15,20,0.621,0.612,0.551,0.694,0.032
16,20,0.661,0.653,0.592,0.735,0.027
17,20,0.673,0.673,0.592,0.714,0.026
2,20,0.153,0.143,0.061,0.204,0.026
3,20,0.144,0.143,0.082,0.204,0.027
4,20,0.201,0.204,0.102,0.286,0.038
5,20,0.173,0.163,0.061,0.306,0.048
6,20,0.278,0.286,0.204,0.367,0.03
7,20,0.376,0.367,0.286,0.429,0.024
8,20,0.369,0.367,0.224,0.469,0.043
9,20,0.422,0.429,0.286,0.571,0.041
1,21,0.054,0.061,0,0.122,0.026
10,21,0.476,0.469,0.388,0.551,0.032
11,21,0.574,0.571,0.469,0.653,0.037
12,21,0.533,0.531,0.408,0.633,0.041
13,21,0.594,0.592,0.49,0.673,0.036
14,21,0.549,0.551,0.449,0.694,0.04
15,21,0.642,0.653,0.571,0.714,0.033
16,21,0.651,0.653,0.551,0.714,0.029
17,21,0.655,0.653,0.551,0.735,0.034
2,21,0.117,0.122,0.041,0.184,0.025
3,21,0.164,0.163,0.061,0.245,0.037
4,21,0.148,0.143,0.061,0.245,0.036
5,21,0.284,0.286,0.163,0.388,0.039
6,21,0.296,0.306,0.143,0.388,0.038
7,21,0.316,0.327,0.163,0.429,0.042
8,21,0.374,0.367,0.245,0.51,0.046
9,21,0.372,0.367,0.265,0.531,0.05
1,22,0.06,0.061,0,0.122,0.023
10,22,0.414,0.408,0.286,0.51,0.044
11,22,0.53,0.531,0.429,0.673,0.038
12,22,0.554,0.551,0.469,0.633,0.03
13,22,0.568,0.571,0.49,0.673,0.035
14,22,0.637,0.633,0.551,0.714,0.031
15,22,0.684,0.694,0.592,0.755,0.029
16,22,0.669,0.673,0.592,0.755,0.031
17,22,0.682,0.673,0.612,0.755,0.028
2,22,0.072,0.082,0.02,0.122,0.021
3,22,0.168,0.163,0.082,0.245,0.03
4,22,0.142,0.143,0.061,0.245,0.037
5,22,0.234,0.224,0.102,0.327,0.036
6,22,0.3,0.306,0.224,0.388,0.036
7,22,0.302,0.306,0.224,0.388,0.032
8,22,0.327,0.327,0.224,0.429,0.034
9,22,0.42,0.429,0.286,0.49,0.036
1,23,0.117,0.122,0.061,0.184,0.023
10,23,0.516,0.51,0.408,0.612,0.041
11,23,0.523,0.531,0.408,0.612,0.04
12,23,0.513,0.51,0.429,0.612,0.037
13,23,0.564,0.571,0.49,0.653,0.032
14,23,0.585,0.592,0.449,0.673,0.034
15,23,0.618,0.612,0.531,0.694,0.032
16,23,0.632,0.633,0.551,0.694,0.028
17,23,0.666,0.673,0.571,0.735,0.032
2,23,0.086,0.082,0.02,0.143,0.027
3,23,0.155,0.143,0.082,0.245,0.029
4,23,0.138,0.143,0.041,0.265,0.036
5,23,0.199,0.204,0.143,0.327,0.031
6,23,0.239,0.245,0.143,0.306,0.03
7,23,0.249,0.245,0.143,0.367,0.043
8,23,0.355,0.347,0.184,0.429,0.037
9,23,0.391,0.388,0.286,0.49,0.038
1,24,0.072,0.082,0,0.143,0.025
10,24,0.399,0.408,0.265,0.51,0.046
11,24,0.455,0.449,0.327,0.551,0.037
12,24,0.567,0.571,0.449,0.653,0.037
13,24,0.57,0.571,0.469,0.673,0.035
14,24,0.611,0.612,0.51,0.673,0.031
15,24,0.657,0.653,0.551,0.735,0.033
16,24,0.661,0.653,0.612,0.714,0.025
17,24,0.667,0.673,0.571,0.735,0.029
2,24,0.139,0.143,0.082,0.184,0.023
3,24,0.145,0.143,0.041,0.224,0.029
4,24,0.164,0.163,0.102,0.245,0.028
5,24,0.19,0.184,0.102,0.286,0.034
6,24,0.284,0.286,0.184,0.367,0.038
7,24,0.292,0.286,0.163,0.429,0.04
8,24,0.307,0.306,0.184,0.408,0.04
9,24,0.387,0.388,0.286,0.49,0.042
1,25,0.097,0.102,0.02,0.184,0.032
10,25,0.43,0.429,0.327,0.592,0.041
11,25,0.503,0.51,0.388,0.571,0.035
12,25,0.521,0.531,0.408,0.612,0.036
13,25,0.556,0.551,0.49,0.612,0.026
14,25,0.625,0.633,0.49,0.714,0.036
15,25,0.621,0.612,0.551,0.694,0.027
16,25,0.71,0.714,0.633,0.776,0.029
17,25,0.677,0.673,0.592,0.755,0.029
2,25,0.156,0.163,0.082,0.204,0.023
3,25,0.229,0.224,0.163,0.286,0.027
4,25,0.209,0.204,0.082,0.306,0.036
5,25,0.281,0.286,0.184,0.367,0.038
6,25,0.281,0.286,0.204,0.367,0.033
7,25,0.31,0.306,0.204,0.429,0.044
8,25,0.339,0.337,0.204,0.449,0.044
9,25,0.416,0.408,0.286,0.531,0.043
1,26,0.061,0.061,0,0.143,0.024
10,26,0.452,0.449,0.347,0.551,0.038
11,26,0.506,0.51,0.367,0.592,0.039
12,26,0.571,0.571,0.429,0.653,0.037
13,26,0.617,0.612,0.49,0.714,0.039
14,26,0.611,0.612,0.51,0.694,0.033
15,26,0.632,0.633,0.531,0.714,0.029
16,26,0.674,0.673,0.592,0.755,0.034
17,26,0.692,0.694,0.633,0.755,0.029
2,26,0.158,0.163,0.061,0.224,0.032
3,26,0.196,0.204,0.143,0.265,0.023
4,26,0.171,0.163,0.082,0.265,0.033
5,26,0.282,0.286,0.184,0.367,0.037
6,26,0.292,0.286,0.143,0.449,0.048
7,26,0.289,0.286,0.184,0.408,0.038
8,26,0.396,0.408,0.265,0.49,0.036
9,26,0.375,0.367,0.286,0.449,0.031
1,27,0.122,0.122,0.082,0.163,0.022
10,27,0.439,0.429,0.347,0.531,0.036
11,27,0.556,0.551,0.449,0.653,0.036
12,27,0.581,0.571,0.469,0.694,0.045
13,27,0.601,0.592,0.51,0.694,0.03
14,27,0.62,0.612,0.531,0.694,0.033
15,27,0.644,0.653,0.531,0.714,0.03
16,27,0.642,0.633,0.571,0.735,0.028
17,27,0.665,0.673,0.592,0.714,0.025
2,27,0.088,0.082,0.02,0.184,0.026
3,27,0.174,0.163,0.082,0.286,0.04
4,27,0.189,0.184,0.102,0.245,0.027
5,27,0.27,0.265,0.204,0.347,0.026
6,27,0.296,0.286,0.224,0.388,0.034
7,27,0.28,0.286,0.224,0.367,0.032
8,27,0.349,0.347,0.245,0.449,0.037
9,27,0.4,0.408,0.306,0.49,0.035
