"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
5,34,0.207,0.204,0.041,0.286,0.043
6,34,0.279,0.286,0.184,0.367,0.037
7,34,0.323,0.327,0.204,0.408,0.039
8,34,0.359,0.367,0.245,0.469,0.041
9,34,0.42,0.429,0.327,0.531,0.038
1,35,0.064,0.061,0,0.122,0.029
10,35,0.472,0.469,0.388,0.571,0.037
11,35,0.509,0.51,0.408,0.592,0.035
12,35,0.569,0.571,0.449,0.653,0.038
13,35,0.555,0.551,0.449,0.653,0.038
14,35,0.652,0.653,0.531,0.714,0.031
15,35,0.62,0.612,0.51,0.714,0.037
16,35,0.664,0.673,0.592,0.735,0.025
17,35,0.693,0.694,0.612,0.776,0.029
2,35,0.116,0.122,0.041,0.184,0.033
3,35,0.154,0.163,0.061,0.224,0.028
4,35,0.156,0.163,0.041,0.245,0.034
5,35,0.224,0.224,0.143,0.306,0.031
6,35,0.235,0.224,0.122,0.327,0.039
7,35,0.291,0.286,0.184,0.388,0.035
8,35,0.346,0.347,0.245,0.429,0.039
9,35,0.362,0.367,0.265,0.449,0.038
1,36,0.161,0.163,0.082,0.224,0.023
10,36,0.486,0.49,0.347,0.592,0.04
11,36,0.554,0.551,0.347,0.694,0.042
12,36,0.622,0.633,0.531,0.714,0.035
13,36,0.609,0.612,0.51,0.714,0.038
14,36,0.677,0.673,0.571,0.776,0.032
15,36,0.693,0.694,0.592,0.776,0.033
16,36,0.706,0.714,0.612,0.776,0.03
17,36,0.706,0.714,0.633,0.776,0.029
2,36,0.145,0.143,0.102,0.204,0.023
3,36,0.172,0.163,0.082,0.265,0.03
4,36,0.181,0.184,0.082,0.286,0.036
5,36,0.242,0.245,0.143,0.347,0.04
6,36,0.266,0.265,0.163,0.367,0.033
7,36,0.334,0.327,0.224,0.429,0.037
8,36,0.364,0.367,0.265,0.49,0.043
9,36,0.371,0.367,0.265,0.51,0.045
1,37,0.098,0.102,0.041,0.163,0.028
10,37,0.515,0.51,0.388,0.592,0.038
11,37,0.461,0.469,0.367,0.551,0.041
12,37,0.557,0.551,0.469,0.633,0.031
13,37,0.614,0.612,0.531,0.714,0.031
14,37,0.61,0.612,0.51,0.673,0.029
15,37,0.613,0.612,0.531,0.714,0.034
16,37,0.641,0.633,0.571,0.714,0.025
17,37,0.668,0.673,0.592,0.735,0.031
2,37,0.068,0.061,0.02,0.122,0.02
3,37,0.111,0.122,0.041,0.224,0.033
4,37,0.163,0.163,0.061,0.286,0.038
5,37,0.237,0.245,0.122,0.327,0.034
6,37,0.275,0.265,0.184,0.367,0.038
7,37,0.368,0.367,0.245,0.469,0.04
8,37,0.427,0.429,0.327,0.531,0.041
9,37,0.463,0.469,0.347,0.571,0.043
1,38,0.066,0.061,0.02,0.122,0.019
10,38,0.504,0.51,0.388,0.612,0.045
11,38,0.579,0.571,0.49,0.673,0.033
12,38,0.597,0.592,0.51,0.673,0.03
13,38,0.623,0.612,0.51,0.714,0.03
14,38,0.631,0.633,0.551,0.714,0.031
15,38,0.652,0.653,0.571,0.714,0.027
16,38,0.659,0.653,0.592,0.735,0.026
17,38,0.703,0.714,0.612,0.776,0.029
2,38,0.096,0.102,0.02,0.184,0.03
3,38,0.094,0.102,0,0.184,0.032
4,38,0.143,0.143,0.061,0.245,0.039
5,38,0.206,0.204,0.102,0.327,0.04
6,38,0.263,0.265,0.163,0.367,0.039
7,38,0.312,0.306,0.204,0.408,0.041
8,38,0.379,0.388,0.286,0.49,0.041
9,38,0.374,0.378,0.286,0.469,0.037
1,39,0.139,0.143,0.082,0.204,0.026
10,39,0.475,0.469,0.327,0.551,0.036
11,39,0.538,0.541,0.449,0.633,0.035
12,39,0.545,0.551,0.449,0.653,0.037
13,39,0.593,0.592,0.49,0.673,0.037
14,39,0.643,0.653,0.551,0.694,0.029
15,39,0.647,0.653,0.551,0.714,0.033
16,39,0.655,0.653,0.551,0.714,0.032
17,39,0.706,0.714,0.571,0.776,0.032
2,39,0.161,0.163,0.102,0.245,0.023
3,39,0.139,0.143,0.02,0.204,0.037
4,39,0.195,0.204,0.102,0.286,0.036
5,39,0.202,0.204,0.061,0.286,0.04
6,39,0.297,0.296,0.204,0.388,0.034
7,39,0.308,0.306,0.245,0.388,0.027
8,39,0.438,0.429,0.327,0.551,0.04
9,39,0.429,0.429,0.306,0.531,0.043
1,4,0.063,0.061,0,0.122,0.024
10,4,0.464,0.469,0.327,0.592,0.046
11,4,0.501,0.51,0.347,0.612,0.043
12,4,0.559,0.551,0.469,0.653,0.035
13,4,0.559,0.551,0.469,0.653,0.035
14,4,0.581,0.592,0.49,0.653,0.032
15,4,0.602,0.592,0.49,0.673,0.032
16,4,0.672,0.673,0.571,0.735,0.029
17,4,0.691,0.694,0.612,0.735,0.024
2,4,0.098,0.102,0.02,0.184,0.03
3,4,0.197,0.204,0.102,0.286,0.037
4,4,0.18,0.184,0.061,0.286,0.04
5,4,0.276,0.286,0.184,0.347,0.032
6,4,0.231,0.224,0.163,0.306,0.031
7,4,0.312,0.306,0.184,0.388,0.035
8,4,0.406,0.408,0.306,0.51,0.034
9,4,0.415,0.408,0.306,0.51,0.038
1,40,0.052,0.061,0,0.143,0.029
10,40,0.551,0.551,0.469,0.653,0.033
11,40,0.492,0.49,0.388,0.612,0.039
12,40,0.581,0.571,0.49,0.653,0.032
13,40,0.602,0.612,0.51,0.673,0.033
14,40,0.659,0.653,0.571,0.735,0.03
15,40,0.644,0.653,0.551,0.714,0.033
16,40,0.702,0.694,0.612,0.776,0.031
17,40,0.713,0.714,0.633,0.776,0.023
2,40,0.128,0.122,0.061,0.204,0.032
3,40,0.176,0.184,0.082,0.265,0.037
4,40,0.246,0.245,0.163,0.327,0.028
5,40,0.237,0.245,0.122,0.327,0.037
6,40,0.297,0.306,0.224,0.388,0.034
7,40,0.356,0.367,0.245,0.449,0.039
8,40,0.423,0.429,0.306,0.531,0.04
9,40,0.378,0.378,0.245,0.49,0.041
1,41,0.074,0.082,0,0.122,0.027
10,41,0.441,0.429,0.327,0.571,0.043
11,41,0.459,0.449,0.367,0.551,0.035
12,41,0.577,0.571,0.49,0.673,0.037
13,41,0.564,0.571,0.49,0.653,0.031
14,41,0.566,0.571,0.49,0.633,0.034
15,41,0.608,0.612,0.51,0.673,0.025
16,41,0.669,0.673,0.571,0.755,0.034
17,41,0.647,0.653,0.571,0.735,0.029
2,41,0.102,0.102,0.041,0.163,0.024
3,41,0.132,0.143,0.061,0.184,0.027
4,41,0.158,0.163,0.061,0.245,0.035
5,41,0.194,0.204,0.082,0.306,0.043
6,41,0.227,0.224,0.143,0.327,0.037
7,41,0.245,0.245,0.143,0.347,0.04
8,41,0.314,0.316,0.204,0.449,0.044
9,41,0.365,0.367,0.265,0.49,0.04
1,42,0.126,0.122,0.061,0.245,0.033
10,42,0.455,0.449,0.306,0.551,0.044
11,42,0.544,0.551,0.449,0.653,0.034
12,42,0.581,0.571,0.469,0.714,0.039
13,42,0.613,0.612,0.51,0.714,0.033
14,42,0.654,0.653,0.551,0.714,0.03
15,42,0.688,0.694,0.612,0.735,0.028
16,42,0.673,0.673,0.592,0.755,0.031
17,42,0.684,0.694,0.612,0.735,0.027
