"age","simulation","n_mcc","n_consensus"
8,1,49,43
8,10,49,41
8,11,49,35
8,12,49,35
8,13,49,38
8,14,49,33
8,15,49,42
8,16,49,38
8,17,49,37
8,18,49,39
8,19,49,38
8,2,49,43
8,20,49,43
8,21,49,37
8,22,49,41
8,23,49,42
8,24,49,41
8,25,49,37
8,26,49,40
8,27,49,42
8,28,49,39
8,29,49,39
8,3,49,39
8,30,49,37
8,31,49,41
8,32,49,41
8,33,49,37
8,34,49,36
8,35,49,36
8,36,49,32
8,37,49,39
8,38,49,39
8,39,49,40
8,4,49,36
8,40,49,39
8,41,49,38
8,42,49,41
8,43,49,39
8,44,49,39
8,45,49,41
8,46,49,41
8,47,49,36
8,48,49,37
8,49,49,35
8,5,49,40
8,50,49,42
8,6,49,39
8,7,49,38
8,8,49,39
8,9,49,35
