"age","simulation","node","mcc_node_prob"
2,30,96,0.325
3,37,66,1
5,36,79,0.055
7,35,89,0.745
9,34,66,0.03
10,34,66,0.7
17,38,52,0.005
12,33,52,0.005
14,32,73,0.045
16,31,55,0.005
1,35,89,1
3,30,96,0.9
4,37,66,1
2,38,52,0.915
8,35,89,0.005
6,36,79,0.01
11,34,66,0.005
13,33,52,0.02
15,32,73,0.005
17,31,55,0.055
3,38,52,NA
4,30,96,1
5,37,66,0.215
2,31,55,1
10,35,89,0.005
9,35,89,1
7,36,79,0.99
12,34,66,1
4,38,52,0.985
1,36,79,1
16,32,73,0.005
5,30,96,0.41
6,37,66,0.15
3,31,55,0.26
14,33,52,0.005
8,36,79,0.085
11,35,89,0.93
13,34,66,0.69
15,33,52,0.005
17,32,73,0.015
5,38,52,0.91
6,30,96,0.955
4,31,55,0.46
2,32,73,1
12,35,89,0.015
7,37,66,1
9,36,79,0.205
10,36,79,0.005
14,34,66,0.46
16,33,52,NA
6,38,52,0.335
1,37,66,1
5,31,55,1
7,30,96,1
3,32,73,1
13,35,89,0.99
8,37,66,0.045
11,36,79,0.685
15,34,66,1
17,33,52,0.005
7,38,52,0.24
4,32,73,1
6,31,55,0.075
8,30,96,1
10,37,66,0.005
9,37,66,0.135
14,35,89,0.005
2,33,52,0.995
16,34,66,0.02
12,36,79,0.025
8,38,52,1
5,32,73,0.875
1,38,52,1
7,31,55,0.665
9,30,96,0.205
11,37,66,0.02
15,35,89,0.225
3,33,52,NA
17,34,66,0.05
9,38,52,0.005
13,36,79,0.025
1,31,55,0.63
6,32,73,1
8,31,55,0.035
2,34,66,0.5
10,38,52,0.005
4,33,52,0.255
12,37,66,0.02
16,35,89,0.055
1,39,52,1
14,36,79,0.04
7,32,73,0.025
3,34,66,0.975
11,38,52,0.005
9,31,55,0.98
10,31,55,0.795
5,33,52,0.01
13,37,66,0.005
17,35,89,0.005
10,39,52,0.005
8,32,73,0.735
1,32,73,1
4,34,66,0.375
15,36,79,0.035
2,35,89,0.335
12,38,52,0.005
11,31,55,0.06
6,33,52,0.04
11,39,52,0.01
14,37,66,0.005
5,34,66,0.17
10,32,73,0.84
3,35,89,1
13,38,52,0.04
9,32,73,0.025
16,36,79,0.005
7,33,52,NA
12,39,52,0.005
12,31,55,0.005
15,37,66,0.01
4,35,89,0.375
6,34,66,0.68
1,33,52,0.975
14,38,52,0.005
13,39,52,0.005
5,35,89,1
8,33,52,0.01
11,32,73,0.005
13,31,55,1
7,34,66,0.795
17,36,79,0.015
16,37,66,0.035
10,33,52,0.005
14,39,52,0.03
2,36,79,1
8,34,66,0.965
12,32,73,1
9,33,52,0.005
6,35,89,0.76
14,31,55,0.005
15,38,52,0.005
17,37,66,0.005
3,36,79,0.975
1,34,66,1
11,33,52,0.005
13,32,73,0.005
2,37,66,1
16,38,52,NA
15,31,55,0.005
4,36,79,0.805
