family,t,k,N,pi0,pi1,DT,DS,inf_topo,inf_root
Bantu,6.965,3859,424,0.985,0.01476,1251.9826700957483,1.3094318917065946,13.888329472162372,9.948882150610917
Indo-European,8.589,4990,161,0.996,0.004297,139.22047189402676,1.0238998941671396,13.484286640484614,10.51528458768353
Sino-Tibetan,8.867,3785,46,0.942,0.0584,8.241666951512558,0.9441774549409544,10.745072736396141,5.9443919563871654
Transeurasian,20.5,3421,98,0.969,0.003081,2.0342220605157303e-4,0.9690000594627904,12.289303314397237,7.784243177034234
