"tree_age","simulation","min_ess","all_ess_above_thresh"
5,22,76.5,FALSE
6,22,52.6,FALSE
7,22,38.7,FALSE
8,22,47.2,FALSE
9,22,75.6,FALSE
1,23,161.4,FALSE
10,23,9.6,FALSE
11,23,5,FALSE
12,23,3.5,FALSE
13,23,4.3,FALSE
14,23,NA,NA
15,23,7.8,FALSE
16,23,7.3,FALSE
17,23,8.2,FALSE
2,23,154.3,FALSE
3,23,93.8,FALSE
4,23,52.3,FALSE
5,23,39.3,FALSE
6,23,28.8,FALSE
7,23,17.4,FALSE
8,23,30.7,FALSE
9,23,2.9,FALSE
1,24,247.5,TRUE
10,24,9.7,FALSE
11,24,2.6,FALSE
12,24,4.2,FALSE
13,24,5.4,FALSE
14,24,6.8,FALSE
15,24,9.1,FALSE
16,24,2.7,FALSE
17,24,4,FALSE
2,24,131.3,FALSE
3,24,90,FALSE
4,24,45.9,FALSE
5,24,17.5,FALSE
6,24,21.6,FALSE
7,24,3.6,FALSE
8,24,8,FALSE
9,24,5.7,FALSE
1,25,463.7,TRUE
10,25,80.6,FALSE
11,25,58.4,FALSE
12,25,112,FALSE
13,25,60.1,FALSE
14,25,78.8,FALSE
15,25,108.5,FALSE
16,25,85.9,FALSE
17,25,60,FALSE
2,25,240,TRUE
3,25,80.1,FALSE
4,25,72,FALSE
5,25,43.6,FALSE
6,25,54.7,FALSE
7,25,44.5,FALSE
8,25,41.1,FALSE
9,25,50.9,FALSE
1,26,412.6,TRUE
10,26,8.2,FALSE
11,26,7,FALSE
12,26,10.6,FALSE
13,26,8.1,FALSE
14,26,6.1,FALSE
15,26,7.2,FALSE
16,26,6.7,FALSE
17,26,8.5,FALSE
2,26,182.1,FALSE
3,26,62.3,FALSE
4,26,5.9,FALSE
5,26,23.8,FALSE
6,26,11.7,FALSE
7,26,19.7,FALSE
8,26,25.3,FALSE
9,26,20.2,FALSE
1,27,370.1,TRUE
10,27,12.8,FALSE
11,27,21.9,FALSE
12,27,12.6,FALSE
13,27,6.1,FALSE
14,27,2.5,FALSE
15,27,13.6,FALSE
16,27,17.6,FALSE
17,27,10.3,FALSE
2,27,178.7,FALSE
3,27,87.9,FALSE
4,27,69.2,FALSE
5,27,33.1,FALSE
6,27,42.4,FALSE
7,27,37.3,FALSE
8,27,25.3,FALSE
9,27,8.7,FALSE
1,28,468.2,TRUE
10,28,4.6,FALSE
11,28,16.2,FALSE
12,28,8.9,FALSE
13,28,7.1,FALSE
14,28,3.7,FALSE
15,28,6,FALSE
16,28,5.6,FALSE
17,28,6.4,FALSE
2,28,248.3,TRUE
3,28,80.5,FALSE
4,28,75.9,FALSE
5,28,65.9,FALSE
6,28,42.5,FALSE
7,28,38.5,FALSE
8,28,35,FALSE
9,28,3,FALSE
1,29,440.6,TRUE
10,29,20.7,FALSE
11,29,17.1,FALSE
12,29,5.9,FALSE
