"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
8,14,52,52,0.695,0.695
8,37,52,58,1,1
8,32,52,58,0.985,0.985
8,15,52,52,1,1
8,1,52,58,1,1
8,41,52,58,1,1
8,38,52,58,0.99,0.99
8,16,52,52,0.915,0.395
8,23,52,58,0.99,0.99
8,28,52,58,1,1
8,19,52,58,1,1
8,39,52,58,1,1
8,17,52,58,0.99,0.99
8,24,86,52,0.53,0.53
8,33,52,58,1,1
8,4,86,52,0.525,0.43
8,42,52,58,1,1
8,46,52,58,0.99,0.99
8,2,52,52,0.7,0.7
8,18,52,58,0.905,0.905
8,29,52,58,1,1
8,50,52,58,1,1
8,20,52,58,0.985,0.985
8,10,52,58,1,1
8,34,52,52,0.83,0.83
8,25,52,58,0.975,0.975
8,43,52,52,0.995,0.995
8,47,82,52,0.915,0.915
8,3,52,52,0.815,0.5
8,6,52,58,1,1
8,44,52,58,1,1
8,26,52,58,1,1
8,40,52,58,1,1
8,30,52,58,1,1
8,27,52,52,0.99,0.99
8,11,52,52,0.96,0.49
8,21,52,58,1,1
8,45,52,52,0.78,0.78
8,7,52,58,0.965,0.965
8,48,52,58,1,1
8,12,52,58,1,1
8,31,52,58,1,1
8,35,52,52,1,1
8,22,52,58,0.98,0.98
8,8,52,58,1,1
8,49,52,52,0.965,0.965
8,13,52,58,0.97,0.97
8,36,52,58,1,1
8,9,52,52,0.625,0.625
8,5,52,58,0.995,0.995
