family,n_trees,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,N,k
Bantu,57120,0.9853209788324371,0.014679021167563285,1,1.0000000000000004,1,6.170512598152728,NA,NA,424,3859
Bantu_subset,10001,0.9804812262851408,0.01951877371486157,1,1.0000000000000024,0.01190750001402787,5.197030583434324,NA,NA,107,3859
Bantu_subset2,10001,0.9775994586743864,0.02240054132561545,1,1.0000000000000018,0.00981035056979024,6.063551227707761,NA,NA,52,3859
IE,10001,0.9961437305805048,0.0038562694194942,1,0.999999999999999,0.0016534417609187948,9.36333491900055,NA,NA,161,4990
ST,100001,0.9430549662360987,0.05694503376389233,1,0.9999999999999911,0.018275021240642196,8.450482658082908,NA,NA,50,3963
TEA,2001,0.8225506436907878,0.1774493563092136,2.123501976204312,1.0000000000000013,0.0029304257034523697,14.67253575279156,1PL,6,98,3421
TEA,2001,0.8253709865340538,0.174629013465955,1.4804318291218388,1.0000000000000089,0.0029304257034523697,14.67253575279156,1SG,6,98,3421
TEA,2001,0.9700343831721747,0.029965616827824625,0.6669222247098253,0.9999999999999993,0.0029304257034523697,14.67253575279156,2PL,12,98,3421
TEA,2001,0.9524057331031743,0.047594266896826394,1.3984560938985435,1.0000000000000007,0.0029304257034523697,14.67253575279156,2SG,10,98,3421
TEA,2001,0.9763980719781165,0.023601928021885054,0.9096130120150484,1.0000000000000016,0.0029304257034523697,14.67253575279156,3SG,13,98,3421
TEA,2001,0.9334621504415932,0.06653784955840533,0.8445629566734371,0.9999999999999986,0.0029304257034523697,14.67253575279156,above,10,98,3421
TEA,2001,0.979704415429976,0.020295584570024512,0.6366233032382143,1.0000000000000004,0.0029304257034523697,14.67253575279156,ant,17,98,3421
TEA,2001,0.9701193905762879,0.02988060942371426,0.30531769350192134,1.0000000000000022,0.0029304257034523697,14.67253575279156,arm,11,98,3421
TEA,2001,0.9647472811033693,0.035252718896632215,0.18671139704806117,1.0000000000000016,0.0029304257034523697,14.67253575279156,ash,7,98,3421
TEA,2001,0.9824039657453678,0.01759603425463029,1.0014638696344993,0.9999999999999981,0.0029304257034523697,14.67253575279156,ask,21,98,3421
TEA,2001,0.97677570002797,0.023224299972032535,0.7267254950510161,1.0000000000000024,0.0029304257034523697,14.67253575279156,at,12,98,3421
TEA,2001,0.9655066979013892,0.034493302098612885,1.4459841417188146,1.000000000000002,0.0029304257034523697,14.67253575279156,back,21,98,3421
TEA,2001,0.9747370426444297,0.02526295735557117,1.068855697269993,1.0000000000000009,0.0029304257034523697,14.67253575279156,bad,23,98,3421
TEA,2001,0.9689840227587572,0.031015977241242908,1.2889404464165275,1,0.0029304257034523697,14.67253575279156,bark,16,98,3421
TEA,2001,0.9682460271426572,0.0317539728573448,0.9791888940910908,1.000000000000002,0.0029304257034523697,14.67253575279156,belly,13,98,3421
TEA,2001,0.9835389514005298,0.016461048599472103,0.983540795062264,1.000000000000002,0.0029304257034523697,14.67253575279156,big,23,98,3421
TEA,2001,0.9765505952332504,0.02344940476675149,0.850089368333879,1.0000000000000018,0.0029304257034523697,14.67253575279156,bird,18,98,3421
TEA,2001,0.9691354813351917,0.030864518664807945,1.5300303684535563,0.9999999999999997,0.0029304257034523697,14.67253575279156,bite,18,98,3421
TEA,2001,0.9382083449960814,0.061791655003918686,0.2038548724090805,1,0.0029304257034523697,14.67253575279156,bitter,6,98,3421
TEA,2001,0.9699837338760848,0.030016266123916734,0.2719486686923165,1.0000000000000016,0.0029304257034523697,14.67253575279156,black,10,98,3421
TEA,2001,0.8861072826691125,0.1138927173308902,0.2571304457143314,1.0000000000000027,0.0029304257034523697,14.67253575279156,blood,6,98,3421
TEA,2001,0.9409065505051866,0.05909344949481389,1.6416255724397226,1.0000000000000004,0.0029304257034523697,14.67253575279156,blow,14,98,3421
TEA,2001,0.9471167468786033,0.05288325312139712,0.3914804210274043,1.0000000000000004,0.0029304257034523697,14.67253575279156,bone,7,98,3421
TEA,2001,0.9493896062883508,0.050610393711648494,0.8900243458615873,0.9999999999999993,0.0029304257034523697,14.67253575279156,bottom,10,98,3421
TEA,2001,0.9742033324811923,0.02579666751880551,1.1115427134026041,0.9999999999999978,0.0029304257034523697,14.67253575279156,brain,14,98,3421
TEA,2001,0.9713857766353253,0.02861422336467333,1.2573282899377607,0.9999999999999987,0.0029304257034523697,14.67253575279156,branch,16,98,3421
TEA,2001,0.9863696457140239,0.01363035428598048,1.0104042758988752,1.0000000000000044,0.0029304257034523697,14.67253575279156,break,28,98,3421
TEA,2001,0.9620585763611555,0.03794142363884637,1.1147905833421752,1.000000000000002,0.0029304257034523697,14.67253575279156,breast,13,98,3421
TEA,2001,0.9735459428143346,0.026454057185665673,1.1401396394910472,1.0000000000000002,0.0029304257034523697,14.67253575279156,breathe,12,98,3421
TEA,2001,0.9717262303520047,0.028273769647994405,0.9501346929984628,0.9999999999999991,0.0029304257034523697,14.67253575279156,burn,16,98,3421
TEA,2001,0.9814112217122883,0.018588778287712115,1.3818625309478076,1.0000000000000004,0.0029304257034523697,14.67253575279156,carry,21,98,3421
TEA,2001,0.9771980771181414,0.022801922881858304,1.4540464597983425,0.9999999999999998,0.0029304257034523697,14.67253575279156,cheek,19,98,3421
TEA,2001,0.9730225529006931,0.026977447099306932,0.6678029308636892,1,0.0029304257034523697,14.67253575279156,chew,12,98,3421
TEA,2001,0.9759284197309321,0.02407158026906836,1.4962582097804855,1.0000000000000004,0.0029304257034523697,14.67253575279156,child,22,98,3421
TEA,2001,0.9748796112665138,0.025120388733490318,0.9627294035236482,1.000000000000004,0.0029304257034523697,14.67253575279156,chin,15,98,3421
TEA,2001,0.9654188912054404,0.034581108794558724,0.6410015873618986,0.9999999999999991,0.0029304257034523697,14.67253575279156,claw,11,98,3421
TEA,2001,0.8659789697090231,0.13402103029097262,0.42521409215534506,0.9999999999999958,0.0029304257034523697,14.67253575279156,cloud,6,98,3421
TEA,2001,0.9747408467607722,0.0252591532392325,0.7094310523878438,1.0000000000000047,0.0029304257034523697,14.67253575279156,cold,14,98,3421
TEA,2001,0.9355219172880145,0.06447808271198252,0.4379734991320089,0.999999999999997,0.0029304257034523697,14.67253575279156,come,8,98,3421
TEA,2001,0.9725826222747602,0.02741737772524041,0.5059307621832361,1.0000000000000007,0.0029304257034523697,14.67253575279156,cough,10,98,3421
TEA,2001,0.9297815844878328,0.07021841551216468,1.2246570463682085,0.9999999999999974,0.0029304257034523697,14.67253575279156,count,10,98,3421
TEA,2001,0.9884298131477391,0.01157018685225934,0.6928307008780616,0.9999999999999984,0.0029304257034523697,14.67253575279156,cover,19,98,3421
TEA,2001,0.9862400638815032,0.01375993611849599,1.0062092022872076,0.9999999999999992,0.0029304257034523697,14.67253575279156,crush,29,98,3421
TEA,2001,0.9590452686556921,0.04095473134431023,0.5828359422630174,1.0000000000000022,0.0029304257034523697,14.67253575279156,cry,11,98,3421
TEA,2001,0.9727534348079645,0.027246565192039926,0.7210712376346,1.0000000000000044,0.0029304257034523697,14.67253575279156,cut,13,98,3421
TEA,2001,0.9443952427475406,0.055604757252462673,0.18194220092326466,1.0000000000000033,0.0029304257034523697,14.67253575279156,day,8,98,3421
TEA,2001,0.9269754530110309,0.07302454698897126,0.6681810224305036,1.0000000000000022,0.0029304257034523697,14.67253575279156,deep,8,98,3421
TEA,2001,0.9262029523820492,0.07379704761795068,0.4377247415244057,0.9999999999999999,0.0029304257034523697,14.67253575279156,die,9,98,3421
TEA,2001,0.9351237140591357,0.06487628594086452,0.8789755325419841,1.0000000000000002,0.0029304257034523697,14.67253575279156,dig,9,98,3421
TEA,2001,0.9900254681164582,0.00997453188354075,1.2395104038009097,0.9999999999999989,0.0029304257034523697,14.67253575279156,dirty,30,98,3421
