age,total,exist,n_proportion,y_label
1,1.0064149382908358,0,0.04582098779168417,1.0064149382908358
1,1.0064149382908358,1,0.9605939504991516,0
2,1.0079660775641934,0,0.049787984776208896,1.0079660775641934
2,1.0079660775641934,1,0.9581780927879845,0
3,1.0096523262113701,0,0.06894518722407163,1.0096523262113701
3,1.0096523262113701,1,0.9407071389872984,0
4,1.0121446407523118,0,0.06747022640173246,1.0121446407523118
4,1.0121446407523118,1,0.9446744143505794,0
5,1.0013967056692648,0,0.06983528346323696,1.0013967056692648
5,1.0013967056692648,1,0.9315614222060278,0
6,1.0075638140625747,0,0.09454767578218227,1.0075638140625747
6,1.0075638140625747,1,0.9130161382803923,0
7,1.0070125745413954,0,0.08765718176744292,1.0070125745413954
7,1.0070125745413954,1,0.9193553927739525,0
8,1.0058442318553482,0,0.09740386425580165,1.0058442318553482
8,1.0058442318553482,1,0.9084403675995465,0
9,1.0068750381923606,0,0.11458396987267719,1.0068750381923606
9,1.0068750381923606,1,0.8922910683196834,0
10,1.0091867372579002,0,0.11483421572375332,1.0091867372579002
10,1.0091867372579002,1,0.8943525215341469,0
11,1.0072521633864113,0,0.12086938977352213,1.0072521633864113
11,1.0072521633864113,1,0.8863827736128892,0
12,1.0161248624677601,0,0.13437385389800066,1.0161248624677601
12,1.0161248624677601,1,0.8817510085697594,0
13,1.0105682935453897,0,0.13210366931737208,1.0105682935453897
13,1.0105682935453897,1,0.8784646242280176,0
14,1.0169307940081933,0,0.12093424291566707,1.0169307940081933
14,1.0169307940081933,1,0.8959965510925263,0
15,1.0249602684922312,0,0.13866815829017354,1.0249602684922312
15,1.0249602684922312,1,0.8862921102020577,0
16,1.0312720567274627,0,0.14214571239755808,1.0312720567274627
16,1.0312720567274627,1,0.8891263443299047,0
17,1.0271110062820967,0,0.15061670156720372,1.0271110062820967
17,1.0271110062820967,1,0.876494304714893,0
