"node","p_node","node_parent","p_parent","tree","trait"
162,1,"water",161,1,95,4699
163,1,"water",162,1,95,4699
164,1,"water",163,1,95,4699
165,1,"water",164,1,95,4699
166,1,"water",165,1,95,4699
167,0.998,"water",166,1,95,4699
168,1,"water",166,1,95,4699
169,1,"water",165,1,95,4699
170,1,"water",169,1,95,4699
171,0.999,"water",164,1,95,4699
172,0.999,"water",171,0.999,95,4699
173,1,"water",172,0.999,95,4699
174,1,"water",173,1,95,4699
175,0.63,"water",172,0.999,95,4699
176,0.591,"water",175,0.63,95,4699
177,0.586,"water",176,0.591,95,4699
178,0.582,"water",177,0.586,95,4699
179,0.589,"water",178,0.582,95,4699
180,0.635,"water",179,0.589,95,4699
181,0.044,"water",171,0.999,95,4699
182,0.003,"water",181,0.044,95,4699
183,0.999,"water",163,1,95,4699
184,0.999,"water",183,0.999,95,4699
185,1,"water",184,0.999,95,4699
186,1,"water",185,1,95,4699
187,0.999,"water",186,1,95,4699
188,0.996,"water",187,0.999,95,4699
189,0.994,"water",188,0.996,95,4699
190,0.993,"water",189,0.994,95,4699
191,0.225,"water",188,0.996,95,4699
192,0.067,"water",191,0.225,95,4699
193,0.02,"water",192,0.067,95,4699
194,0.02,"water",192,0.067,95,4699
195,0.003,"water",194,0.02,95,4699
196,0.001,"water",195,0.003,95,4699
197,0,"water",196,0.001,95,4699
198,0,"water",197,0,95,4699
199,0,"water",198,0,95,4699
200,0.991,"water",187,0.999,95,4699
201,0.988,"water",200,0.991,95,4699
202,0.987,"water",201,0.988,95,4699
203,0.486,"water",184,0.999,95,4699
204,0.079,"water",203,0.486,95,4699
205,0.028,"water",204,0.079,95,4699
206,0.002,"water",205,0.028,95,4699
207,0,"water",206,0.002,95,4699
208,0.483,"water",183,0.999,95,4699
209,0.177,"water",208,0.483,95,4699
210,0.123,"water",209,0.177,95,4699
211,0.032,"water",210,0.123,95,4699
212,0.022,"water",211,0.032,95,4699
213,0.003,"water",212,0.022,95,4699
214,0.002,"water",213,0.003,95,4699
215,0,"water",214,0.002,95,4699
216,0,"water",215,0,95,4699
217,0.001,"water",213,0.003,95,4699
218,0,"water",217,0.001,95,4699
219,0,"water",218,0,95,4699
220,0,"water",219,0,95,4699
221,0,"water",220,0,95,4699
222,0,"water",221,0,95,4699
223,0,"water",222,0,95,4699
224,0,"water",222,0,95,4699
225,0,"water",221,0,95,4699
226,0,"water",225,0,95,4699
227,0,"water",218,0,95,4699
228,0,"water",227,0,95,4699
229,0,"water",227,0,95,4699
230,0.018,"water",211,0.032,95,4699
231,0.008,"water",230,0.018,95,4699
232,0.004,"water",231,0.008,95,4699
233,0.107,"water",209,0.177,95,4699
234,0.011,"water",208,0.483,95,4699
235,1,"water",162,1,95,4699
236,1,"water",235,1,95,4699
237,1,"water",236,1,95,4699
238,1,"water",237,1,95,4699
239,1,"water",238,1,95,4699
240,1,"water",239,1,95,4699
241,1,"water",240,1,95,4699
242,1,"water",241,1,95,4699
243,1,"water",242,1,95,4699
244,1,"water",243,1,95,4699
245,1,"water",244,1,95,4699
246,1,"water",243,1,95,4699
247,1,"water",246,1,95,4699
248,1,"water",247,1,95,4699
249,1,"water",248,1,95,4699
250,1,"water",239,1,95,4699
251,1,"water",237,1,95,4699
252,1,"water",251,1,95,4699
253,1,"water",252,1,95,4699
254,1,"water",253,1,95,4699
255,1,"water",254,1,95,4699
256,1,"water",252,1,95,4699
257,1,"water",251,1,95,4699
258,1,"water",257,1,95,4699
259,0.994,"water",236,1,95,4699
260,0.278,"water",259,0.994,95,4699
261,0.048,"water",260,0.278,95,4699
262,0,"water",261,0.048,95,4699
263,0,"water",262,0,95,4699
264,0.004,"water",261,0.048,95,4699
265,0,"water",264,0.004,95,4699
266,0.001,"water",264,0.004,95,4699
267,0,"water",266,0.001,95,4699
268,1,"water",259,0.994,95,4699
269,1,"water",268,1,95,4699
270,1,"water",268,1,95,4699
271,0.872,"water",235,1,95,4699
272,0.867,"water",271,0.872,95,4699
273,0.868,"water",272,0.867,95,4699
274,0.884,"water",273,0.868,95,4699
275,0.141,"water",272,0.867,95,4699
276,0.016,"water",275,0.141,95,4699
277,0.013,"water",276,0.016,95,4699
278,0.002,"water",277,0.013,95,4699
279,0,"water",278,0.002,95,4699
280,0,"water",279,0,95,4699
281,0,"water",280,0,95,4699
282,0,"water",281,0,95,4699
283,0.003,"water",277,0.013,95,4699
284,0,"water",283,0.003,95,4699
285,0,"water",284,0,95,4699
286,0,"water",285,0,95,4699
287,0.003,"water",276,0.016,95,4699
288,0.001,"water",287,0.003,95,4699
289,0.001,"water",287,0.003,95,4699
290,0,"water",289,0.001,95,4699
291,0,"water",289,0.001,95,4699
292,0.04,"water",275,0.141,95,4699
293,0.154,"water",271,0.872,95,4699
294,1,"water",161,1,95,4699
295,1,"water",294,1,95,4699
296,1,"water",295,1,95,4699
297,1,"water",296,1,95,4699
298,1,"water",294,1,95,4699
299,1,"water",298,1,95,4699
300,1,"water",299,1,95,4699
301,1,"water",300,1,95,4699
302,1,"water",301,1,95,4699
303,1,"water",302,1,95,4699
304,1,"water",303,1,95,4699
305,1,"water",301,1,95,4699
306,1,"water",305,1,95,4699
307,1,"water",306,1,95,4699
308,1,"water",307,1,95,4699
309,1,"water",300,1,95,4699
310,1,"water",309,1,95,4699
311,1,"water",310,1,95,4699
312,1,"water",309,1,95,4699
313,1,"water",312,1,95,4699
314,1,"water",299,1,95,4699
315,1,"water",314,1,95,4699
316,1,"water",315,1,95,4699
317,1,"water",316,1,95,4699
318,1,"water",298,1,95,4699
319,1,"water",318,1,95,4699
"Hittite",1,"water",167,0.998,95,4699
"Luvian",0,"water",167,0.998,95,4699
"TocharianA",1,"water",168,1,95,4699
"TocharianB",1,"water",168,1,95,4699
"MycenaeanGreek",1,"water",173,1,95,4699
"AncientGreek",1,"water",174,1,95,4699
"NTGreek",1,"water",174,1,95,4699
"Greek",0,"water",178,0.582,95,4699
"GreekCappodocian",0,"water",175,0.63,95,4699
"GreekPontic",0,"water",177,0.586,95,4699
"GreekCypriot",0,"water",179,0.589,95,4699
"GreekItaliot",0,"water",176,0.591,95,4699
"TsakonianPeloponnese",1,"water",180,0.635,95,4699
"TsakonianPropontis",0,"water",180,0.635,95,4699
"ClassicalArmenian",0,"water",181,0.044,95,4699
"ArmenianEastern",0,"water",182,0.003,95,4699
"ArmenianWestern",0,"water",182,0.003,95,4699
"AlbanianGheg",1,"water",170,1,95,4699
"AlbanianStandard",1,"water",170,1,95,4699
"AlbanianArberesh",1,"water",169,1,95,4699
"VedicEarly",0,"water",190,0.993,95,4699
"Pali",1,"water",190,0.993,95,4699
"Sinhalese",0,"water",189,0.994,95,4699
"Assamese",0,"water",193,0.02,95,4699
"Bengali",0,"water",193,0.02,95,4699
"Maithili",0,"water",195,0.003,95,4699
"Magahi",0,"water",196,0.001,95,4699
"Bhojpuri",0,"water",197,0,95,4699
"Hindi",0,"water",198,0,95,4699
"Urdu",0,"water",199,0,95,4699
"Nepali",0,"water",194,0.02,95,4699
"Punjabi",0,"water",199,0,95,4699
"Marathi",0,"water",191,0.225,95,4699
"Kashmiri",0,"water",200,0.991,95,4699
"Palula",1,"water",202,0.987,95,4699
"Gawri",0,"water",202,0.987,95,4699
"Gawarbati",0,"water",201,0.988,95,4699
"PashaiNorthWest",1,"water",186,1,95,4699
"Khowar",0,"water",185,1,95,4699
"Kamviri",0,"water",206,0.002,95,4699
"KatavariEastern",0,"water",207,0,95,4699
"KatavariKtivi",0,"water",207,0,95,4699
"KalasalaNiseigram",0,"water",204,0.079,95,4699
"SanuviriWama",0,"water",205,0.028,95,4699
"VasiVariPaski",0,"water",203,0.486,95,4699
"AvestanYounger",0,"water",212,0.022,95,4699
"Khwarazmian",0,"water",231,0.008,95,4699
"Sogdian",0,"water",232,0.004,95,4699
"Khotanese",0,"water",232,0.004,95,4699
"Pashto",0,"water",210,0.123,95,4699
"Wakhi",0,"water",233,0.107,95,4699
"Sarikoli",0,"water",233,0.107,95,4699
"Yaghnobi",0,"water",230,0.018,95,4699
"Bactrian",0,"water",214,0.002,95,4699
"Parthian",0,"water",215,0,95,4699
"OldPersian",0,"water",216,0,95,4699
"MiddlePersian",0,"water",216,0,95,4699
"PersianTehran",0,"water",223,0,95,4699
"Tati",0,"water",226,0,95,4699
"Mazanderani",0,"water",225,0,95,4699
"Bakhtiari",0,"water",223,0,95,4699
"RajiBarzoki",0,"water",226,0,95,4699
"Delvari",0,"water",224,0,95,4699
"Lari",0,"water",224,0,95,4699
"BalochiSistani",0,"water",220,0,95,4699
"Kumzari",0,"water",219,0,95,4699
"KurdishNBahdini",0,"water",217,0.001,95,4699
"KurdishCJafi",0,"water",228,0,95,4699
"KurdishSElami",0,"water",229,0,95,4699
"KurdishSQorveh",0,"water",229,0,95,4699
"Hawrami",0,"water",228,0,95,4699
"OsseticIron",0,"water",234,0.011,95,4699
"OsseticDigor",0,"water",234,0.011,95,4699
"Latvian",1,"water",297,1,95,4699
"Latgalian",1,"water",297,1,95,4699
"Lithuanian",1,"water",296,1,95,4699
"OldPrussian",1,"water",295,1,95,4699
"OldChurchSlavonic",1,"water",302,1,95,4699
"Bulgarian",1,"water",306,1,95,4699
"Macedonian",1,"water",307,1,95,4699
"MacedonianSuho",1,"water",308,1,95,4699
"MacedonianVisoka",1,"water",308,1,95,4699
"SerboCroatian",1,"water",305,1,95,4699
"SloveneEarlyModern",1,"water",303,1,95,4699
"Slovene",1,"water",304,1,95,4699
"SloveneKostel",1,"water",304,1,95,4699
"OldPolish",1,"water",310,1,95,4699
"Polish",1,"water",311,1,95,4699
"Kashubian",1,"water",311,1,95,4699
"Polabian",1,"water",318,1,95,4699
"Slovak",1,"water",313,1,95,4699
"OldCzech",1,"water",312,1,95,4699
"Czech",1,"water",313,1,95,4699
"SorbianUpper",1,"water",319,1,95,4699
"SorbianLower",1,"water",319,1,95,4699
"OldNovgorod",1,"water",314,1,95,4699
"Russian",1,"water",316,1,95,4699
"Belarusian",1,"water",317,1,95,4699
"Ukrainian",1,"water",317,1,95,4699
"Rusyn",1,"water",315,1,95,4699
"Gothic",1,"water",238,1,95,4699
"OldIcelandic",1,"water",255,1,95,4699
"Icelandic",1,"water",255,1,95,4699
"Faroese",1,"water",254,1,95,4699
"NorwegianBokmal",1,"water",258,1,95,4699
"NorwegianNynorsk",1,"water",258,1,95,4699
"Elfdalian",1,"water",256,1,95,4699
"OldSwedish",1,"water",253,1,95,4699
"Swedish",1,"water",256,1,95,4699
"Danish",1,"water",257,1,95,4699
"OldSaxon",1,"water",240,1,95,4699
"OldHighGerman",1,"water",241,1,95,4699
"MiddleHighGerman",1,"water",242,1,95,4699
"German",1,"water",245,1,95,4699
"Luxembourgish",1,"water",244,1,95,4699
"GermanBernese",1,"water",245,1,95,4699
"MiddleDutch",1,"water",247,1,95,4699
"Dutch",1,"water",249,1,95,4699
"Flemish",1,"water",249,1,95,4699
"OldFrisian",1,"water",246,1,95,4699
"Frisian",1,"water",248,1,95,4699
"OldEnglish",1,"water",250,1,95,4699
"English",1,"water",250,1,95,4699
"Latin",0,"water",273,0.868,95,4699
"Romanian",0,"water",293,0.154,95,4699
"MeglenoRomanian",0,"water",293,0.154,95,4699
"DalmatianVegliote",0,"water",279,0,95,4699
"Neapolitan",0,"water",280,0,95,4699
"Italian",0,"water",282,0,95,4699
"Friulian",0,"water",281,0,95,4699
"Ladin",0,"water",278,0.002,95,4699
"Milanese",0,"water",282,0,95,4699
"SardinianNuoro",0,"water",292,0.04,95,4699
"SardinianLogudoro",0,"water",292,0.04,95,4699
"AngloNorman",0,"water",283,0.003,95,4699
"French",0,"water",286,0,95,4699
"Walloon",0,"water",285,0,95,4699
"OldOccitan",0,"water",284,0,95,4699
"FrancoProvencal",0,"water",286,0,95,4699
"OldCatalan",0,"water",288,0.001,95,4699
"Catalan",0,"water",288,0.001,95,4699
"OldSpanish",0,"water",290,0,95,4699
"Spanish",0,"water",290,0,95,4699
"Portuguese",0,"water",291,0,95,4699
"PortugueseBrazilian",0,"water",291,0,95,4699
"Oscan",0,"water",274,0.884,95,4699
"Umbrian",1,"water",274,0.884,95,4699
"Gaulish",0,"water",260,0.278,95,4699
"OldWelsh",0,"water",262,0,95,4699
"MiddleWelsh",0,"water",263,0,95,4699
"WelshNorth",0,"water",263,0,95,4699
"MiddleCornish",0,"water",265,0,95,4699
"LateCornish",0,"water",265,0,95,4699
"MiddleBreton",0,"water",266,0.001,95,4699
"BretonGwened",0,"water",267,0,95,4699
"BretonTreger",0,"water",267,0,95,4699
"OldIrish",1,"water",269,1,95,4699
"GaelicScottish",1,"water",270,1,95,4699
"GaelicManx",1,"water",270,1,95,4699
"GaelicIrish",1,"water",269,1,95,4699
