"","tree_age","S_root"
"1",1,0.880281847045146
"2",1.1,0.869009372526573
"3",1.2,0.857860220505933
"4",1.3,0.846833428729764
"5",1.4,0.83592803439181
"6",1.5,0.825143074417784
"7",1.6,0.814477585738431
"8",1.7,0.803930605551141
"9",1.8,0.793501171570319
"10",1.9,0.783188322266774
"11",2,0.772991097096416
"12",2.1,0.76290853671852
"13",2.2,0.752939683203882
"14",2.3,0.743083580233151
"15",2.4,0.733339273285677
"16",2.5,0.723705809819157
"17",2.6,0.714182239440433
"18",2.7,0.70476761406774
"19",2.8,0.695460988084737
"20",2.9,0.686261418486615
"21",3,0.677167965018637
"22",3.1,0.668179690307369
"23",3.2,0.659295659984942
"24",3.3,0.650514942806634
"25",3.4,0.641836610762054
"26",3.5,0.633259739180225
"27",3.6,0.624783406828833
"28",3.7,0.616406696007923
"29",3.8,0.608128692638294
"30",3.9,0.599948486344853
"31",4,0.591865170535173
"32",4.1,0.583877842473498
"33",4.2,0.575985603350418
"34",4.3,0.568187558348443
"35",4.4,0.560482816703701
"36",4.5,0.552870491763949
"37",4.6,0.545349701043113
"38",4.7,0.537919566272561
"39",4.8,0.530579213449269
"40",4.9,0.523327772881092
"41",5,0.516164379229303
"42",5.1,0.509088171548563
"43",5.2,0.502098293324502
"44",5.3,0.495193892509058
"45",5.4,0.488374121553727
"46",5.5,0.48163813744088
"47",5.6,0.474985101713282
"48",5.7,0.468414180501952
"49",5.8,0.461924544552492
"50",5.9,0.455515369250026
"51",6,0.449185834642852
"52",6.1,0.442935125464943
"53",6.2,0.436762431157392
"54",6.3,0.430666945888926
"55",6.4,0.424647868575578
"56",6.5,0.418704402899623
"57",6.6,0.412835757327872
"58",6.7,0.407041145129403
"59",6.8,0.401319784392823
"60",6.9,0.395670898043141
"61",7,0.390093713858307
"62",7.1,0.384587464485513
"63",7.2,0.379151387457295
"64",7.3,0.373784725207505
"65",7.4,0.368486725087214
"66",7.5,0.363256639380573
"67",7.6,0.358093725320695
"68",7.7,0.352997245105585
"69",7.8,0.347966465914143
"70",7.9,0.343000659922299
"71",8,0.338099104319246
"72",8.1,0.333261081323849
"73",8.2,0.328485878201198
"74",8.3,0.323772787279326
"75",8.4,0.319121105966095
"76",8.5,0.314530136766246
"77",8.6,0.309999187298602
"78",8.7,0.305527570313409
"79",8.8,0.301114603709806
"80",8.9,0.296759610553394
"81",9,0.29246191909388
"82",9.1,0.288220862782773
"83",9.2,0.284035780291085
"84",9.3,0.279906015527014
"85",9.4,0.275830917653561
"86",9.5,0.27180984110604
"87",9.6,0.267842145609426
"88",9.7,0.263927196195515
"89",9.8,0.260064363219812
"90",9.9,0.25625302237813
"91",10,0.252492554722808
"92",10.1,0.248782346678527
"93",10.2,0.245121790057638
"94",10.3,0.241510282074961
"95",10.4,0.237947225361986
"96",10.5,0.234432027980426
"97",10.6,0.230964103435052
"98",10.7,0.227542870685753
"99",10.8,0.22416775415877
"100",10.9,0.220838183757037
"101",11,0.217553594869575
"102",11.1,0.214313428379875
"103",11.2,0.211117130673235
"104",11.3,0.207964153642976
"105",11.4,0.204853954695492
"106",11.5,0.201785996754099
"107",11.6,0.19875974826161
"108",11.7,0.195774683181618
"109",11.8,0.192830280998423
"110",11.9,0.189926026715583
"111",12,0.187061410853032
"112",12.1,0.18423592944275
"113",12.2,0.18144908402295
"114",12.3,0.178700381630742
"115",12.4,0.175989334793268
"116",12.5,0.173315461517282
"117",12.6,0.170678285277147
"118",12.7,0.168077335001255
"119",12.8,0.165512145056839
"120",12.9,0.162982255233191
"121",13,0.160487210723264
"122",13.1,0.158026562103667
"123",13.2,0.155599865313069
"124",13.3,0.153206681628984
"125",13.4,0.150846577642993
"126",13.5,0.148519125234377
"127",13.6,0.146223901542205
"128",13.7,0.143960488935879
"129",13.8,0.141728474984171
"130",13.9,0.139527452422774
"131",14,0.137357019120392
"132",14.1,0.135216778043408
"133",14.2,0.133106337219156
"134",14.3,0.131025309697842
"135",14.4,0.128973313513146
"136",14.5,0.126949971641549
"137",14.6,0.12495491196043
"138",14.7,0.122987767204972
"139",14.8,0.121048174923934
"140",14.9,0.119135777434327
"141",15,0.11725022177505
"142",15.1,0.115391159659534
"143",15.2,0.113558247427453
"144",15.3,0.111751145995548
"145",15.4,0.109969520807619
"146",15.5,0.108213041783748
"147",15.6,0.106481383268797
"148",15.7,0.104774223980246
"149",15.8,0.10309124695543
"150",15.9,0.101432139498214
"151",16,0.0997965931251881
"152",16.1,0.0981843035114158
"153",16.2,0.0965949704358095
"154",16.3,0.0950282977261765
"155",16.4,0.0934839932039994
"156",16.5,0.0919617686289998
"157",16.6,0.0904613396435451
"158",16.7,0.0889824257169461
"159",16.8,0.0875247500897027
"160",16.9,0.0860880397177453
"161",17,0.0846720252167258
