Index,Cumsum,Family
1,0.6687158158288855,Sino-Tibetan
2,1.0119410428349038,Sino-Tibetan
3,1.0119515718575585,Sino-Tibetan
4,1.0119583707844848,Sino-Tibetan
5,1.0119646244753269,Sino-Tibetan
6,1.0119665961938002,Sino-Tibetan
7,1.0119684809101508,Sino-Tibetan
8,1.0119692835241274,Sino-Tibetan
9,1.0119694769951046,Sino-Tibetan
10,1.0119694770465477,Sino-Tibetan
11,1.011969477095711,Sino-Tibetan
12,1.011969477104465,Sino-Tibetan
13,1.0119694771103989,Sino-Tibetan
14,1.011969477112712,Sino-Tibetan
15,1.0119694771133565,Sino-Tibetan
16,1.0119694771134444,Sino-Tibetan
17,1.0119694771134713,Sino-Tibetan
18,1.0119694771134753,Sino-Tibetan
19,1.0119694771134755,Sino-Tibetan
20,1.0119694771134755,Sino-Tibetan
21,1.0119694771134755,Sino-Tibetan
22,1.0119694771134755,Sino-Tibetan
23,1.0119694771134755,Sino-Tibetan
24,1.0119694771134755,Sino-Tibetan
25,1.0119694771134755,Sino-Tibetan
26,1.0119694771134755,Sino-Tibetan
27,1.0119694771134755,Sino-Tibetan
28,1.0119694771134755,Sino-Tibetan
29,1.0119694771134755,Sino-Tibetan
30,1.0119694771134755,Sino-Tibetan
31,1.0119694771134755,Sino-Tibetan
32,1.0119694771134755,Sino-Tibetan
33,1.0119694771134755,Sino-Tibetan
34,1.0119694771134755,Sino-Tibetan
35,1.0119694771134755,Sino-Tibetan
36,1.0119694771134755,Sino-Tibetan
37,1.0119694771134755,Sino-Tibetan
38,1.0119694771134755,Sino-Tibetan
39,1.0119694771134755,Sino-Tibetan
40,1.0119694771134755,Sino-Tibetan
41,1.0119694771134755,Sino-Tibetan
42,1.0119694771134755,Sino-Tibetan
43,1.0119694771134755,Sino-Tibetan
44,1.0119694771134755,Sino-Tibetan
45,1.0119694771134755,Sino-Tibetan
46,1.0119694771134755,Sino-Tibetan
47,1.0119694771134755,Sino-Tibetan
48,1.0119694771134755,Sino-Tibetan
49,1.0119694771134755,Sino-Tibetan
50,1.0119694771134755,Sino-Tibetan
51,1.0119694771134755,Sino-Tibetan
52,1.0119694771134755,Sino-Tibetan
53,1.0119694771134755,Sino-Tibetan
54,1.0119694771134755,Sino-Tibetan
55,1.0119694771134755,Sino-Tibetan
56,1.0119694771134755,Sino-Tibetan
57,1.0119694771134755,Sino-Tibetan
58,1.0119694771134755,Sino-Tibetan
59,1.0119694771134755,Sino-Tibetan
60,1.0119694771134755,Sino-Tibetan
61,1.0119694771134755,Sino-Tibetan
62,1.0119694771134755,Sino-Tibetan
63,1.0119694771134755,Sino-Tibetan
64,1.0119694771134755,Sino-Tibetan
65,1.0119694771134755,Sino-Tibetan
66,1.0119694771134755,Sino-Tibetan
67,1.0119694771134755,Sino-Tibetan
68,1.0119694771134755,Sino-Tibetan
69,1.0119694771134755,Sino-Tibetan
70,1.0119694771134755,Sino-Tibetan
71,1.0119694771134755,Sino-Tibetan
72,1.0119694771134755,Sino-Tibetan
73,1.0119694771134755,Sino-Tibetan
74,1.0119694771134755,Sino-Tibetan
75,1.0119694771134755,Sino-Tibetan
76,1.0119694771134755,Sino-Tibetan
77,1.0119694771134755,Sino-Tibetan
78,1.0119694771134755,Sino-Tibetan
79,1.0119694771134755,Sino-Tibetan
80,1.0119694771134755,Sino-Tibetan
81,1.0119694771134755,Sino-Tibetan
82,1.0119694771134755,Sino-Tibetan
83,1.0119694771134755,Sino-Tibetan
84,1.0119694771134755,Sino-Tibetan
85,1.0119694771134755,Sino-Tibetan
86,1.0119694771134755,Sino-Tibetan
87,1.0119694771134755,Sino-Tibetan
88,1.0119694771134755,Sino-Tibetan
89,1.0119694771134755,Sino-Tibetan
90,1.0119694771134755,Sino-Tibetan
91,1.0119694771134755,Sino-Tibetan
92,1.0119694771134755,Sino-Tibetan
93,1.0119694771134755,Sino-Tibetan
94,1.0119694771134755,Sino-Tibetan
95,1.0119694771134755,Sino-Tibetan
96,1.0119694771134755,Sino-Tibetan
97,1.0119694771134755,Sino-Tibetan
98,1.0119694771134755,Sino-Tibetan
99,1.0119694771134755,Sino-Tibetan
100,1.0119694771134755,Sino-Tibetan
101,1.0119694771134755,Sino-Tibetan
102,1.0119694771134755,Sino-Tibetan
103,1.0119694771134755,Sino-Tibetan
104,1.0119694771134755,Sino-Tibetan
105,1.0119694771134755,Sino-Tibetan
106,1.0119694771134755,Sino-Tibetan
107,1.0119694771134755,Sino-Tibetan
108,1.0119694771134755,Sino-Tibetan
109,1.0119694771134755,Sino-Tibetan
110,1.0119694771134755,Sino-Tibetan
111,1.0119694771134755,Sino-Tibetan
112,1.0119694771134755,Sino-Tibetan
113,1.0119694771134755,Sino-Tibetan
114,1.0119694771134755,Sino-Tibetan
115,1.0119694771134755,Sino-Tibetan
116,1.0119694771134755,Sino-Tibetan
117,1.0119694771134755,Sino-Tibetan
118,1.0119694771134755,Sino-Tibetan
119,1.0119694771134755,Sino-Tibetan
120,1.0119694771134755,Sino-Tibetan
121,1.0119694771134755,Sino-Tibetan
122,1.0119694771134755,Sino-Tibetan
123,1.0119694771134755,Sino-Tibetan
124,1.0119694771134755,Sino-Tibetan
125,1.0119694771134755,Sino-Tibetan
126,1.0119694771134755,Sino-Tibetan
127,1.0119694771134755,Sino-Tibetan
128,1.0119694771134755,Sino-Tibetan
129,1.0119694771134755,Sino-Tibetan
130,1.0119694771134755,Sino-Tibetan
131,1.0119694771134755,Sino-Tibetan
132,1.0119694771134755,Sino-Tibetan
133,1.0119694771134755,Sino-Tibetan
134,1.0119694771134755,Sino-Tibetan
135,1.0119694771134755,Sino-Tibetan
136,1.0119694771134755,Sino-Tibetan
137,1.0119694771134755,Sino-Tibetan
138,1.0119694771134755,Sino-Tibetan
139,1.0119694771134755,Sino-Tibetan
140,1.0119694771134755,Sino-Tibetan
141,1.0119694771134755,Sino-Tibetan
142,1.0119694771134755,Sino-Tibetan
143,1.0119694771134755,Sino-Tibetan
144,1.0119694771134755,Sino-Tibetan
145,1.0119694771134755,Sino-Tibetan
146,1.0119694771134755,Sino-Tibetan
