"","age","simulation","root","root_age","first_split","root_split_age"
"1",1,1,51,1.109292885592,52,1.098442532722
"2",10,1,51,15.485780644,52,10.271187588
"3",11,1,51,3.0601230684,52,2.9253072024
"4",12,1,51,4.6826401549,52,3.6746934199
"5",13,1,51,28.3307318282,86,22.2575885862
"6",14,1,51,4.2928970419,66,3.6493338452
"7",15,1,51,3.95378193731,52,3.65017613651
"8",16,1,51,4.26720334058,52,3.40619294168
"9",17,1,51,11.4032481212,52,7.9797742482
"10",2,1,51,2.00621920957,52,1.99015575622
"11",3,1,51,3.181092706658,52,3.042270368258
"12",4,1,51,4.18724467645,52,4.0904236368
"13",5,1,51,5.74943020997,55,5.24666081097
"14",6,1,51,5.54760343805,76,4.98262867735
"15",7,1,51,10.22703490327,52,7.89305954727
"16",8,1,51,8.70175266854,52,8.23758158004
"17",9,1,51,23.384719406,52,23.32035143899
"18",1,10,51,0.870600094946,52,0.802468370056
"19",10,10,51,2.7084034411,94,2.1938731575
"20",11,10,51,3.02401031038,52,3.0231853313572
"21",12,10,51,3.3117645203,52,3.28931211781
"22",13,10,51,3.62333265307,52,3.37855983127
"23",14,10,51,3.789607800878,52,3.289337947378
"24",15,10,51,4.29750002232,52,4.27564634365
"25",16,10,51,31.090387137,52,29.749502484
"26",17,10,51,7.8402869408,52,6.8369124188
"27",2,10,51,1.7991685554,52,1.71521938559
"28",3,10,51,3.0426199178,54,2.5179652424
"29",4,10,51,3.7350335398,52,3.3696054168
"30",5,10,51,4.568905456,52,4.3262070003
"31",6,10,51,7.3905991378,52,7.1871349918
"32",7,10,51,6.426706874607,52,6.199824159207
"33",8,10,51,9.856594882749,52,8.207406972749
"34",9,10,51,9.019595032,52,8.92801967325
"35",1,11,51,1.14931415234,52,1.07616897968
"36",10,11,51,7.54985964136,54,7.24343247126
"37",11,11,51,8.02146602693,52,2.65939818293
"38",12,11,51,8.6444939551,52,5.0561343781
"39",13,11,51,10.1441790623,52,9.4314565208
"40",14,11,51,10.282449577,52,4.788449462
"41",15,11,51,10.9672111303,52,7.6853043913
"42",16,11,51,27.391268025,54,19.497415489
"43",17,11,51,16.2741757375,56,12.4938707205
"44",2,11,51,2.00286995243,52,1.98877457879
"45",3,11,51,3.29229505935,52,3.27690305703
"46",4,11,51,4.75551558838,95,4.62908569478
"47",5,11,51,4.134981551851,52,4.122629946141
"48",6,11,51,6.7445156798,52,6.2733625452
"49",7,11,51,10.14386749865,53,7.62360996065
"50",8,11,51,14.142053501,52,13.8423438842
"51",9,11,51,8.0863156178,65,6.5562680208
"52",1,12,51,0.96602262375,52,0.9190485867
"53",10,12,51,5.12617907357,52,3.53832376657
"54",11,12,51,5.6946292324,52,5.3469097579
"55",12,12,51,6.03550174524,52,5.98210212931
"56",13,12,51,6.7642975143,52,6.5972216611
"57",14,12,51,7.03054292414,88,5.03597308914
"58",15,12,51,97.14021725951,52,61.03386291951
"59",16,12,51,15.063290561,52,12.783750102
"60",17,12,51,8.5515693223,79,4.9891246463
"61",2,12,51,2.09689282262,52,2.0626467649
"62",3,12,51,2.72583128967,52,2.6911696914
"63",4,12,51,3.216209726504,52,2.967022305604
"64",5,12,51,4.1270822109,71,3.9738479047
"65",6,12,51,4.9115583058,57,4.3351878538
"66",7,12,51,7.26182684713,52,7.01420685553
"67",8,12,51,4.1336346875,92,3.390788573
"68",9,12,51,117.996662294,52,110.136843112
"69",1,13,51,1.11569729074,64,1.04368743766
"70",10,13,51,8.65877488709,52,7.77855023899
"71",11,13,51,9.9987414765,52,8.4056440435
"72",12,13,51,9.24701394501,52,7.78019806001
"73",13,13,51,21.968124252,52,20.137549888
"74",14,13,51,10.8936235102,77,7.0220827232
"75",15,13,51,26.8481781749,52,20.5150329119
"76",16,13,51,12.67213600966,52,12.20619851886
"77",17,13,51,13.0598100342,52,8.2243770212
"78",2,13,51,2.089815720863,52,2.011129515893
"79",3,13,51,3.692424374429,52,3.674657391609
"80",4,13,51,3.05002677543,52,3.0384579483
"81",5,13,51,3.832248014641,52,3.82823919076
"82",6,13,51,4.68237707572,52,4.56088713542
"83",7,13,51,5.435721928,52,5.2196015459
"84",8,13,51,6.932514313,52,6.7393625496
"85",9,13,51,7.1391865586,52,6.8950838088
"86",1,14,51,1.09621223412,52,1.07730382664
"87",10,14,51,13.1352292868,52,9.7867457568
"88",11,14,51,29.551441528,52,25.430568126
"89",12,14,51,3.51109199223,52,2.84895596983
"90",13,14,51,3.65171475635,52,2.93948637725
"91",14,14,51,61.556760963,52,60.237837717
"92",15,14,51,3.346687869,52,1.575634546
"93",16,14,51,3.6302411849,52,2.3538312129
"94",17,14,51,3.998721325646,52,3.048248127446
"95",2,14,51,2.00820228053,56,1.9531264402
"96",3,14,51,2.83210086988,52,2.73902464414
"97",4,14,51,3.43148271829,52,3.30492418929
"98",5,14,51,4.8334519567,52,4.5098690155
"99",6,14,51,5.9826096515,52,5.3768693408
"100",7,14,51,5.6173987735,52,5.4890350196
"101",8,14,51,8.48501114642,52,7.06457225942
"102",9,14,51,21.191711743,52,14.524379949
"103",1,15,51,1.13464848998,53,1.05236445817
"104",10,15,51,9.7816633984,52,7.7270519844
"105",11,15,51,8.2737127242,52,8.0470409578
"106",12,15,51,9.0521038682,52,8.1869100324
"107",13,15,51,9.6411846158,52,9.3899382037
"108",14,15,51,12.37750285,52,10.99308273
"109",15,15,51,11.1939391484,52,9.6926152324
"110",16,15,51,22.52183080464,52,15.94205418964
"111",17,15,51,12.6162249618,52,12.2147021288
"112",2,15,51,2.23111029018,52,2.14672168745
"113",3,15,51,3.2880942941,52,3.1618447473
"114",4,15,51,4.7140454359,52,4.5541414523
"115",5,15,51,3.7307873065,52,3.5988894673
"116",6,15,51,4.67768263014,52,4.49149874414
"117",7,15,51,5.989682253855,52,5.232398985455
"118",8,15,51,6.076084006,87,4.27192444
"119",9,15,51,6.74889007886,52,6.668312392
"120",1,16,51,0.978233594199,52,0.933728993599
"121",10,16,51,5.2992537453,52,4.4588747404
"122",11,16,51,6.42105730981,52,5.85684543931
"123",12,16,51,6.17261540484,52,4.94220677284
"124",13,16,51,5.3230417476,52,4.8191369185
"125",14,16,51,6.07154575258,52,5.74898100208
"126",15,16,51,6.1116368489,52,5.3974385667
"127",16,16,51,19.4988004074,52,15.7874692644
"128",17,16,51,6.960319673,52,4.849445871
"129",2,16,51,1.81354798214,65,1.68227798624
"130",3,16,51,3.37632753479,65,3.04912006729
"131",4,16,51,4.12670438341,52,3.59132874481
"132",5,16,51,3.6107105323,52,3.413031953
"133",6,16,51,6.4278126024,52,5.7208358179
"134",7,16,51,8.0599540196,52,7.5550708934
"135",8,16,51,8.504379955363,52,7.386892525363
"136",9,16,51,4.8931207368,52,4.292847951
