age,p
1,0.8326668332916771
1,0.9318920269932517
1,0.960259935016246
1,0.9896275931017245
1,0.9918770307423144
1,0.9927518120469883
1,0.9977505623594102
1,1
1,1
1,1
2,0.09860034991252187
2,0.5263684078980255
2,0.5676080979755062
2,0.7408147963009247
2,0.8316670832291927
2,0.9187703074231443
2,0.9960009997500625
2,1
2,1
2,1
3,0.5819795051237191
3,0.7578105473631592
3,0.765058735316171
3,0.8240439890027493
3,0.8274181454636341
3,0.8720319920019995
3,0.8797800549862534
3,0.996125968507873
3,0.9971257185703574
3,1
4,0.018370407398150462
4,0.020119970007498125
4,0.039990002499375156
4,0.18620344913771558
4,0.21069732566858285
4,0.2760559860034991
4,0.46213446638340416
4,0.594976255936016
4,0.9818795301174706
4,0.9981254686328418
5,0.3170245738321895
5,0.32034536196590657
5,0.417312375470445
5,0.44631392517157403
5,0.5953066194376799
5,0.6150099623644012
5,0.8069515164932477
5,0.8620765995129511
5,0.9110028780163826
5,0.9364622537082135
6,0.1506578947368421
6,0.22785087719298244
6,0.3013157894736842
6,0.3785087719298246
6,0.4903508771929825
6,0.7982456140350878
6,0.8160087719298246
6,0.949780701754386
6,0.9519736842105263
6,0.987719298245614
7,0.0424893776555861
7,0.1013496625843539
7,0.1789552611847038
7,0.22881779555111223
7,0.5197450637340665
7,0.6649587603099225
7,0.7040739815046239
7,0.8544113971507123
7,0.8697825543614096
7,0.9892526868282929
8,0
8,0
8,8.011215701982776e-4
8,0.0014019627478469858
8,0.0016022431403965552
8,0.0016022431403965552
8,0.006008411776487082
8,0.011816543160424594
8,0.056278790306429
8,0.1333867414380132
9,8.563476771569257e-4
9,0.0017126953543138515
9,0.002354956112181546
9,0.0032113037893384713
9,0.004067651466495397
9,0.005352172982230786
9,0.010276172125883108
9,0.046242774566473986
9,0.05095268679083708
9,0.06229929351316635
10,0
10,0
10,0
10,1.950458357714063e-4
10,7.801833430856252e-4
10,0.001365320850399844
10,0.0017554125219426564
10,0.0031207333723425007
10,0.021650087770626096
10,0.02633118782913985
11,1.9577133907595928e-4
11,1.9577133907595928e-4
11,3.9154267815191856e-4
11,3.9154267815191856e-4
11,0.00097885669537979645
11,0.00548159749412686
11,0.014878621769772905
11,0.02173061863743148
11,0.15798747063429913
11,0.4982380579483164
12,1.7370158068438424e-4
12,1.7370158068438424e-4
12,1.7370158068438424e-4
12,1.7370158068438424e-4
12,0.0020844189682126106
12,0.007990272711481675
12,0.009553586937641132
12,0.02431822129581379
12,0.1123849227027966
12,0.132013201320132
13,0
13,0
13,0
13,0
13,1.7962996227770793e-4
13,1.7962996227770793e-4
13,7.185198491108317e-4
13,0.0035925992455541583
13,0.014190767019938925
13,0.025327824681156817
14,0
14,0
14,1.2496875781054737e-4
14,1.2496875781054737e-4
14,1.2496875781054737e-4
14,3.7490627343164207e-4
14,0.0012496875781054736
14,0.003374156460884779
14,0.005623594101474632
14,0.041364658835291175
15,0
15,0
15,0
15,0
15,0
15,1.2496875781054737e-4
15,9.99750062484379e-4
15,0.0018745313671582105
15,0.012121969507623094
15,0.05998500374906274
16,0
16,0
16,0
16,4.998750312421895e-4
16,6.248437890527368e-4
16,6.248437890527368e-4
16,9.99750062484379e-4
16,0.002749312671832042
16,0.005498625343664084
16,0.007248187953011747
17,0
17,0
17,0
17,0
17,0
17,1.2496875781054737e-4
17,3.7490627343164207e-4
17,8.747813046738316e-4
17,0.004498875281179705
17,0.023619095226193453
