"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
52,6,7,0.22,0.166,0.285
60,12,47,0,0,0.023
52,13,9,0,0,0.023
60,9,47,0,0,0.023
52,6,42,0,0,0.023
62,5,45,0.16,0.114,0.22
52,10,42,0,0,0.023
80,17,46,0,0,0.023
52,13,44,0,0,0.023
52,14,41,0,0,0.023
59,3,50,0,0,0.023
52,10,7,0,0,0.023
83,2,43,0.135,0.092,0.192
52,14,6,0,0,0.023
52,11,5,0,0,0.023
62,1,45,0.95,0.907,0.974
53,15,49,0,0,0.023
52,7,5,0.02,0.006,0.054
71,4,48,0.055,0.029,0.099
70,2,8,0.945,0.901,0.971
52,7,7,0,0,0.023
60,13,47,0,0,0.023
52,14,9,0,0,0.023
52,7,42,0,0,0.023
71,1,48,0.54,0.468,0.61
52,15,41,0,0,0.023
52,11,42,0,0,0.023
80,2,46,0.395,0.327,0.467
52,8,7,0.01,0.002,0.039
60,14,47,0,0,0.023
62,6,45,0.015,0.004,0.047
52,11,7,0,0,0.023
62,10,45,0,0,0.023
52,15,9,0,0,0.023
83,3,43,0.005,0,0.032
52,15,6,0,0,0.023
52,14,44,0,0,0.023
52,12,5,0,0,0.023
59,4,50,0.11,0.072,0.164
53,16,49,0.025,0.009,0.061
52,8,5,0,0,0.023
71,5,48,0.025,0.009,0.061
71,10,48,0,0,0.023
52,8,42,0,0,0.023
52,16,41,0,0,0.023
70,3,8,0.375,0.308,0.446
80,3,46,0.46,0.39,0.532
52,9,7,0.005,0,0.032
52,12,42,0,0,0.023
60,15,47,0,0,0.023
52,16,9,0,0,0.023
71,11,48,0,0,0.023
52,9,42,0,0,0.023
62,11,45,0,0,0.023
62,7,45,0,0,0.023
52,12,7,0,0,0.023
52,17,41,0,0,0.023
59,5,50,0,0,0.023
52,13,5,0,0,0.023
52,16,6,0,0,0.023
52,15,44,0,0,0.023
52,9,5,0,0,0.023
53,17,49,0.005,0,0.032
83,4,43,0.1,0.064,0.152
60,16,47,0,0,0.023
71,6,48,0,0,0.023
70,1,8,0.995,0.968,1
52,13,42,0,0,0.023
80,4,46,0.12,0.08,0.175
52,17,9,0,0,0.023
71,12,48,0,0,0.023
83,1,43,0.525,0.454,0.596
70,4,8,0.145,0.101,0.203
60,17,47,0,0,0.023
52,2,41,1,0.977,1
70,10,8,0,0,0.023
62,12,45,0,0,0.023
52,13,7,0,0,0.023
62,8,45,0,0,0.023
80,5,46,0.36,0.294,0.431
52,14,42,0,0,0.023
52,2,9,0.065,0.037,0.111
71,13,48,0,0,0.023
52,17,6,0,0,0.023
52,14,5,0,0,0.023
59,1,50,0.965,0.926,0.985
53,2,49,1,0.977,1
52,16,44,0,0,0.023
59,6,50,0,0,0.023
83,5,43,0.02,0.006,0.054
83,10,43,0,0,0.023
71,7,48,0,0,0.023
60,2,47,1,0.977,1
70,11,8,0,0,0.023
70,5,8,0,0,0.023
80,6,46,0,0,0.023
52,15,42,0,0,0.023
52,3,41,1,0.977,1
71,14,48,0,0,0.023
52,3,9,0.785,0.72,0.839
83,11,43,0,0,0.023
62,13,45,0,0,0.023
52,14,7,0,0,0.023
62,9,45,0,0,0.023
52,15,5,0,0,0.023
59,10,50,0,0,0.023
53,3,49,0.965,0.926,0.985
59,7,50,0.005,0,0.032
52,17,44,0,0,0.023
83,6,43,0,0,0.023
60,3,47,1,0.977,1
70,12,8,0,0,0.023
52,2,6,1,0.977,1
71,8,48,0.1,0.064,0.152
71,15,48,0,0,0.023
52,16,42,0,0,0.023
80,7,46,0,0,0.023
52,4,41,0.825,0.764,0.874
83,12,43,0,0,0.023
52,16,5,0,0,0.023
70,6,8,0,0,0.023
62,14,45,0,0,0.023
52,15,7,0,0,0.023
60,4,47,1,0.977,1
