age,total,exist,n_mean,y_label
1,43.84,0,2,43.84
1,43.84,1,41.84,0
2,42.61904761904762,0,2.119047619047619,42.61904761904762
2,42.61904761904762,1,40.5,0
3,41.320465116279074,0,2.86046511627907,41.320465116279074
3,41.320465116279074,1,38.46,0
4,40.17170731707317,0,2.731707317073171,40.17170731707317
4,40.17170731707317,1,37.44,0
5,37.993877551020404,0,2.693877551020408,37.993877551020404
5,37.993877551020404,1,35.3,0
6,36.09478260869565,0,3.4347826086956523,36.09478260869565
6,36.09478260869565,1,32.66,0
7,33.96,0,3,33.96
7,33.96,1,30.96,0
8,31.342553191489362,0,3.0425531914893615,31.342553191489362
8,31.342553191489362,1,28.3,0
9,29.222978723404253,0,3.382978723404255,29.222978723404253
9,29.222978723404253,1,25.84,0
10,26.48521739130435,0,3.0652173913043477,26.48521739130435
10,26.48521739130435,1,23.42,0
11,24.41872340425532,0,2.978723404255319,24.41872340425532
11,24.41872340425532,1,21.44,0
12,21.163636363636364,0,2.8636363636363638,21.163636363636364
12,21.163636363636364,1,18.3,0
13,19.792173913043477,0,2.652173913043478,19.792173913043477
13,19.792173913043477,1,17.14,0
14,17.786046511627905,0,2.186046511627907,17.786046511627905
14,17.786046511627905,1,15.6,0
15,17.074634146341463,0,2.4146341463414633,17.074634146341463
15,17.074634146341463,1,14.66,0
16,15.636410256410258,0,2.2564102564102564,15.636410256410258
16,15.636410256410258,1,13.38,0
17,14.470731707317075,0,2.1707317073170733,14.470731707317075
17,14.470731707317075,1,12.3,0
