trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
4699,water,8.214,335,8.214,1,15,0.125,*u̯ed-,8.213838621645293
4700,water,7.203,157,8.214,0.877,15,0.125,*h₂ep-,8.213838621645293
4701,water,5.004,953,8.214,0.609,15,0.125,*h₂ekʷ-,8.213838621645293
4702,water,4.225,1079,8.214,0.514,15,0.125,*dʰeu̯b-,8.213838621645293
4703,water,4.26,842,8.214,0.519,15,0.125,*peh₃(i̯)-,8.213838621645293
4704,water,3.17,1563,8.214,0.386,15,0.125,*neu̯-,8.213838621645293
4705,water,2.606,663,8.214,0.317,15,0.125,*i̯uHr-,8.213838621645293
4706,water,0.757,6485,8.214,0.092,15,0.125,NA,8.213838621645293
