age,simulation,node,y,hipstr_prob,first_split
12,2,54,FALSE,0.044,54
13,2,54,FALSE,0.022,54
14,2,58,TRUE,0.037,58
15,2,52,FALSE,0,52
16,2,58,FALSE,0.001,58
17,2,59,FALSE,0,59
2,2,58,TRUE,0.999,58
3,2,58,TRUE,1,58
4,2,58,TRUE,0.556,58
5,2,58,TRUE,0.977,58
6,2,58,TRUE,0.803,58
7,2,58,TRUE,0.649,58
8,2,58,TRUE,0.959,58
9,2,58,TRUE,0.975,58
1,20,58,TRUE,0.999,58
10,20,58,TRUE,0.488,58
11,20,60,FALSE,0.088,60
12,20,58,TRUE,0.126,58
13,20,52,FALSE,0.028,52
14,20,56,FALSE,0.075,56
15,20,55,FALSE,0,55
16,20,62,FALSE,0,62
17,20,58,FALSE,0,58
2,20,58,TRUE,0.998,58
3,20,58,TRUE,0.997,58
4,20,58,TRUE,0.993,58
5,20,53,FALSE,0.398,53
6,20,58,TRUE,0.958,58
7,20,60,FALSE,0.968,60
8,20,58,TRUE,0.971,58
9,20,58,TRUE,0.7,58
1,21,58,TRUE,1,58
10,21,58,TRUE,0.82,58
11,21,60,FALSE,0.212,60
12,21,56,FALSE,0.029,56
13,21,58,TRUE,0.055,58
14,21,60,FALSE,0.056,60
15,21,61,FALSE,0.001,61
16,21,58,TRUE,0.016,58
17,21,75,FALSE,0,75
2,21,58,TRUE,0.998,58
3,21,58,TRUE,1,58
4,21,58,TRUE,0.915,58
5,21,58,TRUE,1,58
6,21,58,TRUE,0.993,58
7,21,58,TRUE,0.991,58
8,21,58,TRUE,0.862,58
9,21,58,TRUE,0.793,58
1,22,58,TRUE,0.997,58
10,22,58,TRUE,0.257,58
11,22,58,TRUE,0.897,58
12,22,53,FALSE,0.073,53
13,22,55,FALSE,0.027,55
14,22,58,TRUE,0.046,58
15,22,74,FALSE,0,74
16,22,59,FALSE,0,59
17,22,55,FALSE,0,55
2,22,58,TRUE,0.998,58
3,22,58,TRUE,0.88,58
4,22,58,TRUE,0.923,58
5,22,52,FALSE,0.483,52
6,22,58,TRUE,0.942,58
7,22,58,TRUE,0.923,58
8,22,58,TRUE,0.529,58
9,22,58,TRUE,0.726,58
1,23,58,TRUE,0.998,58
10,23,53,FALSE,0.321,53
11,23,58,FALSE,0.019,58
12,23,58,TRUE,0.152,58
13,23,55,FALSE,0.004,55
14,23,53,FALSE,0.013,53
15,23,65,FALSE,0,65
16,23,54,FALSE,0.001,54
17,23,69,FALSE,0,69
2,23,58,TRUE,0.999,58
3,23,58,TRUE,1,58
4,23,58,TRUE,0.996,58
5,23,58,TRUE,0.695,58
6,23,52,FALSE,0.484,52
7,23,58,TRUE,0.558,58
8,23,58,TRUE,0.994,58
9,23,58,TRUE,0.228,58
1,24,58,TRUE,0.998,58
10,24,61,TRUE,0.577,61
11,24,57,FALSE,0.15,57
12,24,58,TRUE,0.105,58
13,24,58,TRUE,0.064,58
14,24,53,FALSE,0.025,53
15,24,61,FALSE,0,61
16,24,52,FALSE,0.004,52
17,24,53,FALSE,0,53
2,24,58,TRUE,0.983,58
3,24,58,TRUE,0.951,58
4,24,58,TRUE,0.82,58
5,24,58,TRUE,0.976,58
6,24,58,TRUE,0.611,58
7,24,58,TRUE,0.863,58
8,24,58,TRUE,0.848,58
9,24,58,TRUE,0.606,58
1,25,58,TRUE,0.998,58
10,25,58,TRUE,0.624,58
11,25,53,FALSE,0.04,53
12,25,61,FALSE,0.044,61
13,25,52,FALSE,0.02,52
14,25,57,FALSE,0.003,57
15,25,53,FALSE,0.001,53
16,25,57,FALSE,0,57
17,25,58,TRUE,0.013,58
2,25,58,TRUE,0.998,58
3,25,58,TRUE,0.99,58
4,25,58,TRUE,1,58
5,25,58,TRUE,0.665,58
6,25,58,TRUE,0.792,58
7,25,58,TRUE,0.282,58
8,25,58,TRUE,0.883,58
9,25,53,FALSE,0.138,53
1,26,58,TRUE,0.999,58
10,26,52,FALSE,0.085,52
11,26,52,FALSE,0.025,52
12,26,61,FALSE,0.004,61
13,26,60,FALSE,0.011,60
14,26,56,FALSE,0,56
15,26,53,FALSE,0,53
16,26,60,FALSE,0,60
17,26,52,FALSE,0.003,52
2,26,58,TRUE,0.999,58
3,26,58,TRUE,1,58
4,26,58,TRUE,1,58
5,26,58,TRUE,0.975,58
6,26,58,TRUE,0.994,58
7,26,58,TRUE,0.997,58
8,26,58,TRUE,0.39,58
9,26,58,TRUE,0.982,58
1,27,58,TRUE,0.995,58
10,27,60,TRUE,0.247,60
11,27,53,FALSE,0.101,53
12,27,59,FALSE,0.082,59
13,27,53,FALSE,0.033,53
14,27,60,FALSE,0.004,60
15,27,56,FALSE,0,56
16,27,60,FALSE,0,60
17,27,59,FALSE,0.002,59
2,27,58,TRUE,0.966,58
3,27,58,TRUE,0.894,58
4,27,58,TRUE,0.984,58
5,27,58,TRUE,0.618,58
6,27,58,TRUE,0.881,58
7,27,58,TRUE,0.924,58
8,27,53,FALSE,0.435,53
9,27,53,FALSE,0.521,53
1,28,58,TRUE,0.677,58
10,28,60,TRUE,0.112,60
11,28,54,FALSE,0.169,54
12,28,52,FALSE,0.054,52
13,28,52,FALSE,0.03,52
14,28,60,FALSE,0.002,60
15,28,60,FALSE,0,60
16,28,52,FALSE,0,52
17,28,56,FALSE,0.004,56
2,28,58,TRUE,0.735,58
3,28,52,FALSE,0.473,52
4,28,58,TRUE,0.83,58
5,28,58,TRUE,0.779,58
6,28,58,TRUE,0.993,58
7,28,58,TRUE,0.983,58
8,28,58,TRUE,0.878,58
9,28,58,TRUE,0.567,58
1,29,58,TRUE,0.997,58
10,29,58,TRUE,0.793,58
11,29,58,TRUE,0.204,58
12,29,58,TRUE,0.134,58
13,29,66,FALSE,0.001,66
14,29,59,FALSE,0,59
15,29,58,FALSE,0,58
16,29,69,FALSE,0,69
17,29,52,FALSE,0,52
2,29,58,TRUE,0.999,58
3,29,58,TRUE,0.99,58
4,29,58,TRUE,0.986,58
5,29,58,TRUE,0.595,58
6,29,58,TRUE,0.944,58
7,29,58,TRUE,0.924,58
8,29,58,TRUE,0.886,58
9,29,60,TRUE,0.626,60
1,3,58,TRUE,0.998,58
10,3,58,TRUE,0.238,58
11,3,60,FALSE,0.363,60
12,3,58,TRUE,0.251,58
13,3,60,FALSE,0.011,60
14,3,63,FALSE,0.002,63
15,3,59,FALSE,0.001,59
16,3,57,FALSE,0.002,57
17,3,58,TRUE,0.011,58
2,3,58,TRUE,0.999,58
3,3,58,TRUE,1,58
4,3,58,TRUE,1,58
5,3,58,TRUE,0.992,58
6,3,58,TRUE,0.985,58
7,3,58,TRUE,0.985,58
8,3,58,TRUE,0.828,58
9,3,58,TRUE,0.978,58
1,30,58,TRUE,0.999,58
10,30,58,TRUE,0.949,58
11,30,58,TRUE,0.672,58
12,30,60,TRUE,0.103,60
13,30,58,TRUE,0.107,58
14,30,52,FALSE,0.03,52
15,30,52,FALSE,0.005,52
16,30,55,FALSE,0,55
17,30,73,FALSE,0,73
2,30,58,TRUE,1,58
3,30,58,TRUE,0.977,58
4,30,58,TRUE,1,58
5,30,58,TRUE,1,58
6,30,58,TRUE,1,58
7,30,58,TRUE,0.946,58
8,30,58,TRUE,0.975,58
9,30,58,TRUE,0.746,58
1,31,58,TRUE,0.997,58
10,31,58,TRUE,0.317,58
11,31,58,TRUE,0.547,58
12,31,57,FALSE,0.025,57
13,31,52,FALSE,0.03,52
14,31,58,TRUE,0.021,58
15,31,75,FALSE,0,75
16,31,62,FALSE,0,62
17,31,68,FALSE,0,68
2,31,58,TRUE,0.998,58
3,31,58,TRUE,0.995,58
4,31,52,FALSE,0.853,52
5,31,58,TRUE,0.989,58
6,31,58,TRUE,0.999,58
7,31,60,TRUE,0.498,60
8,31,52,FALSE,0.625,52
9,31,58,TRUE,0.226,58
1,32,58,TRUE,0.999,58
10,32,58,TRUE,0.749,58
11,32,60,FALSE,0.051,60
12,32,52,FALSE,0.027,52
13,32,52,FALSE,0.045,52
14,32,59,FALSE,0.006,59
15,32,60,FALSE,0,60
16,32,58,TRUE,0.028,58
17,32,58,FALSE,0,58
2,32,58,TRUE,0.999,58
3,32,58,TRUE,1,58
4,32,58,TRUE,1,58
5,32,58,TRUE,1,58
6,32,58,TRUE,0.996,58
7,32,58,TRUE,0.997,58
8,32,58,TRUE,0.995,58
9,32,52,FALSE,0.156,52
1,33,58,TRUE,0.893,58
