family,tip,age,depth,root_age
Bantu,B501_Wanzi_E,5.075103246365526,0,5.08
Bantu,B501_Wanzi_Mo,5.075103246365526,0,5.08
Bantu,B503_Vili,5.075103246365526,0,5.08
Bantu,B51_Duma,5.075103246365526,0,5.08
Bantu,B51_Duma_La,5.075103246365526,0,5.08
Bantu,B52_Nzebi,5.075103246365526,0,5.08
Bantu,B53_Tsaangi_Poungi,5.075103246365526,0,5.08
Bantu,B601_Lempini,5.075103246365526,0,5.08
Bantu,B602_Kaningi_Nord,5.075103246365526,0,5.08
Bantu,B602_Kaningi_Sud,5.075103246365526,0,5.08
Bantu,B62_Mbaama,5.075103246365526,0,5.08
Bantu,B63_Ndumu,5.075103246365526,0,5.08
Bantu,B701_Atsitsege,5.075103246365526,0,5.08
Bantu,B71aIb_Teke_Ibali_Congo,5.075103246365526,0,5.08
Bantu,B71aLe_Teke_Leconi,5.075103246365526,0,5.08
Bantu,B71a_Teke_Dj,5.075103246365526,0,5.08
Bantu,B71a_Teke_Os,5.075103246365526,0,5.08
Bantu,B77b_Fumu,5.075103246365526,0,5.08
Bantu,B78_Wuumu,5.075103246365526,0,5.08
Bantu,B81_Tiene,5.075103246365526,0,5.08
Bantu,B82_Buma,5.075103246365526,0,5.08
Bantu,B84_Mbunda,5.075103246365526,0,5.08
Bantu,B85_Yanzi,5.075103246365526,0,5.08
Bantu,B85d_Nsongo,5.075103246365525,0,5.08
Bantu,B85e_Mput,5.075103246365526,0,5.08
Bantu,B861_Ngul,5.075103246365526,0,5.08
Bantu,B862_Lwel,5.075103246365525,0,5.08
Bantu,B863_Pindi,5.075103246365525,0,5.08
Bantu,B864_Ngong,5.075103246365526,0,5.08
Bantu,B865_Nzadi,5.075103246365526,0,5.08
Bantu,B86_Dinga,5.075103246365526,0,5.08
Bantu,B86_Dzing,5.075103246365525,0,5.08
Bantu,Bamun_Grassfields,5.075103246365525,0,5.08
Bantu,Bile_Jarawan,5.075103246365526,0,5.08
Bantu,Bwazza_Jarawan,5.075103246365526,0,5.08
Bantu,C101_Babole_Dz,5.075103246365526,0,5.08
Bantu,C101_Babole_Ep,5.075103246365526,0,5.08
Bantu,C101_Babole_Ma,5.075103246365526,0,5.08
Bantu,C104_Aka,5.075103246365526,0,5.08
