"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
62,8,31,0,0,0.023
83,8,29,0,0,0.023
52,8,36,0,0,0.023
52,8,23,0,0,0.023
52,8,14,0.005,0,0.032
52,8,28,0.025,0.009,0.061
52,8,26,0,0,0.023
52,8,38,0.01,0.002,0.039
52,8,1,0.01,0.002,0.039
76,8,24,0,0,0.023
52,8,34,0,0,0.023
52,8,30,0.075,0.044,0.123
52,8,19,0.07,0.04,0.117
72,8,2,0,0,0.023
52,8,11,0.225,0.17,0.29
52,8,41,0,0,0.023
52,8,13,1,0.977,1
68,8,16,0,0,0.023
52,8,21,0.275,0.216,0.343
63,8,22,0.535,0.463,0.605
73,8,39,0,0,0.023
52,8,12,0.51,0.439,0.581
57,8,17,0.085,0.052,0.135
67,8,27,0.88,0.825,0.92
52,8,32,0.04,0.019,0.08
84,8,18,0.04,0.019,0.08
52,8,37,0.4,0.332,0.472
67,8,42,0,0,0.023
78,8,33,0.34,0.276,0.411
60,8,40,1,0.977,1
52,8,43,0,0,0.023
52,8,45,0.025,0.009,0.061
72,8,46,0.005,0,0.032
72,8,47,0,0,0.023
73,8,49,0.13,0.088,0.186
52,8,8,0.085,0.052,0.135
72,8,3,0,0,0.023
90,8,7,0.03,0.012,0.067
52,8,6,0.05,0.026,0.093
71,8,50,0.015,0.004,0.047
52,8,48,0.02,0.006,0.054
76,8,10,0,0,0.023
52,8,4,0,0,0.023
52,8,25,0.01,0.002,0.039
55,8,15,0,0,0.023
72,8,35,0,0,0.023
52,8,20,0.62,0.549,0.687
52,8,44,0,0,0.023
52,8,5,0,0,0.023
71,8,9,0,0,0.023
