"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
7,44,52,52,0.62,0.62
12,5,67,52,0.59,0.025
4,21,52,58,0.935,0.935
4,26,52,58,1,1
6,8,52,52,0.64,0.46
13,5,73,59,0.67,0.01
5,12,52,58,0.99,0.99
8,4,52,52,0.66,0.38
14,18,69,78,0.57,0.005
7,8,70,52,0.51,0.39
14,5,52,62,0.62,0.005
5,26,52,58,0.955,0.955
6,12,52,58,0.825,0.825
5,21,52,58,1,1
8,8,67,52,0.845,NA
4,35,52,52,1,1
8,44,52,52,0.93,0.93
9,4,70,52,0.96,0.25
15,18,52,52,0.545,NA
7,12,52,58,1,1
11,31,52,52,0.51,0.155
8,12,52,58,0.975,0.975
9,8,52,58,0.825,0.825
16,18,52,52,0.905,0.005
6,26,52,58,0.99,0.99
6,21,52,58,1,1
15,5,68,52,0.865,0.005
17,18,66,52,0.525,0.005
9,12,52,58,0.985,0.985
7,26,52,58,1,1
7,21,52,58,0.995,0.995
16,5,64,52,0.515,0.005
2,18,52,58,1,1
9,44,67,52,0.8,NA
8,26,71,52,0.715,0.125
1,9,52,52,1,1
1,40,52,58,1,1
3,18,52,58,1,1
1,45,52,58,1,1
17,5,64,67,0.505,0.005
9,26,52,52,0.98,0.98
5,35,52,58,0.95,0.95
10,9,79,60,0.54,0.31
12,31,70,52,0.51,NA
4,18,52,58,1,1
2,5,52,58,1,1
8,21,52,52,0.875,0.875
10,45,77,52,0.595,0.46
1,27,52,58,1,1
1,13,52,58,1,1
5,18,52,58,1,1
9,21,52,58,0.825,0.825
10,27,52,52,0.71,NA
10,40,52,52,0.51,0.005
11,45,75,52,0.695,0.025
13,31,74,52,0.505,NA
6,18,52,58,0.995,0.995
3,5,52,58,1,1
6,35,52,58,0.97,0.97
11,40,70,52,0.58,0.09
12,45,67,52,0.88,0.105
11,9,52,59,0.535,0.13
10,13,52,58,0.56,0.56
1,22,52,52,1,1
11,27,63,53,0.52,0.095
12,40,69,52,0.805,0.005
12,27,70,52,0.655,0.025
10,22,52,52,0.665,0.085
7,18,52,58,0.97,0.97
13,40,69,52,0.62,0.07
13,27,67,52,0.785,0.01
4,5,52,58,1,1
11,22,52,58,0.865,0.865
7,35,52,58,0.915,0.915
11,13,70,52,0.58,0.205
14,31,71,52,0.565,0.005
8,18,70,52,0.605,0.13
14,40,52,52,0.56,0.005
13,45,52,52,0.675,0.045
12,9,64,52,0.61,0.015
5,5,52,58,0.93,0.93
12,22,69,54,0.53,0.015
12,13,69,52,0.79,0.065
14,27,52,52,0.655,0.005
9,18,52,52,0.51,NA
15,40,52,74,0.945,0.005
13,22,52,52,0.515,0.005
15,31,67,52,0.73,NA
13,13,65,62,0.595,0.005
15,27,70,52,0.515,0.005
16,40,52,53,0.55,0.005
14,22,52,52,0.895,0.005
16,31,57,52,0.91,0.005
14,13,69,52,0.985,0.005
16,27,58,52,0.585,0.005
6,5,52,58,0.99,0.99
8,35,52,58,0.945,0.945
14,45,60,77,1,0.005
13,9,71,52,0.55,0.015
15,22,68,52,0.525,0.005
17,40,34,52,NA,0.005
17,31,56,52,0.92,0.005
15,13,52,74,0.805,0.005
15,45,71,52,0.605,0.005
2,40,52,58,1,1
16,13,66,72,0.74,0.005
2,31,52,58,1,1
16,45,68,61,0.72,0.01
3,40,52,58,1,1
14,9,52,52,0.585,NA
17,13,52,74,0.515,0.005
17,27,69,52,0.575,0.005
3,31,52,52,0.995,0.995
17,45,68,52,0.685,0.005
9,35,78,52,0.655,0.655
7,5,52,58,1,1
4,40,87,60,0.925,1
2,13,52,58,1,1
2,45,52,58,1,1
16,22,67,52,0.755,0.005
8,5,52,58,0.855,0.855
2,27,52,52,0.955,0.955
3,13,52,58,1,1
5,40,52,58,0.97,0.97
15,9,69,52,0.53,0.005
4,31,81,52,0.85,0.85
1,36,89,52,0.755,0.755
4,13,52,52,0.965,0.965
3,27,52,52,0.89,0.89
9,5,52,52,0.725,0.725
3,45,52,58,1,1
5,31,52,58,0.995,0.995
17,22,67,82,0.52,0.005
4,27,52,58,0.975,0.975
