"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
8,1,0.241,0.245,0.163,0.306,0.026
8,10,0.241,0.245,0.184,0.306,0.025
8,11,0.207,0.204,0.102,0.265,0.028
8,12,0.164,0.163,0.082,0.245,0.033
8,13,0.189,0.184,0.082,0.245,0.029
8,14,0.191,0.184,0.102,0.286,0.035
8,15,0.173,0.163,0.082,0.245,0.032
8,16,0.188,0.184,0.122,0.265,0.029
8,17,0.179,0.184,0.082,0.245,0.03
8,18,0.185,0.184,0.122,0.245,0.026
8,19,0.214,0.224,0.102,0.286,0.029
8,2,0.262,0.265,0.163,0.327,0.03
8,20,0.205,0.204,0.143,0.265,0.024
8,21,0.193,0.184,0.122,0.245,0.022
8,22,0.183,0.184,0.041,0.286,0.044
8,23,0.192,0.204,0.082,0.245,0.027
8,24,0.165,0.163,0.102,0.224,0.027
8,25,0.16,0.163,0.082,0.224,0.028
8,26,0.211,0.214,0.143,0.286,0.032
8,27,0.117,0.122,0.041,0.204,0.031
8,28,0.159,0.163,0.082,0.245,0.035
8,29,0.247,0.245,0.143,0.327,0.032
8,3,0.193,0.184,0.102,0.286,0.034
8,30,0.21,0.204,0.122,0.286,0.029
8,31,0.135,0.143,0.061,0.224,0.032
8,32,0.173,0.163,0.082,0.245,0.033
8,33,0.189,0.184,0.102,0.265,0.035
8,34,0.264,0.265,0.204,0.327,0.025
8,35,0.186,0.184,0.102,0.286,0.028
8,36,0.208,0.204,0.143,0.265,0.022
8,37,0.177,0.184,0.122,0.245,0.027
8,38,0.172,0.163,0.102,0.245,0.027
8,39,0.224,0.224,0.143,0.306,0.026
8,4,0.182,0.184,0.082,0.245,0.031
8,40,0.144,0.143,0.082,0.204,0.025
8,41,0.217,0.224,0.122,0.306,0.035
8,42,0.185,0.184,0.102,0.245,0.026
8,43,0.175,0.184,0.082,0.245,0.029
8,44,0.156,0.163,0.041,0.245,0.031
8,45,0.187,0.184,0.061,0.265,0.033
8,46,0.148,0.143,0.061,0.224,0.028
8,47,0.264,0.265,0.184,0.327,0.021
8,48,0.166,0.163,0.082,0.265,0.033
8,49,0.153,0.143,0.082,0.245,0.03
8,5,0.19,0.204,0.061,0.286,0.037
8,50,0.187,0.184,0.082,0.286,0.037
8,6,0.158,0.163,0.061,0.265,0.029
8,7,0.191,0.184,0.102,0.245,0.029
8,8,0.188,0.184,0.122,0.245,0.023
8,9,0.258,0.265,0.184,0.327,0.028
