family,parameter,ESS
ST_by_sens,treeLikelihood.to_spit,715
ST_by_sens,treeLikelihood.to_stand,1294
ST_by_sens,treeLikelihood.to_steal,518
ST_by_sens,treeLikelihood.to_think_reflect,938
ST_by_sens,treeLikelihood.to_throw,434
ST_by_sens,treeLikelihood.to_vomit,1625
ST_by_sens,treeLikelihood.to_walk,773
ST_by_sens,treeLikelihood.to_wipe,559
ST_by_sens,treeLikelihood.two,3458
ST_by_sens,treeLikelihood.wet,568
ST_by_sens,treeLikelihood.white,1671
ST_by_sens,treeLikelihood.who,360
ST_by_sens,treeLikelihood.yellow,1195
ST_by_sens,TreeHeight.t.tree,3112
ST_by_sens,mutationRate.s.I_first_person_singular,278
ST_by_sens,mutationRate.s.big,129
ST_by_sens,mutationRate.s.black,334
ST_by_sens,mutationRate.s.cold_of_temperature,142
ST_by_sens,mutationRate.s.dirty,108
ST_by_sens,mutationRate.s.dry,105
ST_by_sens,mutationRate.s.early,96
ST_by_sens,mutationRate.s.eight,184
ST_by_sens,mutationRate.s.far,304
ST_by_sens,mutationRate.s.five,1039
ST_by_sens,mutationRate.s.four,35
ST_by_sens,mutationRate.s.full,146
ST_by_sens,mutationRate.s.good,174
ST_by_sens,mutationRate.s.green,332
ST_by_sens,mutationRate.s.hard,128
ST_by_sens,mutationRate.s.he_or_she_third_person_singular,54
ST_by_sens,mutationRate.s.heavy,216
ST_by_sens,mutationRate.s.high_tall,183
ST_by_sens,mutationRate.s.hot,142
ST_by_sens,mutationRate.s.inside,104
ST_by_sens,mutationRate.s.late,84
ST_by_sens,mutationRate.s.left,164
ST_by_sens,mutationRate.s.light_of_weight,262
ST_by_sens,mutationRate.s.long,345
ST_by_sens,mutationRate.s.many,232
ST_by_sens,mutationRate.s.middle,210
ST_by_sens,mutationRate.s.morning,142
ST_by_sens,mutationRate.s.narrow,176
ST_by_sens,mutationRate.s.near,75
ST_by_sens,mutationRate.s.new,161
ST_by_sens,mutationRate.s.nine,386
ST_by_sens,mutationRate.s.old_of_person,345
ST_by_sens,mutationRate.s.one,186
ST_by_sens,mutationRate.s.outside,148
ST_by_sens,mutationRate.s.red,235
ST_by_sens,mutationRate.s.right,174
ST_by_sens,mutationRate.s.round,126
ST_by_sens,mutationRate.s.seven,100
ST_by_sens,mutationRate.s.sharp,317
ST_by_sens,mutationRate.s.short,193
ST_by_sens,mutationRate.s.six,399
ST_by_sens,mutationRate.s.small,80
ST_by_sens,mutationRate.s.soft,163
ST_by_sens,mutationRate.s.straight,133
ST_by_sens,mutationRate.s.ten,641
ST_by_sens,mutationRate.s.the_ant,43
ST_by_sens,mutationRate.s.the_bamboo,163
ST_by_sens,mutationRate.s.the_belly,136
ST_by_sens,mutationRate.s.the_bird,381
ST_by_sens,mutationRate.s.the_blood,438
ST_by_sens,mutationRate.s.the_bone,137
ST_by_sens,mutationRate.s.the_branch,310
ST_by_sens,mutationRate.s.the_breast_female,358
ST_by_sens,mutationRate.s.the_cloud,208
ST_by_sens,mutationRate.s.the_dew,186
ST_by_sens,mutationRate.s.the_dog,178
ST_by_sens,mutationRate.s.the_dream,306
ST_by_sens,mutationRate.s.the_dust,129
ST_by_sens,mutationRate.s.the_ear,334
ST_by_sens,mutationRate.s.the_earth_soil,167
ST_by_sens,mutationRate.s.the_egg,219
ST_by_sens,mutationRate.s.the_eye,214
ST_by_sens,mutationRate.s.the_feather,106
ST_by_sens,mutationRate.s.the_fire,310
ST_by_sens,mutationRate.s.the_fish,227
ST_by_sens,mutationRate.s.the_flea,281
ST_by_sens,mutationRate.s.the_flower,328
ST_by_sens,mutationRate.s.the_foot,131
ST_by_sens,mutationRate.s.the_forest,142
ST_by_sens,mutationRate.s.the_frog,93
ST_by_sens,mutationRate.s.the_front_front_side,215
ST_by_sens,mutationRate.s.the_fruit,104
ST_by_sens,mutationRate.s.the_goat,227
ST_by_sens,mutationRate.s.the_grass,117
ST_by_sens,mutationRate.s.the_hail,140
ST_by_sens,mutationRate.s.the_hair_of_the_head,126
ST_by_sens,mutationRate.s.the_hand,373
ST_by_sens,mutationRate.s.the_head,183
ST_by_sens,mutationRate.s.the_heart,348
ST_by_sens,mutationRate.s.the_horn_keratinized_skin,144
ST_by_sens,mutationRate.s.the_house,388
ST_by_sens,mutationRate.s.the_knee,137
ST_by_sens,mutationRate.s.the_leaf,92
ST_by_sens,mutationRate.s.the_lip_the_lips,232
ST_by_sens,mutationRate.s.the_liver,54
ST_by_sens,mutationRate.s.the_louse,36
ST_by_sens,mutationRate.s.the_lung,124
ST_by_sens,mutationRate.s.the_man_male_human,121
ST_by_sens,mutationRate.s.the_meat,242
ST_by_sens,mutationRate.s.the_moon,409
ST_by_sens,mutationRate.s.the_mountain,209
ST_by_sens,mutationRate.s.the_mouse_or_rat,215
ST_by_sens,mutationRate.s.the_mouth,165
ST_by_sens,mutationRate.s.the_mud,122
ST_by_sens,mutationRate.s.the_nail_fingernail_or_claw,300
ST_by_sens,mutationRate.s.the_name,12
ST_by_sens,mutationRate.s.the_neck,224
ST_by_sens,mutationRate.s.the_needle_for_sewing,280
ST_by_sens,mutationRate.s.the_nose,418
ST_by_sens,mutationRate.s.the_pig,355
ST_by_sens,mutationRate.s.the_rain,216
ST_by_sens,mutationRate.s.the_road,157
ST_by_sens,mutationRate.s.the_root,281
ST_by_sens,mutationRate.s.the_rope,163
ST_by_sens,mutationRate.s.the_salt,146
ST_by_sens,mutationRate.s.the_sand,175
ST_by_sens,mutationRate.s.the_seed,186
ST_by_sens,mutationRate.s.the_shit,218
ST_by_sens,mutationRate.s.the_shoulder,177
ST_by_sens,mutationRate.s.the_skin,134
ST_by_sens,mutationRate.s.the_sky,125
ST_by_sens,mutationRate.s.the_smoke,362
ST_by_sens,mutationRate.s.the_snake,141
ST_by_sens,mutationRate.s.the_snow,198
ST_by_sens,mutationRate.s.the_son,70
ST_by_sens,mutationRate.s.the_spider,110
ST_by_sens,mutationRate.s.the_star,84
ST_by_sens,mutationRate.s.the_stick,123
ST_by_sens,mutationRate.s.the_stone_a_piece_of,314
ST_by_sens,mutationRate.s.the_sun,129
ST_by_sens,mutationRate.s.the_tail,202
ST_by_sens,mutationRate.s.the_thigh,187
ST_by_sens,mutationRate.s.the_thunder,163
ST_by_sens,mutationRate.s.the_tongue,120
ST_by_sens,mutationRate.s.the_tooth_front,206
ST_by_sens,mutationRate.s.the_tree,163
ST_by_sens,mutationRate.s.the_water,250
ST_by_sens,mutationRate.s.the_wind,223
ST_by_sens,mutationRate.s.the_wing,284
ST_by_sens,mutationRate.s.the_woman,153
ST_by_sens,mutationRate.s.the_year,121
ST_by_sens,mutationRate.s.thick,216
ST_by_sens,mutationRate.s.thin_object,88
ST_by_sens,mutationRate.s.thou_second_person_singular,134
ST_by_sens,mutationRate.s.three,941
ST_by_sens,mutationRate.s.to_be_alive,322
ST_by_sens,mutationRate.s.to_bite,162
ST_by_sens,mutationRate.s.to_burn_intransitive,165
ST_by_sens,mutationRate.s.to_buy,201
ST_by_sens,mutationRate.s.to_chew,113
ST_by_sens,mutationRate.s.to_come,170
ST_by_sens,mutationRate.s.to_count,82
ST_by_sens,mutationRate.s.to_cry_weep,129
ST_by_sens,mutationRate.s.to_die,555
ST_by_sens,mutationRate.s.to_dig,220
ST_by_sens,mutationRate.s.to_drink,294
ST_by_sens,mutationRate.s.to_eat,327
ST_by_sens,mutationRate.s.to_fight,195
ST_by_sens,mutationRate.s.to_fly_move_through_air,215
ST_by_sens,mutationRate.s.to_forget,193
ST_by_sens,mutationRate.s.to_give,108
ST_by_sens,mutationRate.s.to_hear,320
ST_by_sens,mutationRate.s.to_hide_conceal,157
ST_by_sens,mutationRate.s.to_hold,123
ST_by_sens,mutationRate.s.to_hunt,140
ST_by_sens,mutationRate.s.to_kill,140
ST_by_sens,mutationRate.s.to_laugh,90
ST_by_sens,mutationRate.s.to_lick,309
ST_by_sens,mutationRate.s.to_play,154
ST_by_sens,mutationRate.s.to_push,104
ST_by_sens,mutationRate.s.to_reside_live,149
ST_by_sens,mutationRate.s.to_scratch,111
ST_by_sens,mutationRate.s.to_see,60
ST_by_sens,mutationRate.s.to_shoot_an_arrow,203
ST_by_sens,mutationRate.s.to_sing,99
ST_by_sens,mutationRate.s.to_sleep,132
ST_by_sens,mutationRate.s.to_smell_perceive_odor_transitive,221
ST_by_sens,mutationRate.s.to_spit,86
ST_by_sens,mutationRate.s.to_stand,186
ST_by_sens,mutationRate.s.to_steal,180
ST_by_sens,mutationRate.s.to_think_reflect,122
ST_by_sens,mutationRate.s.to_throw,154
ST_by_sens,mutationRate.s.to_vomit,179
ST_by_sens,mutationRate.s.to_walk,172
ST_by_sens,mutationRate.s.to_wipe,148
ST_by_sens,mutationRate.s.two,376
ST_by_sens,mutationRate.s.wet,217
ST_by_sens,mutationRate.s.white,298
ST_by_sens,mutationRate.s.who,161
ST_by_sens,mutationRate.s.yellow,233
ST_by_sens,freqParameter.s.I_first_person_singular.1,342
ST_by_sens,freqParameter.s.I_first_person_singular.2,342
ST_by_sens,freqParameter.s.big.1,166
ST_by_sens,freqParameter.s.big.2,166
ST_by_sens,freqParameter.s.black.1,500
ST_by_sens,freqParameter.s.black.2,500
ST_by_sens,freqParameter.s.cold_of_temperature.1,205
ST_by_sens,freqParameter.s.cold_of_temperature.2,205
ST_by_sens,freqParameter.s.dirty.1,176
ST_by_sens,freqParameter.s.dirty.2,176
ST_by_sens,freqParameter.s.dry.1,241
ST_by_sens,freqParameter.s.dry.2,241
ST_by_sens,freqParameter.s.early.1,601
ST_by_sens,freqParameter.s.early.2,601
ST_by_sens,freqParameter.s.eight.1,243
ST_by_sens,freqParameter.s.eight.2,243
ST_by_sens,freqParameter.s.far.1,531
ST_by_sens,freqParameter.s.far.2,531
ST_by_sens,freqParameter.s.five.1,1862
ST_by_sens,freqParameter.s.five.2,1862
ST_by_sens,freqParameter.s.four.1,1726
ST_by_sens,freqParameter.s.four.2,1726
ST_by_sens,freqParameter.s.full.1,157
ST_by_sens,freqParameter.s.full.2,157
ST_by_sens,freqParameter.s.good.1,538
ST_by_sens,freqParameter.s.good.2,538
ST_by_sens,freqParameter.s.green.1,534
ST_by_sens,freqParameter.s.green.2,534
ST_by_sens,freqParameter.s.hard.1,166
ST_by_sens,freqParameter.s.hard.2,166
ST_by_sens,freqParameter.s.he_or_she_third_person_singular.1,91
ST_by_sens,freqParameter.s.he_or_she_third_person_singular.2,91
ST_by_sens,freqParameter.s.heavy.1,318
ST_by_sens,freqParameter.s.heavy.2,318
ST_by_sens,freqParameter.s.high_tall.1,394
ST_by_sens,freqParameter.s.high_tall.2,394
ST_by_sens,freqParameter.s.hot.1,191
ST_by_sens,freqParameter.s.hot.2,191
ST_by_sens,freqParameter.s.inside.1,555
ST_by_sens,freqParameter.s.inside.2,555
ST_by_sens,freqParameter.s.late.1,105
ST_by_sens,freqParameter.s.late.2,105
ST_by_sens,freqParameter.s.left.1,245
ST_by_sens,freqParameter.s.left.2,245
ST_by_sens,freqParameter.s.light_of_weight.1,365
ST_by_sens,freqParameter.s.light_of_weight.2,365
ST_by_sens,freqParameter.s.long.1,522
ST_by_sens,freqParameter.s.long.2,522
ST_by_sens,freqParameter.s.many.1,323
ST_by_sens,freqParameter.s.many.2,323
ST_by_sens,freqParameter.s.middle.1,328
ST_by_sens,freqParameter.s.middle.2,328
ST_by_sens,freqParameter.s.morning.1,189
ST_by_sens,freqParameter.s.morning.2,189
ST_by_sens,freqParameter.s.narrow.1,245
ST_by_sens,freqParameter.s.narrow.2,245
ST_by_sens,freqParameter.s.near.1,127
ST_by_sens,freqParameter.s.near.2,127
ST_by_sens,freqParameter.s.new.1,257
ST_by_sens,freqParameter.s.new.2,257
ST_by_sens,freqParameter.s.nine.1,754
ST_by_sens,freqParameter.s.nine.2,754
ST_by_sens,freqParameter.s.old_of_person.1,592
ST_by_sens,freqParameter.s.old_of_person.2,592
ST_by_sens,freqParameter.s.one.1,477
ST_by_sens,freqParameter.s.one.2,477
ST_by_sens,freqParameter.s.outside.1,195
ST_by_sens,freqParameter.s.outside.2,195
ST_by_sens,freqParameter.s.red.1,728
ST_by_sens,freqParameter.s.red.2,728
ST_by_sens,freqParameter.s.right.1,230
ST_by_sens,freqParameter.s.right.2,230
ST_by_sens,freqParameter.s.round.1,160
ST_by_sens,freqParameter.s.round.2,160
ST_by_sens,freqParameter.s.seven.1,123
ST_by_sens,freqParameter.s.seven.2,123
ST_by_sens,freqParameter.s.sharp.1,2163
ST_by_sens,freqParameter.s.sharp.2,2163
ST_by_sens,freqParameter.s.short.1,1038
ST_by_sens,freqParameter.s.short.2,1038
ST_by_sens,freqParameter.s.six.1,600
ST_by_sens,freqParameter.s.six.2,600
ST_by_sens,freqParameter.s.small.1,247
ST_by_sens,freqParameter.s.small.2,247
ST_by_sens,freqParameter.s.soft.1,240
ST_by_sens,freqParameter.s.soft.2,240
ST_by_sens,freqParameter.s.straight.1,261
ST_by_sens,freqParameter.s.straight.2,261
ST_by_sens,freqParameter.s.ten.1,1424
ST_by_sens,freqParameter.s.ten.2,1424
ST_by_sens,freqParameter.s.the_ant.1,171
ST_by_sens,freqParameter.s.the_ant.2,171
ST_by_sens,freqParameter.s.the_bamboo.1,239
ST_by_sens,freqParameter.s.the_bamboo.2,239
ST_by_sens,freqParameter.s.the_belly.1,213
ST_by_sens,freqParameter.s.the_belly.2,213
ST_by_sens,freqParameter.s.the_bird.1,693
ST_by_sens,freqParameter.s.the_bird.2,693
ST_by_sens,freqParameter.s.the_blood.1,593
ST_by_sens,freqParameter.s.the_blood.2,593
ST_by_sens,freqParameter.s.the_bone.1,190
ST_by_sens,freqParameter.s.the_bone.2,190
ST_by_sens,freqParameter.s.the_branch.1,486
ST_by_sens,freqParameter.s.the_branch.2,486
ST_by_sens,freqParameter.s.the_breast_female.1,490
ST_by_sens,freqParameter.s.the_breast_female.2,490
ST_by_sens,freqParameter.s.the_cloud.1,255
ST_by_sens,freqParameter.s.the_cloud.2,255
ST_by_sens,freqParameter.s.the_dew.1,323
ST_by_sens,freqParameter.s.the_dew.2,323
ST_by_sens,freqParameter.s.the_dog.1,222
ST_by_sens,freqParameter.s.the_dog.2,222
ST_by_sens,freqParameter.s.the_dream.1,435
ST_by_sens,freqParameter.s.the_dream.2,435
ST_by_sens,freqParameter.s.the_dust.1,172
ST_by_sens,freqParameter.s.the_dust.2,172
ST_by_sens,freqParameter.s.the_ear.1,516
ST_by_sens,freqParameter.s.the_ear.2,516
ST_by_sens,freqParameter.s.the_earth_soil.1,336
ST_by_sens,freqParameter.s.the_earth_soil.2,336
ST_by_sens,freqParameter.s.the_egg.1,397
ST_by_sens,freqParameter.s.the_egg.2,397
ST_by_sens,freqParameter.s.the_eye.1,368
ST_by_sens,freqParameter.s.the_eye.2,368
ST_by_sens,freqParameter.s.the_feather.1,182
ST_by_sens,freqParameter.s.the_feather.2,182
ST_by_sens,freqParameter.s.the_fire.1,498
ST_by_sens,freqParameter.s.the_fire.2,498
ST_by_sens,freqParameter.s.the_fish.1,267
ST_by_sens,freqParameter.s.the_fish.2,267
ST_by_sens,freqParameter.s.the_flea.1,464
ST_by_sens,freqParameter.s.the_flea.2,464
ST_by_sens,freqParameter.s.the_flower.1,1108
ST_by_sens,freqParameter.s.the_flower.2,1108
ST_by_sens,freqParameter.s.the_foot.1,201
ST_by_sens,freqParameter.s.the_foot.2,201
ST_by_sens,freqParameter.s.the_forest.1,140
ST_by_sens,freqParameter.s.the_forest.2,140
ST_by_sens,freqParameter.s.the_frog.1,95
ST_by_sens,freqParameter.s.the_frog.2,95
ST_by_sens,freqParameter.s.the_front_front_side.1,243
ST_by_sens,freqParameter.s.the_front_front_side.2,243
ST_by_sens,freqParameter.s.the_fruit.1,534
ST_by_sens,freqParameter.s.the_fruit.2,534
ST_by_sens,freqParameter.s.the_goat.1,470
ST_by_sens,freqParameter.s.the_goat.2,470
ST_by_sens,freqParameter.s.the_grass.1,817
ST_by_sens,freqParameter.s.the_grass.2,817
ST_by_sens,freqParameter.s.the_hail.1,156
ST_by_sens,freqParameter.s.the_hail.2,156
ST_by_sens,freqParameter.s.the_hair_of_the_head.1,157
ST_by_sens,freqParameter.s.the_hair_of_the_head.2,157
ST_by_sens,freqParameter.s.the_hand.1,711
ST_by_sens,freqParameter.s.the_hand.2,711
ST_by_sens,freqParameter.s.the_head.1,173
ST_by_sens,freqParameter.s.the_head.2,173
ST_by_sens,freqParameter.s.the_heart.1,1074
ST_by_sens,freqParameter.s.the_heart.2,1074
ST_by_sens,freqParameter.s.the_horn_keratinized_skin.1,185
ST_by_sens,freqParameter.s.the_horn_keratinized_skin.2,185
ST_by_sens,freqParameter.s.the_house.1,456
ST_by_sens,freqParameter.s.the_house.2,456
ST_by_sens,freqParameter.s.the_knee.1,264
ST_by_sens,freqParameter.s.the_knee.2,264
ST_by_sens,freqParameter.s.the_leaf.1,398
ST_by_sens,freqParameter.s.the_leaf.2,398
ST_by_sens,freqParameter.s.the_lip_the_lips.1,321
ST_by_sens,freqParameter.s.the_lip_the_lips.2,321
ST_by_sens,freqParameter.s.the_liver.1,253
ST_by_sens,freqParameter.s.the_liver.2,253
ST_by_sens,freqParameter.s.the_louse.1,69
ST_by_sens,freqParameter.s.the_louse.2,69
ST_by_sens,freqParameter.s.the_lung.1,180
ST_by_sens,freqParameter.s.the_lung.2,180
ST_by_sens,freqParameter.s.the_man_male_human.1,186
ST_by_sens,freqParameter.s.the_man_male_human.2,186
ST_by_sens,freqParameter.s.the_meat.1,319
ST_by_sens,freqParameter.s.the_meat.2,319
ST_by_sens,freqParameter.s.the_moon.1,565
ST_by_sens,freqParameter.s.the_moon.2,565
ST_by_sens,freqParameter.s.the_mountain.1,329
ST_by_sens,freqParameter.s.the_mountain.2,329
ST_by_sens,freqParameter.s.the_mouse_or_rat.1,289
ST_by_sens,freqParameter.s.the_mouse_or_rat.2,289
ST_by_sens,freqParameter.s.the_mouth.1,232
ST_by_sens,freqParameter.s.the_mouth.2,232
ST_by_sens,freqParameter.s.the_mud.1,93
ST_by_sens,freqParameter.s.the_mud.2,93
ST_by_sens,freqParameter.s.the_nail_fingernail_or_claw.1,554
ST_by_sens,freqParameter.s.the_nail_fingernail_or_claw.2,554
ST_by_sens,freqParameter.s.the_name.1,1677
ST_by_sens,freqParameter.s.the_name.2,1677
ST_by_sens,freqParameter.s.the_neck.1,286
ST_by_sens,freqParameter.s.the_neck.2,286
ST_by_sens,freqParameter.s.the_needle_for_sewing.1,416
ST_by_sens,freqParameter.s.the_needle_for_sewing.2,416
ST_by_sens,freqParameter.s.the_nose.1,876
ST_by_sens,freqParameter.s.the_nose.2,876
ST_by_sens,freqParameter.s.the_pig.1,658
ST_by_sens,freqParameter.s.the_pig.2,658
ST_by_sens,freqParameter.s.the_rain.1,328
ST_by_sens,freqParameter.s.the_rain.2,328
ST_by_sens,freqParameter.s.the_road.1,198
ST_by_sens,freqParameter.s.the_road.2,198
ST_by_sens,freqParameter.s.the_root.1,391
ST_by_sens,freqParameter.s.the_root.2,391
ST_by_sens,freqParameter.s.the_rope.1,310
ST_by_sens,freqParameter.s.the_rope.2,310
ST_by_sens,freqParameter.s.the_salt.1,206
ST_by_sens,freqParameter.s.the_salt.2,206
ST_by_sens,freqParameter.s.the_sand.1,399
ST_by_sens,freqParameter.s.the_sand.2,399
ST_by_sens,freqParameter.s.the_seed.1,387
ST_by_sens,freqParameter.s.the_seed.2,387
ST_by_sens,freqParameter.s.the_shit.1,726
ST_by_sens,freqParameter.s.the_shit.2,726
ST_by_sens,freqParameter.s.the_shoulder.1,299
ST_by_sens,freqParameter.s.the_shoulder.2,299
ST_by_sens,freqParameter.s.the_skin.1,236
ST_by_sens,freqParameter.s.the_skin.2,236
ST_by_sens,freqParameter.s.the_sky.1,157
ST_by_sens,freqParameter.s.the_sky.2,157
ST_by_sens,freqParameter.s.the_smoke.1,539
ST_by_sens,freqParameter.s.the_smoke.2,539
ST_by_sens,freqParameter.s.the_snake.1,312
ST_by_sens,freqParameter.s.the_snake.2,312
ST_by_sens,freqParameter.s.the_snow.1,242
ST_by_sens,freqParameter.s.the_snow.2,242
ST_by_sens,freqParameter.s.the_son.1,86
ST_by_sens,freqParameter.s.the_son.2,86
ST_by_sens,freqParameter.s.the_spider.1,114
ST_by_sens,freqParameter.s.the_spider.2,114
ST_by_sens,freqParameter.s.the_star.1,135
ST_by_sens,freqParameter.s.the_star.2,135
ST_by_sens,freqParameter.s.the_stick.1,249
ST_by_sens,freqParameter.s.the_stick.2,249
ST_by_sens,freqParameter.s.the_stone_a_piece_of.1,557
ST_by_sens,freqParameter.s.the_stone_a_piece_of.2,557
ST_by_sens,freqParameter.s.the_sun.1,112
ST_by_sens,freqParameter.s.the_sun.2,112
ST_by_sens,freqParameter.s.the_tail.1,306
ST_by_sens,freqParameter.s.the_tail.2,306
ST_by_sens,freqParameter.s.the_thigh.1,281
ST_by_sens,freqParameter.s.the_thigh.2,281
ST_by_sens,freqParameter.s.the_thunder.1,178
ST_by_sens,freqParameter.s.the_thunder.2,178
ST_by_sens,freqParameter.s.the_tongue.1,136
ST_by_sens,freqParameter.s.the_tongue.2,136
ST_by_sens,freqParameter.s.the_tooth_front.1,302
ST_by_sens,freqParameter.s.the_tooth_front.2,302
ST_by_sens,freqParameter.s.the_tree.1,253
ST_by_sens,freqParameter.s.the_tree.2,253
ST_by_sens,freqParameter.s.the_water.1,326
ST_by_sens,freqParameter.s.the_water.2,326
ST_by_sens,freqParameter.s.the_wind.1,324
ST_by_sens,freqParameter.s.the_wind.2,324
ST_by_sens,freqParameter.s.the_wing.1,426
ST_by_sens,freqParameter.s.the_wing.2,426
ST_by_sens,freqParameter.s.the_woman.1,184
ST_by_sens,freqParameter.s.the_woman.2,184
ST_by_sens,freqParameter.s.the_year.1,131
ST_by_sens,freqParameter.s.the_year.2,131
ST_by_sens,freqParameter.s.thick.1,850
ST_by_sens,freqParameter.s.thick.2,850
ST_by_sens,freqParameter.s.thin_object.1,88
ST_by_sens,freqParameter.s.thin_object.2,88
ST_by_sens,freqParameter.s.thou_second_person_singular.1,175
ST_by_sens,freqParameter.s.thou_second_person_singular.2,175
ST_by_sens,freqParameter.s.three.1,1409
ST_by_sens,freqParameter.s.three.2,1409
ST_by_sens,freqParameter.s.to_be_alive.1,808
ST_by_sens,freqParameter.s.to_be_alive.2,808
ST_by_sens,freqParameter.s.to_bite.1,217
ST_by_sens,freqParameter.s.to_bite.2,217
ST_by_sens,freqParameter.s.to_burn_intransitive.1,197
ST_by_sens,freqParameter.s.to_burn_intransitive.2,197
ST_by_sens,freqParameter.s.to_buy.1,443
ST_by_sens,freqParameter.s.to_buy.2,443
ST_by_sens,freqParameter.s.to_chew.1,186
ST_by_sens,freqParameter.s.to_chew.2,186
ST_by_sens,freqParameter.s.to_come.1,197
ST_by_sens,freqParameter.s.to_come.2,197
ST_by_sens,freqParameter.s.to_count.1,131
ST_by_sens,freqParameter.s.to_count.2,131
ST_by_sens,freqParameter.s.to_cry_weep.1,233
ST_by_sens,freqParameter.s.to_cry_weep.2,233
ST_by_sens,freqParameter.s.to_die.1,944
ST_by_sens,freqParameter.s.to_die.2,944
ST_by_sens,freqParameter.s.to_dig.1,227
ST_by_sens,freqParameter.s.to_dig.2,227
ST_by_sens,freqParameter.s.to_drink.1,209
ST_by_sens,freqParameter.s.to_drink.2,209
ST_by_sens,freqParameter.s.to_eat.1,490
ST_by_sens,freqParameter.s.to_eat.2,490
ST_by_sens,freqParameter.s.to_fight.1,208
ST_by_sens,freqParameter.s.to_fight.2,208
ST_by_sens,freqParameter.s.to_fly_move_through_air.1,284
ST_by_sens,freqParameter.s.to_fly_move_through_air.2,284
ST_by_sens,freqParameter.s.to_forget.1,302
ST_by_sens,freqParameter.s.to_forget.2,302
ST_by_sens,freqParameter.s.to_give.1,157
ST_by_sens,freqParameter.s.to_give.2,157
ST_by_sens,freqParameter.s.to_hear.1,749
ST_by_sens,freqParameter.s.to_hear.2,749
ST_by_sens,freqParameter.s.to_hide_conceal.1,204
ST_by_sens,freqParameter.s.to_hide_conceal.2,204
ST_by_sens,freqParameter.s.to_hold.1,211
ST_by_sens,freqParameter.s.to_hold.2,211
ST_by_sens,freqParameter.s.to_hunt.1,233
ST_by_sens,freqParameter.s.to_hunt.2,233
ST_by_sens,freqParameter.s.to_kill.1,223
ST_by_sens,freqParameter.s.to_kill.2,223
ST_by_sens,freqParameter.s.to_laugh.1,211
ST_by_sens,freqParameter.s.to_laugh.2,211
ST_by_sens,freqParameter.s.to_lick.1,618
ST_by_sens,freqParameter.s.to_lick.2,618
ST_by_sens,freqParameter.s.to_play.1,192
ST_by_sens,freqParameter.s.to_play.2,192
ST_by_sens,freqParameter.s.to_push.1,158
ST_by_sens,freqParameter.s.to_push.2,158
ST_by_sens,freqParameter.s.to_reside_live.1,192
ST_by_sens,freqParameter.s.to_reside_live.2,192
ST_by_sens,freqParameter.s.to_scratch.1,168
ST_by_sens,freqParameter.s.to_scratch.2,168
ST_by_sens,freqParameter.s.to_see.1,183
ST_by_sens,freqParameter.s.to_see.2,183
ST_by_sens,freqParameter.s.to_shoot_an_arrow.1,246
ST_by_sens,freqParameter.s.to_shoot_an_arrow.2,246
ST_by_sens,freqParameter.s.to_sing.1,227
ST_by_sens,freqParameter.s.to_sing.2,227
ST_by_sens,freqParameter.s.to_sleep.1,210
ST_by_sens,freqParameter.s.to_sleep.2,210
ST_by_sens,freqParameter.s.to_smell_perceive_odor_transitive.1,377
ST_by_sens,freqParameter.s.to_smell_perceive_odor_transitive.2,377
ST_by_sens,freqParameter.s.to_spit.1,99
ST_by_sens,freqParameter.s.to_spit.2,99
ST_by_sens,freqParameter.s.to_stand.1,203
ST_by_sens,freqParameter.s.to_stand.2,203
ST_by_sens,freqParameter.s.to_steal.1,255
ST_by_sens,freqParameter.s.to_steal.2,255
ST_by_sens,freqParameter.s.to_think_reflect.1,131
ST_by_sens,freqParameter.s.to_think_reflect.2,131
ST_by_sens,freqParameter.s.to_throw.1,234
ST_by_sens,freqParameter.s.to_throw.2,234
ST_by_sens,freqParameter.s.to_vomit.1,407
ST_by_sens,freqParameter.s.to_vomit.2,407
ST_by_sens,freqParameter.s.to_walk.1,382
ST_by_sens,freqParameter.s.to_walk.2,382
ST_by_sens,freqParameter.s.to_wipe.1,297
ST_by_sens,freqParameter.s.to_wipe.2,297
ST_by_sens,freqParameter.s.two.1,591
ST_by_sens,freqParameter.s.two.2,591
ST_by_sens,freqParameter.s.wet.1,458
ST_by_sens,freqParameter.s.wet.2,458
ST_by_sens,freqParameter.s.white.1,793
ST_by_sens,freqParameter.s.white.2,793
ST_by_sens,freqParameter.s.who.1,204
ST_by_sens,freqParameter.s.who.2,204
ST_by_sens,freqParameter.s.yellow.1,458
ST_by_sens,freqParameter.s.yellow.2,458
ST_by_sens,logP.mrca.SiniticDialects..,2
ST_by_sens,mrca.date.backward.SiniticDialects.,7920
ST_by_sens,logP.mrca.SiniticOldChinese.leaf.prior..,8001
ST_by_sens,height.SiniticOldChinese.,6469
ST_by_sens,clockRate.c.clock,29
ST_by_sens,FBD.t.tree,1961
ST_by_sens,diversificationRateFBD.t.tree,6416
ST_by_sens,turnoverFBD.t.tree,7162
ST_by_sens,samplingProportionFBD.t.tree,7388
ST_by_sens,originFBD.t.tree,8001
ST_by_sens,SACountFBD.t.tree,1760
