"age","simulation","node","mcc_node_prob"
1,1,52,0.91
3,19,56,0.21
2,12,52,1
5,13,70,1
12,10,54,0.005
8,14,97,0.01
10,16,65,0.015
16,18,52,0.01
13,17,75,0.205
15,11,59,0.005
3,12,52,0.915
6,13,70,0.91
4,19,56,0.945
9,14,97,0.22
10,1,52,0.07
13,10,54,1
11,16,65,0.005
16,11,59,0.005
17,18,52,0.005
14,17,75,0.005
5,19,56,1
7,13,70,0.575
1,15,75,1
11,1,52,0.02
2,18,52,1
4,12,52,0.88
14,10,54,0.02
12,16,65,0.005
15,17,75,0.825
17,11,59,0.005
3,18,52,0.525
8,13,70,1
6,19,56,0.075
10,15,75,0.52
5,12,52,0.045
12,1,52,0.005
15,10,54,1
2,11,59,1
13,16,65,0.005
4,18,52,0.455
9,13,70,0.135
16,17,75,0.005
6,12,52,0.975
11,15,75,1
7,19,56,0.005
13,1,52,0.005
3,11,59,0.73
16,10,54,0.005
5,18,52,0.57
14,16,65,0.655
1,14,97,1
7,12,52,0.055
4,11,59,1
14,1,52,0.005
8,19,56,0.125
12,15,75,0.005
17,10,54,0.2
17,17,75,0.005
6,18,52,0.065
15,16,65,0.02
10,14,97,0.51
8,12,52,0.005
5,11,59,1
15,1,52,0.005
2,17,75,1
7,18,52,0.17
2,10,54,0.945
13,15,75,1
9,19,56,0.005
16,16,65,0.02
9,12,52,0.005
16,1,52,0.005
6,11,59,0.585
11,14,97,0.19
1,2,96,1
3,17,75,1
3,10,54,1
14,15,75,0.005
8,18,52,0.05
1,13,70,0.995
4,17,75,1
17,16,65,0.005
4,10,54,1
12,14,97,0.075
10,2,96,0.005
17,1,52,0.005
15,15,75,1
7,11,59,0.005
9,18,52,0.005
5,17,75,0.195
2,16,65,1
5,10,54,1
2,1,52,0.515
10,13,70,0.35
13,14,97,0.99
16,15,75,0.015
11,2,96,0.015
8,11,59,1
1,19,56,0.69
6,17,75,0.255
6,10,54,0.965
3,16,65,1
3,1,52,0.435
11,13,70,1
14,14,97,1
17,15,75,1
9,11,59,0.69
12,2,96,0.83
7,10,54,0.065
10,19,56,0.005
7,17,75,1
4,16,65,0.99
4,1,52,0.48
12,13,70,0.585
1,12,52,1
15,14,97,0.01
2,15,75,1
8,10,54,1
8,17,75,0.65
11,19,56,0.005
5,16,65,1
13,2,96,0.005
13,13,70,0.005
5,1,52,1
3,15,75,0.62
16,14,97,1
10,12,52,0.005
9,17,75,0.01
9,10,54,0.075
6,16,65,1
12,19,56,0.03
6,1,52,0.04
14,13,70,0.035
14,2,96,0.005
4,15,75,0.44
1,18,52,1
17,14,97,0.005
11,12,52,0.005
1,11,59,1
7,16,65,0.075
7,1,52,0.97
13,19,56,0.21
15,2,96,0.035
5,15,75,0.62
15,13,70,0.005
2,14,97,1
10,18,52,0.005
12,12,52,0.005
8,16,65,0.075
8,1,52,0.065
10,11,59,0.005
14,19,56,0.005
16,2,96,1
6,15,75,0.645
3,14,97,1
16,13,70,1
11,18,52,0.005
9,1,52,0.005
9,16,65,0.005
13,12,52,NA
11,11,59,0.005
15,19,56,0.005
17,2,96,0.015
4,14,97,1
7,15,75,0.225
17,13,70,0.005
12,18,52,0.005
1,17,75,1
1,10,54,1
14,12,52,0.005
12,11,59,1
2,2,96,1
5,14,97,0.14
8,15,75,1
2,13,70,1
16,19,56,0.005
13,18,52,0.005
10,17,75,0.995
10,10,54,0.005
3,2,96,1
6,14,97,1
13,11,59,0.005
3,13,70,0.555
9,15,75,0.56
15,12,52,0.005
17,19,56,0.01
11,10,54,1
4,2,96,1
14,18,52,0.005
4,13,70,0.08
1,16,65,0.74
2,19,56,0.99
7,14,97,0.155
11,17,75,0.005
14,11,59,0.005
16,12,52,NA
5,2,96,0.365
12,17,75,0.01
15,18,52,0.005
17,12,52,0.005
