"age","simulation","node","mcc_node_prob"
1,1,92,0.91
3,19,87,1
2,12,52,1
6,10,98,0.945
8,23,89,0.02
7,17,52,0.03
11,22,52,0.005
10,16,52,0.005
3,12,52,0.915
4,19,52,0.075
7,10,1,NA
4,12,52,0.88
14,14,93,0.005
15,20,98,0.005
8,10,52,0.255
10,1,52,0.07
5,19,52,0.205
8,17,52,0.35
9,23,98,0.02
5,12,71,0.045
1,24,52,0.995
9,10,74,0.015
6,19,52,NA
1,11,52,1
6,12,52,0.975
12,22,88,0.005
11,16,73,0.005
11,1,98,0.02
9,17,62,0.09
1,18,72,1
7,19,1,NA
10,24,79,0.005
7,12,66,0.055
16,20,52,0.005
15,14,52,0.005
13,22,60,0.005
12,1,52,0.005
10,11,52,0.01
12,16,52,0.005
8,19,95,0.125
10,18,52,0.005
11,24,52,0.005
16,14,52,0.005
13,1,52,0.005
11,18,52,0.005
17,20,94,0.005
14,22,81,0.005
12,24,78,0.005
13,16,52,0.005
2,20,52,0.775
3,20,52,1
14,1,66,0.005
15,22,64,0.005
4,20,65,0.205
14,16,52,0.01
17,14,97,0.005
16,22,52,0.005
2,14,56,0.89
15,16,52,0.005
3,14,82,0.99
9,19,52,0.69
5,20,60,1
8,12,92,0.005
4,14,52,0.16
11,11,52,0.005
12,18,52,0.005
15,1,95,0.005
13,24,52,0.005
17,22,90,0.005
16,16,91,0.005
1,2,52,1
6,20,50,NA
12,11,92,0.005
5,14,96,0.05
9,12,91,0.005
16,1,52,0.005
13,18,86,0.005
14,24,86,0.005
2,22,52,0.99
17,16,52,0.005
1,13,52,1
10,2,52,0.005
7,20,52,0.925
13,11,98,0.09
6,14,50,NA
14,18,61,0.005
17,1,52,0.005
3,22,52,0.52
15,24,52,0.005
2,16,65,1
2,1,77,0.515
4,22,77,0.36
8,20,52,0.035
7,14,97,0.155
10,13,82,0.005
11,2,76,0.005
15,18,52,0.005
14,11,94,0.005
3,16,65,1
16,24,94,0.005
3,1,52,0.435
5,22,52,0.435
11,13,94,0.005
9,20,61,0.005
8,14,97,0.01
12,2,82,0.005
4,16,52,0.98
16,18,98,0.01
15,11,78,0.005
17,24,52,0.015
1,21,98,1
4,1,97,0.48
6,22,52,0.2
12,13,83,0.005
9,14,83,0.005
5,16,52,0.8
2,24,52,0.99
13,2,52,0.005
17,18,77,0.005
16,11,52,0.005
5,1,55,1
1,15,53,1
7,22,52,0.02
10,21,52,0.005
13,13,1,NA
2,18,80,1
3,24,96,0.99
6,16,52,NA
14,2,77,0.005
6,1,76,0.04
3,18,98,0.525
8,22,64,0.385
10,15,52,0.005
17,11,52,0.005
4,24,72,0.185
11,21,65,0.005
14,13,52,0.005
7,16,52,0.005
7,1,52,0.97
4,18,96,0.455
2,11,83,0.975
5,24,53,0.115
9,22,76,0.005
15,2,52,0.005
11,15,88,0.005
8,1,62,0.065
15,13,52,1
3,11,83,0.59
12,21,52,0.02
5,18,52,0.57
8,16,98,0.32
1,23,63,1
6,24,52,0.01
9,1,96,0.005
4,11,52,0.32
6,18,87,0.065
16,2,50,NA
16,13,98,0.005
12,15,97,0.005
13,21,52,0.005
9,16,90,0.005
7,24,52,0.17
1,10,98,1
10,23,52,0.005
5,11,52,0.94
7,18,98,0.17
1,17,75,1
17,13,52,0.005
17,2,52,0.005
8,24,57,0.125
14,21,54,1
13,15,91,0.005
6,11,56,0.005
10,10,94,0.015
11,23,52,0.005
2,13,52,1
2,2,52,0.37
8,18,74,0.05
10,17,98,0.01
9,24,71,0.005
15,21,52,0.005
14,15,52,NA
3,13,52,0.13
7,11,52,0.185
3,2,96,1
11,10,80,0.005
9,18,52,0.005
1,25,52,1
4,13,52,0.18
12,23,52,0.005
4,2,56,0.86
15,15,52,0.015
16,21,52,0.005
8,11,92,0.005
11,17,67,0.005
1,19,93,1
5,13,83,0.575
5,2,1,NA
12,10,52,0.005
10,25,72,0.005
17,21,52,0.005
16,15,52,0.005
13,23,75,0.005
9,11,65,0.005
12,17,91,0.005
6,2,98,0.025
2,21,98,1
17,15,52,0.005
14,23,89,0.005
6,13,67,0.09
13,17,52,0.005
1,12,52,1
10,19,52,0.005
7,2,96,0.005
2,15,52,1
13,10,52,0.005
11,25,91,0.005
3,21,69,1
15,23,73,0.005
7,13,98,0.095
4,21,86,1
3,15,52,1
10,12,83,0.005
8,2,96,0.09
14,10,76,0.005
12,25,85,0.005
8,13,52,0.03
5,21,52,NA
4,15,90,1
16,23,52,0.01
14,17,52,NA
11,19,63,0.005
9,2,52,0.005
15,10,52,0.005
13,25,52,0.005
5,15,63,0.075
11,12,80,0.005
9,13,52,0.035
6,21,52,0.985
17,23,52,0.005
12,19,72,0.005
15,17,52,0.005
1,20,52,1
2,23,52,1
1,14,98,0.79
16,10,52,0.065
7,21,52,0.22
14,25,74,0.005
6,15,1,NA
12,12,52,0.005
13,19,88,0.005
16,17,72,0.005
3,23,52,1
10,20,62,0.005
7,15,1,NA
8,21,52,0.005
17,10,88,0.005
14,19,52,0.005
15,25,52,0.005
4,23,64,0.64
10,14,84,0.005
13,12,52,NA
17,17,52,0.02
2,10,98,1
11,20,76,0.005
8,15,87,0.025
9,21,89,0.005
5,23,1,NA
2,17,52,1
3,10,52,1
16,25,52,0.005
15,19,52,0.07
11,14,75,0.005
14,12,52,0.005
3,17,52,0.995
1,22,52,1
4,10,98,1
9,15,52,0.02
6,23,52,0.77
12,20,52,0.005
4,17,52,0.91
17,25,52,0.02
16,19,52,0.025
12,14,98,0.03
1,16,87,1
5,10,52,1
15,12,52,0.005
7,23,52,NA
2,25,53,1
13,20,96,0.005
10,22,63,0.005
5,17,1,NA
17,19,52,0.005
13,14,88,0.005
3,25,52,1
16,12,50,NA
6,17,76,0.07
2,19,69,0.975
14,20,52,0.005
17,12,79,0.005
