"age","simulation","node","mcc_node_prob"
3,46,52,NA
6,47,52,0.02
9,48,71,0.995
7,8,70,0.02
4,7,64,1
11,5,91,0.03
13,44,52,0.005
14,50,52,0.005
16,45,52,0.005
17,6,52,0.005
4,46,52,0.725
5,7,64,1
1,49,52,1
2,6,52,1
7,47,52,0.035
12,5,91,0.445
8,8,70,0.005
14,44,52,0.005
17,45,52,0.005
15,50,52,0.005
5,46,52,0.995
6,7,64,0.25
3,6,52,0.94
10,49,52,0.005
8,47,52,0.005
2,45,52,0.99
13,5,91,0.86
9,8,70,0.13
15,44,52,0.005
16,50,52,0.005
6,46,52,0.25
7,7,64,0.515
3,45,52,0.83
1,9,52,1
4,6,52,0.05
9,47,52,0.105
16,44,52,0.005
11,49,52,0.005
14,5,91,0.005
17,50,52,0.005
8,7,64,1
1,48,71,1
4,45,52,0.975
7,46,52,NA
10,9,52,0.005
5,6,52,0.56
17,44,52,0.005
2,50,52,0.865
15,5,91,0.005
12,49,52,0.005
10,48,71,0.37
5,45,52,0.535
8,46,52,0.005
9,7,64,1
6,6,52,0.995
2,44,52,0.795
11,9,52,0.005
3,50,52,0.81
13,49,52,0.005
16,5,91,0.005
1,8,70,1
6,45,52,0.225
9,46,52,0.005
7,6,52,0.125
3,44,52,0.785
11,48,71,0.065
4,50,52,0.98
12,9,52,0.005
14,49,52,0.005
17,5,91,0.005
1,47,52,1
7,45,52,0.3
10,8,70,1
8,6,52,0.165
4,44,52,0.83
12,48,71,0.02
13,9,52,0.005
5,50,52,NA
15,49,52,0.005
2,5,91,1
10,47,52,0.005
8,45,52,0.065
9,6,52,0.085
13,48,71,0.05
11,8,70,0.005
5,44,52,0.42
6,50,52,0.415
14,9,52,0.005
3,5,91,0.925
16,49,52,0.005
11,47,52,0.005
6,44,52,1
9,45,52,0.005
1,7,64,1
14,48,71,0.025
12,8,70,0.105
7,50,52,1
4,5,91,0.59
15,9,52,0.005
17,49,52,0.005
12,47,52,0.005
1,46,52,1
10,7,64,1
7,44,52,0.045
13,8,70,0.005
5,5,91,1
15,48,71,0.32
8,50,52,0.005
16,9,52,0.005
10,46,52,0.005
11,7,64,0.05
2,49,52,1
13,47,52,0.005
8,44,52,0.005
14,8,70,0.005
6,5,91,1
9,50,52,0.005
16,48,71,0.105
17,9,52,0.005
12,7,64,0.025
3,49,52,0.985
11,46,52,0.005
9,44,52,0.005
1,6,52,0.635
14,47,52,0.005
15,8,70,0.25
7,5,91,1
17,48,71,0.115
2,9,52,1
4,49,52,0.985
1,45,52,1
13,7,64,1
2,48,71,0.995
12,46,52,0.005
15,47,52,0.005
5,49,52,1
16,8,70,0.025
8,5,91,0.065
3,9,52,0.6
10,6,52,0.005
10,45,52,0.005
3,48,71,1
17,8,70,0.02
16,47,52,0.005
6,49,52,0.7
4,9,52,0.96
14,7,64,1
9,5,91,0.005
13,46,52,0.035
11,6,52,0.005
4,48,71,1
11,45,52,0.005
2,8,70,1
15,7,64,0.91
7,49,52,NA
17,47,52,0.005
1,50,52,1
5,9,52,0.3
14,46,52,0.005
12,6,52,0.005
5,48,71,0.86
12,45,52,0.005
8,49,52,0.335
2,47,52,1
3,8,70,1
16,7,64,0.01
10,50,52,0.005
6,9,52,0.99
15,46,52,0.005
13,6,52,0.005
13,45,52,0.005
4,8,70,0.12
3,47,52,0.35
6,48,71,0.39
17,7,64,0.01
9,49,52,1
7,9,52,0.015
11,50,52,0.005
16,46,52,0.03
14,6,52,0.005
7,48,71,0.11
5,8,70,1
4,47,52,NA
2,7,64,1
14,45,52,0.005
1,5,91,1
8,9,52,0.005
12,50,52,0.06
17,46,52,0.005
15,6,52,0.005
8,48,71,1
5,47,52,0.545
3,7,64,1
15,45,52,0.005
6,8,70,0.005
13,50,52,0.005
9,9,52,0.18
10,5,91,0.795
2,46,52,0.995
16,6,52,NA
