"age","simulation","node","mcc_node_prob"
4,48,90,0.825
2,8,52,0.765
3,50,95,0.81
5,45,90,0.535
6,42,57,0.005
10,7,82,0.005
11,5,52,0.005
13,44,82,0.005
12,47,52,0.005
5,48,52,0.26
3,8,56,0.745
4,50,53,0.98
6,45,90,0.225
14,41,87,0.005
7,42,52,0.005
11,7,52,0.02
12,5,52,0.005
6,48,52,0.41
4,8,74,0.31
14,44,73,0.005
5,50,52,NA
7,45,91,0.3
13,47,52,0.005
15,41,52,0.005
8,42,54,0.3
12,7,52,0.005
7,48,93,1
13,5,52,0.005
5,8,78,0.085
6,50,52,0.415
15,44,52,0.005
8,45,98,0.065
14,47,62,0.005
9,42,60,0.005
8,48,1,NA
13,7,95,0.01
1,43,52,0.945
16,41,73,0.005
7,50,52,1
6,8,98,0.325
9,45,52,0.005
16,44,52,0.005
14,5,52,0.005
15,47,85,0.005
9,48,96,0.035
1,46,72,1
14,7,81,0.005
8,50,52,0.005
7,8,1,NA
17,41,88,0.005
1,49,52,1
17,44,52,0.005
2,41,62,1
2,44,76,0.795
15,7,73,0.005
9,50,90,0.005
10,43,93,0.005
16,47,52,0.005
8,8,52,0.005
3,41,90,1
15,5,52,0.03
3,44,72,0.785
10,46,85,0.005
1,6,79,0.635
4,41,52,1
4,44,52,0.83
10,49,52,0.005
5,41,81,0.525
16,7,69,0.005
9,8,81,0.005
11,43,52,0.005
17,47,52,0.005
16,5,62,0.005
11,46,52,0.005
1,9,52,1
5,44,71,0.42
6,41,52,0.08
2,47,92,1
11,49,52,0.005
3,47,91,0.35
17,7,52,0.005
10,6,72,0.005
12,43,52,0.015
2,7,52,1
4,47,1,NA
7,41,92,0.13
6,44,95,1
12,46,52,0.005
3,7,50,NA
5,47,68,0.545
10,9,52,0.005
17,5,70,0.005
11,6,54,0.005
4,7,90,0.79
13,43,52,0.005
2,5,53,1
6,47,66,0.02
7,44,52,0.045
8,41,52,1
12,49,87,0.005
11,9,52,0.005
5,7,88,0.985
3,5,52,0.925
7,47,80,0.035
13,46,52,0.035
8,44,55,0.005
6,7,64,0.25
12,6,78,0.005
9,41,52,0.66
14,43,52,0.005
4,5,52,0.59
1,42,52,1
8,47,90,0.005
9,44,52,0.005
5,5,54,1
7,7,52,1
12,9,81,0.005
1,45,62,1
13,49,91,0.005
14,46,52,0.005
6,5,52,0.615
13,6,71,0.005
9,47,93,0.105
8,7,52,0.44
15,43,70,0.005
10,42,97,0.005
1,48,76,0.635
13,9,52,0.005
7,5,52,0.05
10,45,83,0.005
15,46,74,0.005
9,7,52,0.34
14,49,52,0.005
14,6,60,0.005
10,48,76,0.005
8,5,90,0.005
11,42,70,0.005
1,8,52,1
16,43,52,0.005
14,9,72,0.005
11,45,90,0.005
11,48,81,0.005
15,49,63,0.005
15,6,52,0.005
16,46,52,0.03
9,5,52,0.005
12,42,64,0.005
15,9,52,0.005
10,8,76,0.005
17,43,90,0.005
12,45,92,0.005
1,50,52,1
12,48,52,0.005
2,43,52,1
17,46,56,0.005
13,42,52,0.005
16,49,86,0.005
16,9,76,0.005
3,43,52,1
2,46,52,0.995
16,6,50,NA
13,45,52,0.005
10,50,52,0.005
13,48,74,0.005
11,8,54,0.04
3,46,52,NA
4,43,52,1
4,46,52,0.725
5,43,52,1
14,42,81,0.005
17,9,67,0.005
14,48,80,0.005
17,49,69,0.005
14,45,93,0.005
11,50,64,0.005
5,46,94,0.995
17,6,86,0.005
2,9,52,1
6,43,80,0.06
12,8,61,0.005
2,49,52,1
2,6,93,1
3,9,92,0.6
6,46,97,0.25
7,43,69,0.02
3,49,52,0.985
3,6,52,0.94
4,9,52,0.96
15,42,1,NA
15,45,98,0.005
12,50,96,0.06
4,49,52,0.985
15,48,52,0.005
4,6,52,0.05
8,43,93,0.005
5,9,52,0.3
7,46,1,NA
13,8,61,0.005
5,49,86,1
5,6,90,0.56
6,9,97,0.99
9,43,89,0.955
6,49,66,0.7
16,42,52,0.005
8,46,72,0.005
16,48,77,0.005
13,50,52,0.005
1,44,80,0.995
6,6,52,0.995
16,45,52,0.005
7,49,1,NA
14,8,52,0.005
7,9,52,0.015
8,49,66,0.335
7,6,52,0.125
9,46,52,0.005
10,44,93,0.005
17,42,52,0.005
17,48,52,0.005
14,50,52,0.005
1,47,52,1
8,9,87,0.005
17,45,85,0.005
2,42,75,1
9,49,52,1
15,8,52,0.03
2,48,52,0.995
2,45,90,0.99
8,6,52,0.165
11,44,52,0.025
3,42,52,0.35
1,5,61,0.995
3,48,52,1
3,45,90,0.83
4,45,91,0.975
4,42,50,NA
9,9,52,0.18
10,47,85,0.005
9,6,95,0.085
5,42,52,NA
1,7,52,1
16,8,52,0.005
15,50,52,0.005
12,44,52,0.34
10,5,52,0.005
11,47,92,0.005
17,8,98,0.005
16,50,80,0.005
17,50,52,0.005
2,50,52,0.865
