#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="4.2" name="distr" upper="4.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	monophyletic(a)	logP(mrca(a))	mrca.age(a)	clockRate.c:clock
17000	-100523.98163820711	-100476.99640896781	-46.98522923929866	-100476.99640896781	4.304453231063006	1.0	1.0	0.49716389939886413	0.502836100601136	-40.28144676464246	1.1649053177161401	0.05577648479883802	0	1.2039728043259366	4.304453231063006	4.194411661325675
18000	-100526.29747354024	-100477.48804658827	-48.80942695195733	-100477.48804658827	4.214938784835614	1.0	1.0	0.49716389939886413	0.502836100601136	-42.10564447730113	0.6976469565554134	0.3808676952792071	0	1.2039728043259366	4.214938784835614	4.173256812140958
19000	-100524.50537224875	-100477.32137677714	-47.18399547160577	-100477.32137677714	4.243627249321893	1.0	1.0	0.49716389939886413	0.502836100601136	-40.48021299694957	0.8347689427481325	0.16961309958433257	0	1.2039728043259366	4.243627249321893	4.118271822587658
20000	-100530.70446337077	-100481.53248570043	-49.17197767033536	-100481.53248570043	4.452877267500398	1.0	1.0	0.49899480572097527	0.5010051942790249	-42.46819519567916	1.2134609210747147	0.07189917952847594	0	1.2039728043259366	4.452877267500398	3.9932229263342327
21000	-100524.73469782088	-100478.17816425266	-46.55653356822171	-100478.17816425266	4.433877417783551	1.0	1.0	0.49899480572097527	0.5010051942790249	-39.85275109356551	1.135372425707175	0.10046595442147493	0	1.2039728043259366	4.433877417783551	4.047403102587047
22000	-100520.18181713094	-100473.54464069403	-46.63717643691713	-100473.54464069403	4.274852444935064	1.0	1.0	0.49824725381185336	0.5017527461881468	-39.93339396226093	1.1601054360897898	0.21256570037294056	0	1.2039728043259366	4.274852444935064	4.297398113986773
23000	-100526.50754420628	-100479.08235115216	-47.42519305412545	-100479.08235115216	4.403664481880826	1.0	1.0	0.49824725381185336	0.5017527461881468	-40.72141057946925	1.2101742071286155	0.09397487969864247	0	1.2039728043259366	4.403664481880826	4.053403728839625
24000	-100521.76312375825	-100474.3687731051	-47.394350653155904	-100474.3687731051	4.351731661073144	1.0	1.0	0.49824725381185336	0.5017527461881468	-40.6905681784997	1.1999961992738737	0.022916735210276	0	1.2039728043259366	4.351731661073144	4.207182558306425
25000	-100517.62901992482	-100470.6939213326	-46.93509859221401	-100470.6939213326	4.381015610294481	1.0	1.0	0.49824725381185336	0.5017527461881468	-40.23131611755781	1.4083649935629048	0.07094150258290481	0	1.2039728043259366	4.381015610294481	4.095458581580305
26000	-100523.85323234463	-100475.4359481357	-48.41728420893245	-100475.4359481357	4.439193448552191	1.0	1.0	0.49824725381185336	0.5017527461881468	-41.71350173427625	1.340293640039755	0.0437639372496451	0	1.2039728043259366	4.439193448552191	3.943765391337942
27000	-100532.75103974495	-100483.71325630553	-49.037783439421226	-100483.71325630553	4.233672798262553	1.0	1.0	0.496857516696173	0.5031424833038272	-42.334000964765025	1.0271164385415046	0.3722628721434195	0	1.2039728043259366	4.233672798262553	4.085257265467876
28000	-100530.67080925428	-100479.69927347673	-50.97153577755915	-100479.69927347673	4.476881214263158	1.0	1.0	0.496857516696173	0.5031424833038272	-44.267753302902946	1.1750652506999781	0.12823538651265104	0	1.2039728043259366	4.476881214263158	4.007174259996241
29000	-100536.08027654185	-100483.29045255572	-52.78982398612295	-100483.29045255572	4.283893764387228	1.0	1.0	0.496857516696173	0.5031424833038272	-46.086041511466746	0.856009929973559	0.08446378021690673	0	1.2039728043259366	4.283893764387228	3.68751589025673
30000	-100532.41012823324	-100478.16937233479	-54.24075589845523	-100478.16937233479	4.320270301944707	1.0	1.0	0.4968970571530112	0.503102942846989	-47.536973423799026	1.2153096234929253	0.007437525336190438	0	1.2039728043259366	4.320270301944707	3.566974584898893
31000	-100537.57959536901	-100484.62984852909	-52.94974683992587	-100484.62984852909	4.247211044338152	1.0	1.0	0.4968970571530112	0.503102942846989	-46.24596436526967	1.0497681047005634	0.3183956100261622	0	1.2039728043259366	4.247211044338152	3.6981125623256283
32000	-100527.12257902684	-100476.07800691063	-51.044572116211555	-100476.07800691063	4.494781312285584	1.0	1.0156084031221675	0.4970483801889543	0.5029516198110459	-44.32518123843319	1.0588844820774286	0.07813200366230985	0	1.2039728043259366	4.494781312285584	3.691317112212568
33000	-100538.7194298375	-100488.05457857085	-50.664851266637456	-100488.05457857085	4.221706674040335	1.0	1.0156084031221675	0.4970483801889543	0.5029516198110459	-43.94546038885909	1.0271869725308782	0.05047550622092505	0	1.2039728043259366	4.221706674040335	3.7306091875758285
34000	-100522.50807719858	-100469.85820739306	-52.64986980552661	-100469.85820739306	4.41765175142511	1.0	1.0156084031221675	0.4970483801889543	0.5029516198110459	-45.93047892774825	0.9753641595145913	0.1444591212117541	0	1.2039728043259366	4.41765175142511	3.6171234110506196
35000	-100521.45210097205	-100468.17449404283	-53.27760692921858	-100468.17449404283	4.304074009027864	1.0	1.0156084031221675	0.4970483801889543	0.5029516198110459	-46.55821605144021	0.8223579884304926	0.4132204358412079	0	1.2039728043259366	4.304074009027864	3.5352772709143747
36000	-100519.68160849494	-100470.73108537006	-48.95052312487067	-100470.73108537006	4.358061762043621	1.0	1.0156084031221675	0.49863625099899156	0.5013637490010086	-42.231132247092305	0.8050366504016067	0.31377212658525583	0	1.2039728043259366	4.358061762043621	3.7516026369045705
37000	-100525.46392142042	-100475.39077451805	-50.073146902373885	-100475.39077451805	4.203934263820356	1.0	1.0156084031221675	0.49863625099899156	0.5013637490010086	-43.35375602459552	1.1584629889209745	0.19572923522886884	0	1.2039728043259366	4.203934263820356	3.815400080761261
38000	-100527.12496632777	-100474.53787262258	-52.587093705194434	-100474.53787262258	4.379228590081958	1.0	1.0156084031221675	0.49863625099899156	0.5013637490010086	-45.86770282741607	0.8242377611083392	0.31840567644422635	0	1.2039728043259366	4.379228590081958	3.4675977322231195
