family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
ST_by_sens,10001,50,3963,0.9935703213896606,0.00642967861033884,0.23725159463050535,78.26762019542795,0.00675927451216095,10.362633927936784,the_sun,14,0.9935703213896606,4.377949574139056e-40,2.942,5.786
ST_by_sens,10001,50,3963,0.9757347202249942,0.02426527977500708,0.6907734501986744,21.11800761996208,0.00675927451216095,10.362633927936784,the_tail,15,0.9757347202249942,2.26871790750195e-31,2.925,5.908
ST_by_sens,10001,50,3963,0.9962234736809832,0.00377652631901503,0.5585216545970131,132.89869548657407,0.00675927451216095,10.362633927936784,the_thigh,35,0.9962234736809832,4.29524038541971e-161,2.745,5.452
ST_by_sens,10001,50,3963,0.9932969789406298,0.00670302105936754,0.5680236289060441,75.09660538408652,0.00675927451216095,10.362633927936784,the_thunder,31,0.9932969789406298,2.781795986417323e-92,2.787,5.534
ST_by_sens,10001,50,3963,0.9884892691391504,0.01151073086084901,0.2793027271272154,43.94355071418506,0.00675927451216095,10.362633927936784,the_tongue,14,0.9884892691391504,2.3648231713496848e-26,3.034,6.015
ST_by_sens,10001,50,3963,0.9861651360074972,0.01383486399249898,0.3492837842219557,36.647593832294945,0.00675927451216095,10.362633927936784,the_tooth_front,16,0.9861651360074972,1.916712325599027e-27,3.004,5.987
ST_by_sens,10001,50,3963,0.9803113295099624,0.01968867049003851,0.30618983130721067,25.905357607245644,0.00675927451216095,10.362633927936784,the_tree,11,0.9803113295099624,5.4877872890029784e-17,3.165,6.384
ST_by_sens,10001,50,3963,0.9875364011190112,0.01246359888098721,0.227500325070956,40.62313423251531,0.00675927451216095,10.362633927936784,the_water,15,0.9875364011190112,1.0398828410811367e-19,3.144,6.236
ST_by_sens,10001,50,3963,0.9888320183553156,0.01116798164468922,0.7165725845698194,45.27649427972507,0.00675927451216095,10.362633927936784,the_wind,26,0.9888320183553156,4.416058894452522e-70,2.809,5.595
ST_by_sens,10001,50,3963,0.9910456440482786,0.00895435595172179,0.5036298678874249,56.343262783732634,0.00675927451216095,10.362633927936784,the_wing,23,0.9910456440482786,2.9158786379812757e-61,2.836,5.632
ST_by_sens,10001,50,3963,0.99639589291427,0.00360410708572814,0.35797696770254894,139.2324256447636,0.00675927451216095,10.362633927936784,the_woman,35,0.99639589291427,6.661936065886395e-108,2.783,5.506
ST_by_sens,10001,50,3963,0.9879045432753988,0.01209545672460219,0.2976873339828989,41.84395724268303,0.00675927451216095,10.362633927936784,the_year,16,0.9879045432753988,1.0787286178083323e-26,3.024,6.005
ST_by_sens,10001,50,3963,0.9796480607531172,0.02035193924687915,0.7175106229331368,25.078070773129863,0.00675927451216095,10.362633927936784,thick,22,0.9796480607531172,1.237502339491556e-38,2.886,5.8
ST_by_sens,10001,50,3963,0.9928421722634562,0.00715782773654631,0.3279354511497884,70.35719974535492,0.00675927451216095,10.362633927936784,thin_object,23,0.9928421722634562,1.0798688004507614e-49,2.884,5.699
ST_by_sens,10001,50,3963,0.9769682102895568,0.02303178971044529,0.6810701696581402,22.22091230124036,0.00675927451216095,10.362633927936784,thou_second_person_singular,12,0.9769682102895568,1.1677574425788774e-32,2.919,5.887
ST_by_sens,10001,50,3963,0.7490057450310502,0.25099425496895056,0.20316932387560227,2.6596290903373454,0.00675927451216095,10.362633927936784,three,3,0.9536437103863501,0.9436573771483254,9.985,23.554
ST_by_sens,10001,50,3963,0.9836959812500524,0.01630401874994616,0.7087075124595659,31.175572757596495,0.00675927451216095,10.362633927936784,to_be_alive,24,0.9836959812500524,1.5336613211630282e-47,2.856,5.715
ST_by_sens,10001,50,3963,0.9907171782562578,0.00928282174374021,1.1983941856460267,54.367617293033206,0.00675927451216095,10.362633927936784,to_bite,34,0.9907171782562578,2.5779361597572352e-141,2.742,5.467
ST_by_sens,10001,50,3963,0.9946658074100496,0.00533419258995192,0.6150797107345342,94.2375797121893,0.00675927451216095,10.362633927936784,to_burn_intransitive,35,0.9946658074100496,1.282003213626002e-125,2.76,5.483
ST_by_sens,10001,50,3963,0.98840058746466,0.01159941253533907,0.4767964356576744,43.61149906506728,0.00675927451216095,10.362633927936784,to_buy,23,0.98840058746466,1.0096020385493344e-44,2.884,5.738
ST_by_sens,10001,50,3963,0.9926651889606556,0.00733481103934499,0.6364126512837195,68.671776451577,0.00675927451216095,10.362633927936784,to_chew,27,0.9926651889606556,1.260760565049866e-94,2.782,5.53
ST_by_sens,10001,50,3963,0.9908865147406394,0.00911348525935945,0.5049429800622481,55.368351187285185,0.00675927451216095,10.362633927936784,to_come,22,0.9908865147406394,2.2797153544645686e-60,2.838,5.636
ST_by_sens,10001,50,3963,0.995741920202114,0.00425807979788481,0.5424162783906736,117.92595914650896,0.00675927451216095,10.362633927936784,to_count,38,0.995741920202114,1.129473133967006e-138,2.755,5.47
ST_by_sens,10001,50,3963,0.9915323521468112,0.00846764785318769,0.319187274851821,59.55254509420564,0.00675927451216095,10.362633927936784,to_cry_weep,18,0.9915323521468112,6.196921207799752e-41,2.921,5.776
ST_by_sens,10001,50,3963,0.9147670773112306,0.08523292268876907,0.41925120130266097,6.412865001057661,0.00675927451216095,10.362633927936784,to_die,8,0.9147670784252382,1.0941126574486016e-5,3.611,8.422
ST_by_sens,10001,50,3963,0.9913510894805974,0.00864891051940082,0.5659859511599068,58.31511174293912,0.00675927451216095,10.362633927936784,to_dig,25,0.9913510894805974,2.5286931190751203e-71,2.814,5.591
ST_by_sens,10001,50,3963,0.98135278059686,0.01864721940314257,0.5986754923885989,27.323149992466977,0.00675927451216095,10.362633927936784,to_drink,19,0.98135278059686,3.959733986864267e-35,2.913,5.846
ST_by_sens,10001,50,3963,0.9692083288310188,0.03079167116898218,0.4259280482245799,16.7540422609665,0.00675927451216095,10.362633927936784,to_eat,12,0.9692083288310188,3.2611645706553157e-15,3.158,6.501
ST_by_sens,10001,50,3963,0.996418627998564,0.00358137200143808,0.463681036484082,140.11309686964236,0.00675927451216095,10.362633927936784,to_fight,37,0.996418627998564,7.142122000419412e-141,2.757,5.468
ST_by_sens,10001,50,3963,0.9950216564995442,0.00497834350045746,0.3117968287659785,100.93751579337774,0.00675927451216095,10.362633927936784,to_fly_move_through_air,29,0.9950216564995442,6.4932332395917295e-68,2.838,5.603
